,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,career,pitcher,start_ratio,games
45,Brooks Pounders\poundbr01,30,4,,1.01,,,,,Arb,Arb,Arb,FA,,,"[-0.6, -0.4, -0.2, 0.0]",True,0.0,"[13.0, 11.0, 14.0, 7.0]"
46,Anthony Misiewicz\misiean01,26,2,Traded,1.0,,,,,Arb,Arb,Arb,FA,,,"[0.1, -0.1]",True,0.0,"[21.0, 26.0]"
47,Robert Dugger\duggero01,25,3,Waivers,0.162,,,,,Arb,Arb,Arb,Arb,FA,,"[-0.6, -0.5, -0.4]",True,0.3,"[7.0, 4.0, 10.0]"
48,Joey Gerber\gerbejo01,24,1st,Amateur Draft,0.153,,,,,Arb,Arb,Arb,Arb,FA,,[0.0],True,0.0,[17.0]
49,Daniel Zamora\zamorda01,28,3,Waivers,0.14300000000000002,,,,,,Arb,Arb,Arb,FA,,"[0.3, 0.0, -0.3]",True,0.0,"[16.0, 17.0, 4.0]"
50,Sam Haggerty\haggesa01,27,3,Waivers,0.14,Beverly Hills Spo...,,,,,Arb,Arb,Arb,FA,,"[-0.1, 0.2, -0.2]",False,,"[11.0, 13.0, 35.0]"
51,Aaron Fletcher\fletcaa01,25,2,Traded,0.067,KVA Sports LLC,,,,,Arb,Arb,Arb,FA,,"[-0.2, -0.2]",True,0.0,"[6.0, 4.0]"
52,Ljay Newsome\newsolj01,24,2,Amateur Draft,0.122,,,,,,Arb,Arb,Arb,FA,,"[0.1, -0.5]",True,0.14285714285714285,"[5.0, 7.0]"
53,Jake Fraley\fraleja01,26,3,Traded,0.09699999999999999,,,,,,Arb,Arb,Arb,FA,,"[-0.8, 0.0, 0.3]",False,,"[12.0, 7.0, 11.0]"
54,Matt Festa\festama01,28,2,Amateur Draft,0.095,,,,,,Arb,Arb,Arb,FA,,"[0.3, -0.1]",True,0.03571428571428571,"[8.0, 20.0]"
55,Jaime Schultz\schulja02,30,2,,0.076,,,,,,Arb,Arb,Arb,FA,,"[-0.3, -0.1]",True,0.038461538461538464,"[22.0, 4.0]"
56,Williams Jerez\jerezwi01,29,2,,0.07400000000000001,,,,,,Arb,Arb,Arb,FA,,"[-0.6, 0.2]",True,0.0,"[17.0, 12.0]"
57,Jack Reinheimer\reinhja01,28,2,,0.044000000000000004,,,,,,Arb,Arb,Arb,FA,,"[-0.1, -0.3]",False,,"[2.0, 21.0]"
58,Donovan Walton\waltodo01,27,3,Amateur Draft,0.042,,,,,,Arb,Arb,Arb,FA,,"[0.1, -0.1, -0.1]",False,,"[7.0, 5.0, 17.0]"
59,Zack Weiss\weissza01,29,1st,,0.009000000000000001,,,,,,Arb,Arb,Arb,FA,,[0.0],True,0.0,[1.0]
