,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,2027,2028,career,pitcher,start_ratio,games
0,Giancarlo Stanton\stantmi03,30,10,Traded,9.118,Wasserman,13 yrs/$325M (15-27) & 28 team option,$26M,$29M,$29M,$32M,$32M,$32M,$29M,$25M,$10M [FA-*],"[2.8, 4.1, 5.4, 2.8, 6.5, 3.7, 2.5, 8.0, 4.3, 0.4]",False,,"[100.0, 150.0, 123.0, 116.0, 145.0, 74.0, 119.0, 159.0, 158.0, 18.0]"
1,Gerrit Cole\colege01,29,7,,6.111000000000001,Scott Boras,9 yrs/$324M (20-28),$36M,$36M,$36M,$36M,$36M,$36M,$36M,$36M,$36M,"[1.5999999999999999, 1.4, 4.5, 1.7, 2.7, 5.6000000000000005, 6.5]",True,1.0,"[19.0, 22.0, 32.0, 21.0, 33.0, 32.0, 33.0]"
2,Masahiro Tanaka\tanakma01,31,6,Free Agency,6.0,Casey Close,7 yrs/$155M (14-20),$23M,FA,,,,,,,,"[3.1, 3.1, 5.2, 1.2, 2.4, 1.9]",True,0.9939024390243902,"[20.0, 24.0, 31.0, 30.0, 27.0, 32.0]"
3,Aaron Hicks\hicksaa01,30,7,Traded,6.041,CAA Sports,7 yrs/$70M (19-25) & 26 team option,$10.79M,$10.79M,$10.79M,$10.79M,$9.79M,$9.79M,$1M [FA-*],FA,,"[0.7, 0.4, 1.4, -0.2, 3.9, 4.2, 1.3]",False,,"[81.0, 69.0, 97.0, 123.0, 88.0, 137.0, 59.0]"
4,Aroldis Chapman\chapmar01,32,10,Free Agency,9.009,ISE Baseball,3 yrs/$48M (20-22),$16M,$16M,$16M,FA,,,,,,"[0.4, 0.4, 3.4, 1.8, 1.9, 2.7, 2.5999999999999996, 1.0, 1.6, 1.6]",True,0.0,"[15.0, 54.0, 68.0, 68.0, 54.0, 65.0, 59.0, 52.0, 55.0, 60.0]"
5,Luis Severino\severlu01,26,5,Amateur Free Agent,3.17,Rep 1 Baseball,4 yrs/$40M (19-22) & 23 team option,$10.5M,$10.75M,$11.5M,$2.75M [FA-*],FA,,,,,"[2.0, -0.4, 5.4, 3.9999999999999996, 0.6]",True,0.8888888888888888,"[11.0, 22.0, 31.0, 32.0, 3.0]"
6,Zack Britton\brittza01,32,9,Free Agency,7.1579999999999995,Boras Corporation,3 yrs/$39M (19-21) & 22 team option,$13M,$13M,$0 [FA-*],FA,,,,,,"[0.8, 0.1, 0.0, 2.6, 2.3, 4.1, 1.0, 0.7, 2.5]",True,0.11586901763224182,"[28.0, 12.0, 8.0, 71.0, 64.0, 69.0, 38.0, 41.0, 66.0]"
7,J.A. Happ\happja01,37,13,Traded,11.047,Rogers Sports Man...,2 yrs/$34M (19-20) & 21 vesting option,$17M,$0 [FA-*],FA,,,,,,,"[-0.2, 0.4, 3.9000000000000004, 1.2, -1.2999999999999998, 0.6000000000000001, 0.1, 1.0, 3.1, 4.8, 3.3, 3.3000000000000003, 1.4]",True,0.9174603174603174,"[1.0, 8.0, 35.0, 16.0, 28.0, 28.0, 18.0, 30.0, 32.0, 32.0, 25.0, 31.0, 31.0]"
8,Adam Ottavino\ottavad01,34,9,Free Agency,8.087,ACES (Sam & Seth ...,3 yrs/$27M (19-21),$9M,$9M,FA,,,,,,,"[-0.7, 1.0, 2.3, 1.3, 0.8, 1.0, 0.3, 2.5, 2.3]",True,0.00683371298405467,"[5.0, 53.0, 51.0, 75.0, 10.0, 34.0, 63.0, 75.0, 73.0]"
9,DJ LeMahieu\lemahdj01,31,9,Free Agency,7.127999999999999,Wasserman,2 yrs/$24M (19-20),$12M,FA,,,,,,,,"[-0.2, 1.4, 1.1, 0.8, 1.8, 5.3, 3.2, 2.5, 5.9]",False,,"[37.0, 81.0, 109.0, 149.0, 150.0, 146.0, 155.0, 128.0, 145.0]"
10,Brett Gardner\gardnbr01,36,12,Amateur Draft,11.072000000000001,Pro Star Manageme...,1 yr/$12.5M (20) & 21 team option,$10M,$2.5M [FA-*],FA,,,,,,,"[1.3, 2.3, 7.4, 4.1, 0.2, 4.2, 3.8, 3.6, 3.2, 4.9, 3.3, 4.1]",False,,"[42.0, 108.0, 150.0, 159.0, 16.0, 145.0, 148.0, 151.0, 148.0, 151.0, 140.0, 141.0]"
11,James Paxton\paxtoja01,31,7,Traded,5.151,Scott Boras,1 yr/$12.5M (20),$12.5M,FA,,,,,,,,"[1.1, 1.3, 0.7, 1.0, 3.6, 3.2, 2.3]",True,1.0,"[4.0, 13.0, 13.0, 20.0, 24.0, 28.0, 29.0]"
12,Aaron Judge\judgeaa01,28,4,Amateur Draft,3.051,PSI Sports Manage...,1 yr/$8.5M (20),$8.5M,Arb,Arb,FA,,,,,,"[-0.3, 7.9, 5.9, 5.5]",False,,"[27.0, 155.0, 112.0, 102.0]"
