,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,career,pitcher,start_ratio,games
34,Brendan Rodgers\rodgebr02,24,3,Amateur Draft,1.075,,,,,Arb,Arb,"[-0.6, -0.5, 0.0]",False,,"[25.0, 7.0, 13.0]"
35,Joe Harvey\harvejo01,29,2,Free Agency,1.0490000000000002,Beverly Hills Spo...,,,,Arb,Arb,"[0.0, 0.1]",True,0.0,"[18.0, 4.0]"
36,Joshua Fuentes\fuentjo01,28,3,Amateur Free Agent,1.015,,,,,Arb,Arb,"[-0.1, 0.9, 1.3]",False,,"[24.0, 30.0, 55.0]"
37,Ryan Castellani\castery01,25,2,Amateur Draft,0.14400000000000002,,,,,,Arb,"[0.1, 0.1]",True,1.0,"[10.0, 1.0]"
38,Jose Briceno\bricejo01,28,2,,0.153,Beverly Hills Spo...,,,,Arb,Arb,"[0.5, 0.0]",False,,"[46.0, 2.0]"
39,Jesus Tinoco\tinocje01,26,2,Waivers,0.135,,,,,,Arb,"[0.1, 0.30000000000000004]",True,0.0,"[24.0, 6.0]"
40,Jose Mujica\mujicjo01,25,1st,Free Agency,0.054000000000000006,,,,,,Arb,[-0.5],True,0.0,[2.0]
41,Yonathan Daza\dazayo01,27,2,Amateur Free Agent,0.10099999999999999,Munger English Sp...,,,,,Arb,"[-0.8, 1.0]",False,,"[44.0, 49.0]"
42,Antonio Santos\santoan02,24,2,Amateur Free Agent,0.05,,,,,,Arb,"[-0.3, 0.1]",True,0.0,"[3.0, 2.0]"
43,Dom Nunez\nunezdo01,26,2,Amateur Draft,0.048,,,,,,Arb,"[-0.1, -0.1]",False,,"[16.0, 38.0]"
44,Connor Joe\joeco01,28,2,Free Agency,0.017,,,,,,Arb,"[-0.1, 0.2]",False,,"[8.0, 19.0]"
45,Tommy Doyle\doyleto01,25,1st,Amateur Draft,0.013999999999999999,,,,,,Arb,[-0.2],True,0.0,[3.0]
46,Eric Stamets\stameer01,29,1st,,0.019,,,,,,Arb,[-0.7],False,,[15.0]
