,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career
42,Mike Yastrzemski\yastrmi01,29,1st,Traded,0.128,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[2.8]
43,Chris Shaw\shawch01,26,2,Amateur Draft,0.06,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,"[-0.3, -0.4]"
44,Aramis Garcia\garciar01,27,2,Amateur Draft,0.086,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,"[0.2, -0.3]"
45,Sam Coonrod\coonrsa01,27,1st,Amateur Draft,0.078,Wasserman,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[0.4]
46,Zach Green\greenza01,26,1st,Free Agency,0.038,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-0.1]
47,Abiatal Avelino\aveliab01,25,2,Traded,0.037000000000000005,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,"[0.1, 0.0]"
48,Conner Menez\menezco01,25,1st,Amateur Draft,0.036000000000000004,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[0.0]
49,Rico Garcia\garciri01,26,1st,,0.034,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-0.1]
50,Sam Moll\mollsa01,28,1st,,0.031,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-0.3]
51,Sam Selman\selmasa01,29,1st,Free Agency,0.031,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[0.1]
52,Tyler Heineman\heinety01,29,1st,,0.027000000000000003,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[0.1]
53,Kean Wong\wongke01,25,1st,,0.025,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,"[0.0, -0.1]"
54,Logan Webb\webblo01,23,1st,Amateur Draft,0.044000000000000004,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[0.0]
55,Mauricio Dubon\dubonma01,25,1st,Traded,0.04,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,"[-0.1, 0.5]"
56,Tyler Rogers\rogerty01,29,1st,Amateur Draft,0.034,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[0.7]
57,Jamie Callahan\callaja01,25,1st,,0.03,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[0.0]
58,Enderson Franco\francen01,27,1st,Free Agency,0.015,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[0.1]
59,Jaylin Davis\davisja03,25,1st,Traded,0.026000000000000002,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-0.4]
