,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,career,pitcher,start_ratio,games
48,Aaron Blair\blairaa01,28,2,,0.092,PSI Sports Manage...,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[-1.9, -0.1]",True,1.0,"[15.0, 1.0]"
49,Dillon Overton\overtdi01,28,2,,0.07200000000000001,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[-1.1, -0.4]",True,0.4117647058823529,"[7.0, 10.0]"
50,Damien Magnifico\magnida01,29,2,,0.033,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[0.0, 0.0]",True,0.0,"[3.0, 1.0]"
51,Joe Mantiply\mantijo01,29,2,,0.033,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[-0.2, -0.1]",True,0.0,"[5.0, 1.0]"
52,Kevin Ginkel\ginkeke01,26,1st,Amateur Draft,0.055999999999999994,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.7],True,0.0,[25.0]
53,Josh Rojas\rojasjo01,26,1st,Traded,0.049,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[-0.1],False,,[41.0]
54,Domingo Leyba\leybado01,24,1st,Traded,0.042,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.2],False,,[21.0]
55,Eduardo Jimenez\jimened01,25,1st,,0.021,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.1],True,0.0,[8.0]
56,Corbin Martin\martico02,24,1st,,0.023,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[-0.2],True,1.0,[5.0]
57,Juniel Querecuto\quereju01,27,1st,,0.011000000000000001,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[-0.1],False,,[4.0]
58,Joel Payamps\payamjo01,26,1st,Free Agency,0.008,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.0],True,0.0,[2.0]
