,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,career,pitcher,start_ratio,games
31,Roman Quinn\quinnro01,27,4,Amateur Draft,1.088,Reynolds Sports,,,,Arb,Arb,Arb,FA,,,,,,,"[0.3, 0.6, -0.1]",False,,"[15.0, 50.0, 44.0]"
32,Nick Martini\martini02,30,2,,1.028,,,,,Arb,Arb,Arb,FA,,,,,,,"[1.4, -0.2]",False,,"[55.0, 32.0]"
33,Edgar Garcia\garcied01,23,1st,Amateur Free Agent,0.114,Optimum Baseball,,,,,Arb,Arb,Arb,FA,,,,,,[-0.1],True,0.0,[37.0]
34,Austin Davis\davisau01,27,3,Amateur Draft,0.166,,,,,Arb,Arb,Arb,Arb,FA,,,,,,"[0.2, -0.1]",True,0.0,"[32.0, 14.0]"
35,Ranger Suarez\suarera01,24,2,Amateur Free Agent,0.135,,,,,,Arb,Arb,Arb,FA,,,,,,"[-0.19999999999999998, 0.9]",True,0.07317073170731707,"[4.0, 37.0]"
36,Adam Haseley\haselad01,24,2,Amateur Draft,0.11800000000000001,,,,,,Arb,Arb,Arb,FA,,,,,,[1.8],False,,[67.0]
37,Cole Irvin\irvinco01,26,2,Amateur Draft,0.062,,,,,,Arb,Arb,Arb,FA,,,,,,[-0.19999999999999998],True,0.0,[16.0]
38,Reggie McClain\mcclare01,27,2,Waivers,0.059000000000000004,,,,,,Arb,Arb,Arb,FA,,,,,,[0.0],True,0.0,[14.0]
39,Deivy Grullon\grullde01,24,1st,Amateur Free Agent,0.028999999999999998,,,,,,Arb,Arb,Arb,FA,,,,,,[-0.2],False,,[4.0]
40,J.D. Hammer\hammejd01,25,1st,Traded,0.057,,,,,,Arb,Arb,Arb,FA,,,,,,[0.3],True,0.0,[20.0]
41,Enyel De Los Santos\delosen01,24,2,Traded,0.055999999999999994,,,,,,Arb,Arb,Arb,FA,,,,,,"[0.1, -0.2]",True,0.25,"[7.0, 5.0]"
42,Kyle Garlick\garliky01,28,1st,,0.046,,,,,,Arb,Arb,Arb,FA,,,,,,[0.2],False,,[30.0]
43,Trevor Kelley\kelletr01,26,2,Waivers,0.027999999999999997,C.L. Rocks Corpor...,,,,,Arb,Arb,Arb,FA,,,,,,[-0.3],True,0.0,[10.0]
