Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
18,2003,OAK,AL,96,66,.593,1441.2,162,162,643,4.01,4.89,0.02,0.02,98.4,4.80,129,13.8,1.14,-0.6,28.1,289,.526,.526,$19602667
19,2002,SFG,NL,95,66,.590,1437.1,162,162,616,3.86,4.54,0.24,0.02,94.9,4.10,35,3.9,1.18,-1.1,15.2,161,.507,.507,$32200667
20,2003,BOS,AL,95,67,.586,1464.2,162,162,809,4.97,4.92,-0.14,-0.01,103.0,5.21,42,5.2,1.08,-0.9,19.6,205,.509,.509,$39809000
21,2000,ATL,NL,95,67,.586,1440.1,162,162,714,4.46,5.02,0.22,0.03,99.3,4.79,48,5.4,1.22,-0.5,17.2,190,.510,.510,$29302737
22,2000,CHW,AL,95,67,.586,1450.2,162,162,839,5.21,5.39,0.04,-0.02,101.9,5.44,26,3.4,1.23,0.3,18.9,215,.505,.505,$14346000
23,2000,STL,NL,95,67,.586,1433.2,162,162,771,4.84,5.07,0.27,0.01,101.7,4.89,4,0.8,1.16,-0.6,12.6,145,.501,.501,$25494690
24,2002,MIN,AL,94,67,.584,1444.2,161,161,712,4.44,4.79,0.13,-0.02,100.0,4.64,26,3.1,1.23,0.0,18.3,193,.505,.505,$29702500
25,2000,NYM,NL,94,68,.580,1450.1,162,162,738,4.58,5.02,0.07,0.01,96.1,4.77,27,3.6,1.30,0.2,16.3,169,.506,.506,$40629181
26,2004,LAD,NL,93,69,.574,1453.1,162,162,684,4.24,4.74,0.34,0.00,96.7,4.25,-3,0.6,1.11,-1.0,12.2,131,.501,.501,$46807500
27,2003,SEA,AL,93,69,.574,1441.0,162,162,637,3.98,4.83,0.22,0.02,95.3,4.41,72,7.4,1.03,-1.1,21.3,233,.514,.514,$32550833
28,2002,BOS,AL,93,69,.574,1445.2,162,162,665,4.14,4.83,0.39,0.01,100.9,4.49,50,6.2,1.14,-1.4,19.9,218,.512,.512,$52373333
29,2002,SEA,AL,93,69,.574,1445.1,162,162,699,4.35,4.92,0.03,0.01,95.4,4.67,45,5.5,1.30,-0.5,20.1,212,.511,.511,$30283333
30,2001,HOU,NL,93,69,.574,1454.2,162,162,769,4.76,4.76,-0.02,0.00,106.4,5.09,52,6.7,1.22,-0.5,18.9,183,.512,.512,$24417667
31,2001,STL,NL,93,69,.574,1435.1,162,162,684,4.29,4.71,0.38,0.00,100.5,4.35,9,2.2,1.08,-0.9,13.7,138,.503,.503,$33396667
32,2004,ANA,AL,92,70,.568,1454.1,162,162,734,4.54,5.00,-0.05,0.00,96.1,4.85,37,3.9,1.16,-0.6,18.4,218,.508,.508,$44668167
33,2004,HOU,NL,92,70,.568,1443.0,162,162,698,4.35,4.65,0.19,-0.01,100.2,4.46,11,2.1,1.09,-0.3,14.3,144,.503,.503,$22415000
34,2004,MIN,AL,92,70,.568,1476.0,162,162,715,4.36,5.05,-0.01,0.00,101.7,5.15,116,12.6,1.34,0.2,28.1,300,.521,.521,$16455000
35,2002,LAD,NL,92,70,.568,1457.2,162,162,643,3.97,4.59,0.27,0.01,93.0,4.02,5,1.0,1.22,0.2,13.8,132,.502,.502,$41482619
36,2001,ARI,NL,92,70,.568,1459.2,162,162,677,4.17,4.96,0.30,0.01,106.7,4.97,128,15.0,1.19,-0.5,27.1,260,.526,.526,$41729166
37,2000,OAK,AL,91,70,.565,1435.1,161,161,813,5.10,5.42,-0.29,0.01,95.5,5.46,47,5.1,1.19,-1.0,19.0,234,.509,.509,$17258500
38,2004,OAK,AL,91,71,.562,1471.2,162,162,742,4.54,5.07,-0.12,0.02,97.9,5.10,79,7.9,1.37,-1.1,22.1,262,.514,.514,$25274500
39,2004,SFG,NL,91,71,.562,1457.0,162,162,770,4.76,4.71,-0.29,0.01,101.2,5.07,45,5.4,1.44,-1.0,16.9,179,.508,.508,$26362666
40,2003,FLA,NL,91,71,.562,1445.1,162,162,692,4.31,4.74,-0.11,0.01,98.3,4.77,68,8.0,1.04,-0.6,19.9,201,.514,.514,$15259426
41,2001,CLE,AL,91,71,.562,1446.2,162,162,821,5.11,4.86,-0.30,-0.02,100.8,5.18,3,1.4,1.21,-0.8,15.7,174,.502,.502,$38024167
42,2000,SEA,AL,91,71,.562,1441.2,162,162,780,4.87,5.38,0.18,0.00,92.7,4.83,-18,-1.3,1.26,-1.4,12.4,170,.498,.498,$28762500
43,2003,MIN,AL,90,72,.556,1462.0,162,162,758,4.67,4.74,-0.02,0.00,100.1,4.77,20,2.4,1.24,-0.4,17.3,182,.504,.504,$36420000
44,2001,SFG,NL,90,72,.556,1463.1,162,162,748,4.60,4.88,0.04,0.01,91.9,4.45,-25,-1.9,1.24,0.1,10.8,107,.497,.497,$26836667
45,2000,CLE,AL,90,72,.556,1442.1,162,162,816,5.09,5.39,-0.09,-0.02,99.8,5.46,48,5.5,1.13,-1.1,19.5,236,.509,.509,$29581615
46,2004,CHC,NL,89,73,.549,1465.2,162,162,665,4.08,4.73,-0.10,0.02,101.9,4.94,133,14.5,1.21,-1.4,25.7,268,.523,.523,$36698333
47,2004,TEX,AL,89,73,.549,1439.2,162,162,794,4.96,5.08,-0.20,-0.02,106.7,5.60,89,9.3,1.19,-0.1,24.2,269,.515,.515,$26713750
48,2003,CHC,NL,88,74,.543,1456.1,162,162,683,4.22,4.74,-0.15,0.03,100.9,4.97,115,13.4,1.13,-1.0,24.9,248,.523,.523,$26563333
49,2001,ATL,NL,88,74,.543,1447.1,162,162,643,4.00,4.68,0.38,0.01,101.6,4.39,61,7.0,1.15,-0.5,19.0,192,.512,.512,$41110000
50,2001,CHC,NL,88,74,.543,1437.0,162,162,701,4.39,4.71,-0.08,0.00,96.7,4.63,37,4.4,1.26,-1.0,15.8,167,.507,.507,$25798333
51,2000,NYY,AL,87,74,.540,1424.2,161,161,814,5.14,5.38,-0.14,0.02,97.9,5.41,32,3.7,1.02,-0.1,18.5,217,.507,.507,$42921467
52,2004,SDP,NL,87,75,.537,1441.0,162,162,705,4.40,4.66,-0.06,0.00,91.6,4.32,-19,-0.9,1.11,0.7,12.3,114,.499,.499,$12176000
53,2003,HOU,NL,87,75,.537,1450.0,162,162,677,4.20,4.70,0.40,-0.04,102.1,4.36,19,2.4,1.13,-0.7,14.2,152,.504,.504,$13205000
54,2004,PHI,NL,86,76,.531,1462.2,162,162,781,4.81,4.64,0.10,-0.01,104.4,4.73,-18,-1.5,1.26,-0.8,10.3,117,.498,.498,$42662500
55,2003,CHW,AL,86,76,.531,1431.0,162,162,715,4.50,4.77,0.13,0.02,102.3,4.77,46,5.5,1.12,-0.2,20.2,205,.511,.511,$17680000
56,2003,PHI,NL,86,76,.531,1443.2,162,162,697,4.35,4.67,0.12,0.00,92.8,4.23,-25,-2.3,1.15,-1.3,8.9,107,.496,.496,$30713333
57,2003,TOR,AL,86,76,.531,1435.0,162,162,826,5.18,4.93,-0.24,0.01,103.4,5.36,31,3.9,1.08,-1.3,17.5,191,.507,.507,$17902000
58,2001,LAD,NL,86,76,.531,1450.2,162,162,744,4.62,4.87,-0.20,0.01,92.2,4.69,10,1.7,1.25,-0.7,13.5,141,.503,.503,$54642619
59,2001,PHI,NL,86,76,.531,1445.1,162,162,719,4.48,4.64,0.26,0.00,96.3,4.22,-43,-4.0,1.37,-1.7,6.8,87,.494,.494,$16028333
60,2000,LAD,NL,86,76,.531,1445.0,162,162,729,4.54,5.12,0.04,0.00,94.0,4.78,34,4.7,1.15,-1.5,15.7,176,.509,.509,$42115952
61,2003,LAD,NL,85,77,.525,1457.2,162,162,556,3.43,4.63,0.37,0.00,94.8,4.04,93,10.1,1.26,-0.4,22.3,226,.517,.517,$59114286
62,2003,STL,NL,85,77,.525,1463.2,162,162,796,4.89,4.66,-0.06,0.01,96.7,4.56,-60,-5.5,1.17,-1.4,5.8,74,.491,.491,$33640000
63,2001,MIN,AL,85,77,.525,1441.2,162,162,766,4.78,4.98,0.19,0.01,101.0,4.85,4,1.3,1.16,-1.4,14.9,174,.502,.502,$15820000
64,2000,ARI,NL,85,77,.525,1443.2,162,162,754,4.70,5.16,0.11,0.01,102.9,5.21,78,8.7,1.10,-1.5,19.6,219,.516,.516,$43168500
65,2000,BOS,AL,85,77,.525,1452.2,162,162,745,4.62,5.43,0.23,-0.02,102.4,5.30,100,10.9,1.18,-0.6,25.6,289,.519,.519,$34865000
66,2000,CIN,NL,85,77,.525,1456.1,163,163,765,4.73,5.13,0.29,-0.01,102.5,4.94,30,3.5,1.29,-0.1,16.0,173,.506,.506,$14050000
67,2003,ARI,NL,84,78,.519,1455.0,162,162,685,4.24,4.63,-0.17,0.01,109.3,5.25,158,17.4,1.19,-0.8,29.1,291,.528,.528,$44658333
68,2002,HOU,NL,84,78,.519,1445.0,162,162,695,4.33,4.48,-0.27,-0.01,105.2,4.98,101,11.6,1.05,-0.6,23.6,227,.518,.518,$25466667
69,2004,CHW,AL,83,79,.512,1432.1,162,162,831,5.22,5.04,0.10,0.02,100.7,4.99,-49,-4.0,1.04,-0.5,10.4,130,.493,.493,$22192000
70,2004,FLA,NL,83,79,.512,1439.1,162,162,700,4.38,4.66,0.09,0.01,95.4,4.38,-6,0.3,1.25,-1.1,11.6,126,.501,.501,$18576375
71,2003,KCR,AL,83,79,.512,1438.2,162,162,867,5.42,4.77,-0.31,-0.01,108.1,5.48,11,2.1,1.13,-0.9,16.2,171,.504,.504,$6402500
72,2003,MON,NL,83,79,.512,1437.2,162,162,716,4.48,4.82,-0.04,0.01,104.3,5.07,88,10.3,1.25,-1.2,21.5,220,.517,.517,$14878500
73,2002,MON,NL,83,79,.512,1453.0,162,162,718,4.45,4.50,-0.08,0.01,101.9,4.67,32,4.0,1.31,-1.7,14.8,159,.507,.507,$11707500
74,2001,CHW,AL,83,79,.512,1433.1,162,162,795,4.99,4.98,0.04,0.00,102.5,5.06,3,1.2,1.25,-0.3,15.9,172,.502,.502,$22665000
75,2000,TOR,AL,83,79,.512,1437.2,162,162,908,5.69,5.41,0.01,0.01,102.4,5.54,-34,-1.6,1.10,-1.0,12.5,154,.497,.497,$17744999
76,2001,BOS,AL,82,79,.509,1448.1,161,161,745,4.63,4.89,-0.31,-0.02,99.6,5.16,77,8.3,1.23,-0.8,22.6,248,.514,.514,$42910000
77,2001,NYM,NL,82,80,.506,1446.0,162,162,713,4.44,4.72,-0.01,0.01,95.2,4.50,9,1.7,1.23,-1.1,13.0,140,.503,.503,$47748833
78,2000,ANA,AL,82,80,.506,1448.0,162,162,869,5.40,5.46,0.44,-0.03,101.2,5.06,-66,-5.5,1.19,-1.6,8.0,123,.491,.491,$22520000
79,2000,COL,NL,82,80,.506,1430.0,162,162,897,5.65,5.15,0.34,-0.02,124.8,5.98,48,5.6,1.21,0.6,18.6,189,.509,.509,$25405833
80,2002,CHW,AL,81,81,.500,1423.0,162,162,798,5.05,4.74,0.08,0.00,101.0,4.71,-59,-4.9,1.08,-1.0,8.9,105,.492,.492,$13395833
81,2002,PHI,NL,80,81,.497,1449.2,161,161,724,4.49,4.48,0.15,0.00,93.8,4.06,-74,-7.0,1.26,-1.8,3.8,53,.489,.489,$20578333
82,2004,CLE,AL,80,82,.494,1466.2,162,162,857,5.26,5.02,-0.07,-0.01,93.9,4.76,-94,-7.7,1.25,-2.1,5.5,89,.488,.488,$15600500
83,2001,TOR,AL,80,82,.494,1462.2,162,162,753,4.63,4.89,-0.02,-0.01,100.9,4.95,43,4.7,1.33,-0.7,19.3,216,.508,.508,$25514666
84,2000,FLA,NL,79,82,.491,1429.2,161,161,797,5.02,5.05,-0.07,0.00,96.4,4.93,-18,-1.1,1.30,-1.7,9.6,122,.498,.498,$10779000
85,2002,FLA,NL,79,83,.488,1456.2,162,162,763,4.72,4.48,-0.08,-0.01,97.3,4.43,-51,-4.7,1.12,-1.0,6.9,77,.492,.492,$11358250
86,2001,SDP,NL,79,83,.488,1440.2,162,162,812,5.07,4.90,-0.29,0.00,92.4,4.80,-45,-3.7,1.12,-0.8,8.0,85,.494,.494,$21475833
87,2000,DET,AL,79,83,.488,1443.1,162,162,827,5.16,5.41,0.03,0.01,95.2,5.13,-15,-0.8,1.17,-1.1,13.2,173,.498,.498,$19982667
88,2004,BAL,AL,78,84,.481,1455.2,162,162,830,5.13,5.05,-0.18,-0.02,98.3,5.12,-15,-0.5,1.15,-1.0,13.7,166,.499,.499,$11110000
89,2002,CIN,NL,78,84,.481,1453.2,162,162,774,4.79,4.51,0.00,-0.03,104.0,4.66,-26,-2.0,1.14,-1.4,9.2,101,.497,.497,$13774667
90,2002,TOR,AL,78,84,.481,1438.0,162,162,828,5.18,4.93,-0.05,-0.02,103.0,5.11,-18,-0.7,1.17,-1.4,13.0,149,.499,.499,$25272333
91,2003,ANA,AL,77,85,.475,1431.1,162,162,743,4.67,4.89,0.14,-0.01,97.1,4.60,-9,-0.1,.98,-1.1,13.7,151,.500,.500,$37001667
92,2000,KCR,AL,77,85,.475,1439.1,162,162,930,5.82,5.46,0.28,0.00,103.0,5.34,-87,-7.1,1.17,-1.5,6.5,100,.486,.486,$8660500
93,2004,CIN,NL,76,86,.469,1443.2,162,162,907,5.65,4.72,0.04,-0.01,98.0,4.57,-180,-17.2,1.11,-1.5,-6.2,-46,.474,.474,$17833250
94,2001,FLA,NL,76,86,.469,1438.0,162,162,744,4.66,4.64,0.08,0.01,96.8,4.41,-40,-3.4,1.14,-1.1,7.9,90,.494,.494,$9014000
95,2000,SDP,NL,76,86,.469,1459.2,162,162,815,5.03,5.16,-0.04,-0.01,92.6,4.80,-41,-3.2,1.29,-0.5,8.9,103,.495,.495,$21398333
96,2002,NYM,NL,75,86,.466,1442.2,161,161,703,4.39,4.55,-0.14,0.00,96.5,4.52,18,2.2,1.18,-0.8,13.8,144,.504,.504,$36283333
97,2003,PIT,NL,75,87,.463,1444.0,162,162,801,4.99,4.76,-0.05,-0.01,101.7,4.88,-24,-1.6,1.21,-1.6,9.2,108,.497,.497,$15121167
98,2001,ANA,AL,75,87,.463,1437.2,162,162,730,4.57,5.19,0.24,0.02,99.0,4.91,47,4.9,1.18,-0.9,18.9,217,.509,.509,$12241000
99,2003,COL,NL,74,88,.457,1419.2,162,162,892,5.65,4.51,0.06,-0.02,115.3,5.10,-93,-8.7,.96,-1.1,2.6,37,.487,.487,$20585000
100,2002,CLE,AL,74,88,.457,1424.1,162,162,837,5.29,4.83,-0.31,0.00,99.3,5.10,-35,-1.8,1.02,-1.0,12.0,129,.497,.497,$37593448
101,2000,BAL,AL,74,88,.457,1433.1,162,162,913,5.73,5.38,-0.13,0.02,96.4,5.33,-75,-5.7,1.31,-1.4,7.9,112,.490,.490,$26685953
102,2002,COL,NL,73,89,.451,1426.1,162,162,898,5.66,4.65,0.22,-0.01,115.1,5.09,-95,-9.1,1.04,-1.2,2.1,30,.486,.486,$31025376
103,2001,COL,NL,73,89,.451,1430.0,162,162,906,5.70,4.95,0.38,0.00,121.1,5.52,-30,-2.4,1.05,-1.2,8.8,99,.496,.496,$35867667
104,2001,TEX,AL,73,89,.451,1438.1,162,162,968,6.06,5.07,-0.30,-0.01,102.7,5.49,-98,-8.6,1.10,0.0,6.3,72,.485,.485,$25290000
105,2000,MIL,NL,73,89,.451,1466.1,163,163,826,5.07,5.14,0.18,-0.01,98.5,4.87,-37,-2.0,1.14,-0.6,10.1,107,.497,.497,$14055500
106,2004,PIT,NL,72,89,.447,1428.0,161,161,744,4.69,4.75,-0.14,0.00,99.6,4.86,22,3.0,1.16,-0.8,14.5,153,.505,.505,$15474500
107,2002,PIT,NL,72,89,.447,1412.2,161,161,730,4.65,4.50,0.07,-0.01,103.1,4.56,-19,-1.6,1.19,-0.5,10.1,105,.497,.497,$11775667
108,2004,DET,AL,72,90,.444,1439.2,162,162,844,5.28,5.02,-0.13,0.00,96.4,4.96,-57,-5.1,1.19,-1.3,8.5,123,.491,.491,$10270500
109,2002,TEX,AL,72,90,.444,1439.2,162,162,882,5.51,4.93,-0.14,-0.02,105.6,5.34,-34,-2.4,1.32,-1.9,10.8,132,.496,.496,$30104803
110,2000,HOU,NL,72,90,.444,1437.2,162,162,944,5.91,5.08,-0.33,0.00,107.4,5.81,-20,-1.6,1.17,-1.4,9.5,121,.497,.497,$20816611
111,2004,NYM,NL,71,91,.438,1449.0,162,162,731,4.54,4.73,-0.23,-0.01,99.7,4.94,58,6.8,1.16,-1.0,18.3,191,.511,.511,$38943041
112,2003,BAL,AL,71,91,.438,1449.2,163,163,820,5.09,5.10,-0.01,0.00,99.1,5.06,-2,0.7,1.42,-1.2,14.5,160,.501,.501,$21812500
113,2003,TEX,AL,71,91,.438,1433.1,162,162,969,6.08,4.94,0.35,-0.05,110.4,5.01,-168,-15.1,1.07,-0.1,-0.2,-9,.477,.477,$31202500
114,2000,TEX,AL,71,91,.438,1429.0,162,162,974,6.13,5.45,-0.39,0.01,102.3,5.98,-35,-2.4,1.28,-0.8,11.8,151,.496,.496,$33240000
115,2004,TBD,AL,70,91,.435,1417.0,161,161,842,5.35,5.14,0.01,-0.02,97.1,4.96,-73,-6.3,1.06,-1.1,7.4,104,.489,.489,$8327500
116,2000,TBD,AL,69,92,.429,1431.1,161,161,842,5.29,5.44,0.06,-0.01,99.6,5.34,-3,0.7,1.13,-1.6,14.0,183,.501,.501,$16220000
117,2003,CIN,NL,69,93,.426,1446.2,162,162,886,5.51,4.73,0.03,-0.02,96.2,4.50,-169,-15.2,1.13,-0.7,-3.4,-37,.476,.476,$21566667
118,2000,MIN,AL,69,93,.426,1432.2,162,162,880,5.53,5.53,-0.29,0.00,105.0,6.10,81,8.5,1.14,-0.5,23.0,268,.515,.515,$10172500
119,2000,PIT,NL,69,93,.426,1449.0,162,162,888,5.52,5.10,-0.37,-0.03,101.3,5.51,-5,0.2,1.13,-1.3,11.4,137,.500,.500,$10815000
120,2004,COL,NL,68,94,.420,1435.1,162,162,923,5.79,4.80,-0.16,0.00,113.5,5.62,-33,-1.1,1.14,-1.9,9.4,100,.498,.498,$7368500
121,2003,CLE,AL,68,94,.420,1459.2,162,162,778,4.80,4.79,0.17,-0.01,98.8,4.55,-37,-2.8,1.19,-0.7,11.7,126,.495,.495,$12259600
122,2003,MIL,NL,68,94,.420,1452.0,162,162,873,5.41,4.72,-0.46,-0.01,99.8,5.16,-47,-3.9,1.12,-1.5,7.2,86,.494,.494,$14376000
123,2001,MIL,NL,68,94,.420,1436.2,162,162,806,5.05,4.77,-0.04,-0.02,98.2,4.70,-56,-5.0,.99,-0.5,7.0,73,.492,.492,$16335000
124,2001,MON,NL,68,94,.420,1431.2,162,162,812,5.11,4.73,-0.29,-0.01,101.2,5.07,-7,0.0,.93,-0.9,11.5,122,.500,.500,$16320500
125,2004,MIL,NL,67,94,.416,1442.0,161,161,757,4.72,4.77,-0.12,-0.01,100.9,4.92,26,3.7,1.15,-1.1,15.1,159,.506,.506,$8104000
126,2004,TOR,AL,67,94,.416,1421.0,161,161,823,5.21,5.17,0.29,0.00,103.6,5.05,-38,-2.9,1.08,-0.8,11.0,138,.495,.495,$21438000
127,2004,MON,NL,67,95,.414,1447.0,162,162,769,4.78,4.73,0.30,-0.01,104.9,4.63,-30,-2.1,1.11,-1.3,9.1,103,.497,.497,$16190500
128,2002,BAL,AL,67,95,.414,1450.2,162,162,773,4.80,5.01,0.27,-0.01,96.4,4.57,-43,-3.4,1.23,-0.7,11.0,125,.494,.494,$19030863
129,2002,CHC,NL,67,95,.414,1441.1,162,162,759,4.74,4.50,-0.35,0.01,98.5,4.77,1,1.5,1.03,-1.1,12.8,127,.503,.503,$27313333
130,2000,MON,NL,67,95,.414,1424.2,162,162,902,5.70,5.07,-0.23,-0.02,103.6,5.47,-40,-2.7,1.14,-0.8,8.8,100,.496,.496,$13961333
131,2003,NYM,NL,66,95,.410,1413.1,161,161,754,4.80,4.84,-0.27,0.00,97.9,5.00,25,3.9,1.08,-0.7,15.3,154,.507,.507,$48316666
132,2002,SDP,NL,66,96,.407,1436.1,162,162,815,5.11,4.64,-0.45,0.00,92.6,4.71,-68,-5.9,1.23,0.1,6.6,57,.490,.490,$16235000
133,2001,CIN,NL,66,96,.407,1442.1,162,162,850,5.30,4.83,-0.24,-0.03,105.6,5.32,2,0.8,1.07,-1.2,12.2,132,.501,.501,$11016000
134,2001,DET,AL,66,96,.407,1429.1,162,162,876,5.52,4.95,-0.22,0.01,96.3,4.99,-91,-7.8,1.16,-1.0,6.0,78,.486,.486,$17526667
135,2001,KCR,AL,65,97,.401,1439.2,162,162,858,5.36,5.05,0.31,-0.01,107.0,5.06,-57,-5.2,1.09,-0.9,8.9,114,.491,.491,$13925000
136,2000,CHC,NL,65,97,.401,1455.0,162,162,904,5.59,5.13,0.04,0.00,99.6,5.07,-88,-7.5,1.46,-1.5,3.6,54,.487,.487,$24041833
137,2000,PHI,NL,65,97,.401,1438.1,162,162,830,5.19,5.09,0.08,0.01,100.6,5.05,-26,-1.5,1.17,-1.7,9.3,115,.497,.497,$18588000
138,2003,SDP,NL,64,98,.395,1431.2,162,162,831,5.23,4.59,0.00,-0.01,93.2,4.27,-151,-14.0,1.19,-1.5,-3.2,-20,.477,.477,$19208000
139,2001,BAL,AL,63,98,.391,1432.1,162,162,829,5.21,4.91,-0.08,0.00,95.6,4.77,-77,-7.1,1.23,-1.3,6.5,92,.487,.487,$19403333
140,2004,SEA,AL,63,99,.389,1459.2,162,162,823,5.08,5.13,0.12,0.01,96.8,4.85,-49,-3.8,1.26,-1.2,10.1,132,.493,.493,$34157500
141,2003,TBD,AL,63,99,.389,1436.2,162,162,852,5.34,5.04,0.14,-0.02,97.1,4.73,-94,-7.7,1.27,-1.5,5.8,66,.486,.486,$3800000
142,2002,KCR,AL,62,100,.383,1441.0,162,162,891,5.56,4.91,-0.13,-0.01,110.3,5.54,-10,0.0,1.13,-1.3,13.8,157,.500,.500,$16590000
143,2001,PIT,NL,62,100,.383,1416.1,162,162,858,5.45,4.85,-0.02,-0.01,104.3,5.06,-62,-5.4,1.05,-1.1,5.8,65,.491,.491,$16830000
144,2001,TBD,AL,62,100,.383,1423.2,162,162,887,5.61,4.93,-0.18,0.00,98.3,5.01,-102,-9.0,.95,-0.9,5.0,67,.483,.483,$7975000
145,2004,KCR,AL,58,104,.358,1420.1,162,162,905,5.73,5.17,-0.10,0.00,101.6,5.34,-74,-6.4,1.12,-1.2,7.2,103,.489,.489,$12127500
146,2002,MIL,NL,56,106,.346,1432.1,162,162,821,5.16,4.51,-0.09,-0.01,99.7,4.58,-96,-8.7,.96,-0.7,2.9,29,.486,.486,$12260000
147,2002,DET,AL,55,106,.342,1414.1,161,161,864,5.50,4.93,-0.26,0.00,96.0,4.98,-85,-7.1,1.14,-0.7,7.0,78,.486,.486,$21795500
148,2002,TBD,AL,55,106,.342,1440.1,161,161,918,5.74,4.98,-0.05,0.00,99.7,5.01,-122,-11.3,1.12,-1.8,1.9,45,.476,.476,$13528000
149,2004,ARI,NL,51,111,.315,1436.0,162,162,899,5.63,4.88,-0.04,-0.01,106.1,5.21,-74,-5.5,1.17,-1.5,5.4,58,.491,.491,$31410750
150,2003,DET,AL,43,119,.265,1438.2,162,162,928,5.81,4.90,-0.19,-0.02,96.0,4.86,-148,-13.9,1.12,-2.1,-0.9,12,.477,.477,$13296000
