"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Felipe Lopez","Reds","148","648","23","97","85","15","8.8%","17.1%",".195",".322",".291",".352",".486",".360","116","3.9","17.4","8.0","4.7","1311"
"Julio Lugo","Devil Rays","158","690","6","89","57","39","8.8%","10.4%",".107",".325",".295",".362",".403",".339","109","5.9","13.4","8.8","4.6","565"
"Rafael Furcal","Braves","154","689","12","100","58","46","9.0%","11.3%",".144",".307",".284",".348",".429",".338","105","7.5","11.7","11.0","4.5","88"
"Mark Ellis","Athletics","122","486","13","76","52","1","9.1%","10.5%",".161",".335",".316",".384",".477",".376","135","-0.6","20.0","7.6","4.4","1443"
"Derek Jeter","Yankees","159","752","19","122","70","14","10.2%","15.6%",".141",".351",".309",".389",".450",".369","129","0.2","26.4","-8.1","4.4","826"
"Jhonny Peralta","Indians","141","570","24","82","78","0","10.2%","22.5%",".228",".346",".292",".366",".520",".378","136","-1.8","23.0","0.3","4.3","1738"
"Melvin Mora","Orioles","149","664","27","86","88","7","7.5%","16.9%",".191",".309",".283",".348",".474",".357","120","-2.6","13.2","6.5","4.2","157"
"Jason Giambi","Yankees","139","545","32","74","87","0","19.8%","20.0%",".264",".292",".271",".440",".535",".422","165","-1.7","41.4","-18.0","4.2","818"
"Nick Johnson","Nationals","131","547","15","66","74","3","14.6%","15.9%",".190",".329",".289",".408",".479",".385","138","-5.4","20.9","2.8","4.2","828"
"Michael Young","Rangers","159","732","24","114","91","5","7.9%","12.4%",".183",".354",".331",".385",".513",".389","136","0.8","33.2","-16.7","4.1","1286"
"Todd Helton","Rockies","144","626","20","92","79","3","16.9%","12.8%",".214",".349",".320",".445",".534",".416","145","-4.6","30.9","-10.8","4.1","432"
"David DeJesus","Royals","122","523","9","69","56","5","8.0%","14.5%",".152",".330",".293",".359",".445",".350","112","4.9","12.6","9.5","4.0","1825"
"Richie Sexson","Mariners","156","656","39","99","121","1","13.6%","25.5%",".278",".304",".263",".369",".541",".387","144","-0.9","34.1","-16.5","4.0","709"
"Chad Tracy","Diamondbacks","145","553","27","73","72","3","6.3%","14.1%",".245",".317",".308",".359",".553",".385","130","3.4","24.0","-3.0","3.9","1888"
"Jimmy Rollins","Phillies","158","732","12","115","54","41","6.4%","9.7%",".142",".309",".290",".338",".431",".332","97","10.3","7.6","7.4","3.9","971"
"Kenny Lofton","Phillies","110","406","2","67","36","22","7.9%","10.1%",".084",".373",".335",".392",".420",".359","115","6.5","14.0","11.4","3.9","246"
"Bobby Abreu","Phillies","162","719","24","104","102","31","16.3%","18.6%",".189",".329",".286",".405",".474",".379","128","4.1","29.4","-14.5","3.8","945"
"Luis Castillo","Marlins","122","524","4","72","30","10","12.4%","6.1%",".073",".317",".301",".391",".374",".346","112","0.9","8.7","12.1","3.8","513"
"Bobby Crosby","Athletics","84","371","9","66","38","0","9.4%","14.6%",".180",".306",".276",".346",".456",".349","117","3.8","11.3","14.0","3.8","1818"
"Paul Konerko","White Sox","158","664","40","98","100","0","12.2%","16.4%",".250",".287",".283",".375",".534",".386","136","-3.1","26.5","-11.3","3.8","242"
"Aaron Rowand","White Sox","157","640","13","77","69","16","5.0%","18.1%",".137",".316",".270",".329",".407",".322","93","1.6","-3.8","19.7","3.8","254"
"Trot Nixon","Red Sox","124","470","13","64","67","2","11.3%","12.6%",".172",".289",".275",".357",".446",".349","110","0.3","6.1","15.5","3.8","204"
"Jose Guillen","Nationals","148","611","24","81","76","1","5.1%","16.7%",".196",".304",".283",".338",".479",".348","114","0.3","11.0","6.1","3.7","57"
"Cliff Floyd","Mets","150","626","34","85","98","12","10.1%","15.7%",".233",".276",".273",".358",".505",".366","124","3.7","22.7","-6.1","3.7","518"
"Jeff Kent","Dodgers","149","637","29","100","105","6","11.3%","13.3%",".222",".296",".289",".377",".512",".380","133","-5.4","20.8","-5.3","3.6","1119"
"Ichiro Suzuki","Mariners","162","739","15","111","68","33","6.5%","8.9%",".133",".316",".303",".350",".436",".331","106","8.1","13.1","-2.5","3.6","1101"
"Jason Michaels","Phillies","105","343","4","54","31","3","12.8%","13.1%",".111",".344",".304",".399",".415",".362","117","1.0","8.3","16.1","3.6","1399"
"Jason Varitek","Red Sox","133","539","22","70","70","2","11.5%","21.7%",".209",".329",".281",".366",".489",".369","124","-2.1","13.6","3.3","3.5","217"
"Orlando Cabrera","Angels","141","587","8","70","57","21","6.5%","8.5%",".107",".271",".257",".309",".365",".295","80","3.8","-10.8","26.0","3.5","766"
"Bill Mueller","Red Sox","150","590","10","69","62","0","10.0%","12.5%",".135",".324",".295",".369",".430",".350","111","-4.9","3.0","11.6","3.5","295"
"Bill Hall","Brewers","146","546","17","69","62","18","7.1%","18.9%",".204",".336",".291",".342",".495",".358","116","2.4","13.3","3.3","3.4","1605"
"Joe Mauer","Twins","131","554","9","61","55","13","11.0%","11.6%",".117",".322",".294",".372",".411",".340","108","2.6","8.2","7.2","3.4","1857"
"Adam Dunn","Reds","160","671","40","107","101","4","17.0%","25.0%",".293",".279",".247",".387",".540",".392","138","4.1","35.7","-24.4","3.3","319"
"Ronnie Belliard","Indians","145","587","17","71","78","2","6.0%","12.3%",".166",".297",".284",".325",".450",".334","106","1.6","5.7","7.6","3.3","677"
"Moises Alou","Giants","123","490","19","67","63","5","11.4%","8.8%",".197",".320",".321",".400",".518",".396","142","-0.6","25.1","-8.1","3.3","261"
"Jorge Posada","Yankees","142","546","19","67","71","1","12.1%","17.2%",".169",".288",".262",".352",".430",".341","110","-0.8","5.5","8.9","3.3","841"
"Carlos Delgado","Marlins","144","616","33","81","115","0","11.7%","19.6%",".280",".332",".301",".399",".582",".407","152","-2.3","38.1","-25.6","3.3","1297"
"Tadahito Iguchi","White Sox","135","582","15","74","71","15","8.1%","19.6%",".160",".327",".278",".342",".438",".340","105","2.7","6.5","6.3","3.3","8581"
"Brandon Inge","Tigers","160","694","16","75","72","7","9.1%","20.2%",".157",".311",".261",".330",".419",".327","100","0.6","1.0","7.9","3.2","470"
"Ivan Rodriguez","Tigers","129","525","14","71","50","7","2.1%","17.7%",".169",".309",".276",".290",".444",".312","90","2.2","-4.1","18.5","3.2","1275"
"Pat Burrell","Phillies","154","669","32","78","117","0","14.8%","23.9%",".222",".336",".281",".389",".504",".384","131","-6.7","19.8","-9.8","3.2","949"
"Adam Kennedy","Angels","129","460","2","49","37","19","6.3%","13.9%",".070",".348",".300",".354",".370",".323","98","1.6","0.7","15.5","3.2","19"
"Troy Glaus","Diamondbacks","149","634","37","78","97","4","13.2%","22.9%",".264",".283",".258",".363",".522",".379","125","2.6","22.9","-12.1","3.2","15"
"Vernon Wells","Blue Jays","156","678","28","78","97","8","6.9%","12.7%",".194",".270",".269",".320",".463",".335","102","1.4","3.2","5.0","3.1","1326"
"Tony Clark","Diamondbacks","130","393","30","47","87","0","9.4%","22.4%",".332",".321",".304",".366",".636",".413","148","-2.0","21.8","-3.6","3.1","182"
"Jeff Francoeur","Braves","70","274","14","41","45","3","4.0%","21.2%",".249",".337",".300",".336",".549",".372","127","0.8","10.1","11.2","3.0","4792"
"Ken Griffey Jr.","Reds","128","555","35","85","92","0","9.7%","16.8%",".275",".305",".301",".369",".576",".399","142","-0.6","28.7","-17.4","2.9","327"
"Manny Ramirez","Red Sox","152","650","45","112","144","1","12.3%","18.3%",".301",".295",".292",".388",".594",".411","152","-1.9","39.7","-32.6","2.9","210"
"Michael Barrett","Cubs","133","477","16","48","61","0","8.4%","12.8%",".203",".288",".276",".345",".479",".354","111","-0.7","5.9","7.6","2.9","762"
"Freddy Sanchez","Pirates","132","492","5","54","35","2","5.5%","7.3%",".108",".306",".291",".336",".400",".323","94","-1.5","-4.9","17.7","2.9","1624"
"Aramis Ramirez","Cubs","123","506","31","72","92","0","6.9%","11.9%",".266",".291",".302",".358",".568",".392","136","-8.1","14.8","-2.6","2.9","1002"
"Craig Counsell","Diamondbacks","150","670","9","85","42","26","11.6%","10.3%",".119",".276",".256",".350",".375",".324","89","6.2","-3.1","9.6","2.8","52"
"Mark Grudzielanek","Cardinals","137","563","8","64","59","8","4.6%","14.4%",".114",".333",".294",".334",".407",".324","96","2.0","-0.9","10.9","2.8","653"
"Brady Clark","Brewers","145","674","13","94","53","10","7.0%","8.2%",".120",".319",".306",".372",".426",".353","113","-4.6","6.1","0.2","2.8","1398"
"Ray Durham","Giants","142","560","12","67","62","6","8.6%","10.5%",".139",".305",".290",".356",".429",".343","107","1.2","5.9","3.7","2.8","230"
"Johnny Damon","Red Sox","148","688","10","117","75","18","7.7%","10.0%",".123",".338",".316",".366",".439",".350","111","8.5","17.9","-13.7","2.7","185"
"Kevin Mench","Rangers","150","615","25","71","73","4","8.1%","11.1%",".205",".261",".264",".328",".469",".342","105","3.4","6.9","-0.3","2.7","1261"
"Lance Berkman","Astros","132","565","24","76","82","4","16.1%","12.7%",".231",".302",".293",".411",".524",".399","144","-7.4","23.7","-14.7","2.7","548"
"J.D. Drew","Dodgers","72","311","15","48","36","1","16.4%","16.1%",".234",".300",".286",".412",".520",".401","146","0.2","18.4","-1.3","2.7","1152"
"Jonny Gomes","Devil Rays","101","407","21","61","54","9","9.6%","27.8%",".253",".352",".282",".372",".534",".387","141","2.1","22.6","-9.1","2.7","1845"
"Craig Biggio","Astros","155","651","26","94","69","11","5.7%","13.8%",".203",".273",".264",".325",".468",".342","106","6.2","11.2","-5.3","2.7","549"
"Chone Figgins","Angels","158","720","8","113","57","62","8.9%","14.0%",".107",".331",".290",".352",".397",".331","104","8.7","11.9","-9.3","2.7","1580"
"Jason LaRue","Reds","110","422","14","38","60","0","9.7%","23.9%",".191",".323",".260",".355",".452",".348","109","-0.6","3.9","9.1","2.7","337"
"Luis Gonzalez","Diamondbacks","155","672","24","90","79","4","11.6%","13.4%",".188",".284",".271",".366",".459",".356","110","-3.0","5.5","-1.3","2.6","55"
"Matt Holliday","Rockies","125","526","19","68","87","14","6.8%","15.0%",".198",".332",".307",".361",".505",".372","116","1.0","11.8","-2.9","2.6","1873"
"Ryan Langerhans","Braves","128","373","8","48","42","0","9.9%","20.1%",".160",".321",".267",".348",".426",".337","104","2.4","4.3","8.9","2.5","98"
"Brian Schneider","Nationals","116","408","10","38","44","1","7.1%","11.8%",".141",".284",".268",".330",".409",".319","94","0.8","-2.1","13.9","2.5","795"
"Chris Shelton","Tigers","107","431","18","61","59","0","7.9%","20.2%",".211",".341",".299",".360",".510",".374","132","0.9","17.9","-7.5","2.5","1891"
"Orlando Hudson","Blue Jays","131","501","10","62","63","7","6.0%","13.0%",".141",".293",".271",".315",".412",".315","89","3.5","-3.5","11.5","2.5","1307"
"David Eckstein","Cardinals","158","713","8","90","61","11","8.1%","6.2%",".102",".304",".294",".363",".395",".338","105","-1.7","3.2","-1.6","2.5","10"
"Hideki Matsui","Yankees","162","704","23","108","116","2","8.9%","11.1%",".191",".315",".305",".367",".496",".369","128","-1.7","22.8","-22.0","2.5","1659"
"Jeremy Reed","Mariners","141","544","3","61","45","12","8.8%","13.6%",".098",".293",".254",".322",".352",".301","85","0.5","-9.5","15.6","2.5","4730"
"Adrian Beltre","Mariners","156","650","19","69","87","3","5.8%","16.6%",".158",".281",".255",".303",".413",".308","90","-0.4","-8.6","11.1","2.4","639"
"Brad Wilkerson","Nationals","148","661","11","76","57","8","12.7%","22.2%",".158",".315",".248",".351",".405",".331","103","-1.0","1.1","1.7","2.4","804"
"Gary Sheffield","Yankees","154","675","34","104","123","10","11.6%","11.3%",".221",".284",".291",".379",".512",".382","137","4.7","35.5","-34.1","2.4","114"
"Gary Matthews Jr.","Rangers","131","526","17","72","55","9","8.9%","17.1%",".181",".280",".255",".320",".436",".328","95","-1.4","-4.7","10.9","2.4","153"
"Alfonso Soriano","Rangers","156","682","36","102","104","30","4.8%","18.3%",".243",".281",".268",".309",".512",".347","108","7.3","14.2","-13.6","2.4","847"
"Torii Hunter","Twins","98","416","14","63","56","23","8.2%","15.6%",".183",".290",".269",".337",".452",".340","108","2.4","6.6","2.8","2.4","731"
"Ryan Freel","Reds","103","432","4","69","21","36","11.8%","13.7%",".100",".314",".271",".371",".371",".337","101","5.7","6.4","3.0","2.3","1207"
"Carlos Beltran","Mets","151","650","16","83","78","17","8.6%","14.8%",".148",".292",".266",".330",".414",".323","96","6.2","2.6","-0.7","2.3","589"
"Dave Roberts","Padres","115","480","8","65","38","23","11.0%","12.3%",".153",".302",".275",".356",".428",".342","114","2.7","10.9","-3.4","2.3","670"
"Omar Vizquel","Giants","152","651","3","66","45","24","8.6%","8.9%",".079",".297",".271",".341",".350",".311","86","-0.3","-12.0","13.5","2.3","411"
"Jay Gibbons","Orioles","139","518","26","72","79","0","5.4%","10.8%",".240",".268",".277",".317",".516",".353","117","-2.5","8.2","-3.2","2.3","141"
"Ramon Hernandez","Padres","99","392","12","36","58","1","4.6%","10.2%",".160",".297",".290",".322",".450",".333","108","-2.2","1.8","7.9","2.3","918"
"Lyle Overbay","Brewers","158","622","19","80","72","1","12.5%","15.8%",".173",".304",".276",".367",".449",".354","113","-0.7","9.4","-7.2","2.3","1617"
"Adam Everett","Astros","152","595","11","58","54","21","4.4%","17.3%",".117",".285",".248",".290",".364",".287","70","4.9","-17.6","20.3","2.2","1430"
"Juan Uribe","White Sox","146","540","16","58","71","4","6.3%","14.3%",".160",".264",".252",".301",".412",".308","84","0.5","-10.3","14.2","2.2","454"
"Willy Taveras","Astros","152","635","3","82","29","34","3.9%","16.2%",".051",".345",".291",".325",".341",".297","76","7.9","-10.9","12.0","2.2","1876"
"Jerry Hairston","Cubs","114","430","4","51","30","8","7.2%","10.7%",".108",".288",".261",".336",".368",".316","86","2.1","-5.4","13.1","2.2","144"
"Nick Swisher","Athletics","131","522","21","66","74","0","10.5%","21.1%",".210",".265",".236",".322",".446",".332","105","0.8","4.1","0.0","2.2","4599"
"Jermaine Dye","White Sox","145","579","31","74","86","11","6.7%","17.1%",".238",".284",".274",".333",".512",".361","119","-1.1","12.6","-10.5","2.2","911"
"David Dellucci","Rangers","128","518","29","97","65","5","14.7%","23.4%",".262",".279",".251",".367",".513",".379","130","1.3","20.1","-16.1","2.2","1402"
"Larry Walker","Cardinals","100","367","15","66","52","2","11.2%","17.4%",".213",".319",".289",".384",".502",".382","135","2.6","18.6","-9.1","2.2","455"
"Ryan Howard","Phillies","88","348","22","52","63","0","9.5%","28.7%",".279",".354",".288",".356",".567",".384","132","-0.6","13.2","-3.1","2.2","2154"
"Mike Cameron","Mets","76","343","12","47","39","13","8.5%","24.8%",".205",".340",".273",".342",".477",".355","117","5.2","12.3","-2.1","2.1","1070"
"Alex Gonzalez","Devil Rays","109","383","9","47","38","2","6.8%","19.3%",".140",".316",".269",".323",".410",".320","96","-1.6","-3.6","11.8","2.1","281"
"Javier Valentin","Reds","76","254","14","36","50","0","11.8%","14.6%",".240",".277",".281",".362",".520",".374","126","0.8","9.1","3.8","2.1","759"
"Raul Ibanez","Mariners","162","690","20","92","89","9","10.3%","14.3%",".156",".305",".280",".355",".436",".345","115","0.1","12.3","-14.5","2.1","607"
"Shea Hillenbrand","Blue Jays","152","645","18","91","82","5","4.0%","12.2%",".158",".310",".291",".343",".449",".345","109","0.6","7.4","-8.2","2.1","196"
"Austin Kearns","Reds","112","448","18","62","67","0","10.7%","23.9%",".212",".281",".240",".333",".452",".339","103","2.9","4.5","1.1","2.0","332"
"Rob Mackowiak","Pirates","142","512","9","57","58","8","8.4%","19.5%",".117",".330",".272",".337",".389",".319","92","0.8","-4.2","7.7","2.0","995"
"Rich Aurilia","Reds","114","468","14","61","68","2","7.9%","14.3%",".162",".305",".282",".338",".444",".339","103","-0.8","0.8","3.9","2.0","1106"
"Carlos Guillen","Tigers","87","361","5","48","23","2","6.6%","12.5%",".114",".358",".320",".368",".434",".350","116","-3.4","3.7","4.0","2.0","1079"
"Joe Randa","- - -","150","609","17","71","68","0","7.7%","13.3%",".177",".296",".276",".335",".452",".340","107","1.9","7.3","-7.4","2.0","623"
"Gregg Zaun","Blue Jays","133","512","11","61","61","2","14.3%","13.7%",".122",".274",".251",".355",".373",".327","96","-0.6","-2.9","5.3","2.0","580"
"Scott Podsednik","White Sox","129","568","0","80","25","59","8.3%","13.2%",".059",".336",".290",".351",".349",".315","88","6.2","-2.0","2.2","1.9","1095"
"Casey Blake","Indians","147","583","23","72","58","4","7.4%","19.9%",".197",".265",".241",".308",".438",".321","97","1.3","-0.7","0.3","1.9","719"
"Rod Barajas","Rangers","120","450","21","53","60","0","5.8%","15.6%",".212",".258",".254",".306",".466",".332","98","-4.3","-5.7","9.8","1.9","45"
"Garrett Atkins","Rockies","138","573","13","62","89","0","7.9%","12.6%",".139",".311",".287",".347",".426",".339","94","-3.1","-7.3","7.4","1.9","1790"
"Jack Wilson","Pirates","158","639","8","60","52","7","4.9%","9.1%",".106",".272",".257",".299",".363",".288","71","-0.2","-23.3","21.3","1.9","1017"
"Frank Catalanotto","Blue Jays","130","475","8","56","59","0","7.8%","11.2%",".150",".325",".301",".367",".451",".358","117","-3.3","6.7","-4.0","1.9","1241"
"Pedro Feliz","Giants","156","615","20","69","81","0","6.2%","16.6%",".172",".269",".250",".295",".422",".309","84","-2.8","-15.1","13.8","1.9","1112"
"Ryan Church","Nationals","102","301","9","41","42","3","8.0%","23.3%",".179",".354",".287",".353",".466",".356","119","-1.0","6.2","2.7","1.9","2106"
"Marco Scutaro","Athletics","118","423","9","48","37","5","8.5%","11.3%",".144",".261",".247",".310",".391",".307","88","2.7","-3.4","7.6","1.9","1555"
"Todd Walker","Cubs","110","433","12","50","40","1","7.2%","9.2%",".169",".314",".305",".355",".474",".359","114","0.8","8.5","-4.2","1.8","359"
"Carlos Lee","Brewers","162","688","32","85","114","13","8.3%","12.6%",".222",".259",".265",".324",".487",".343","106","0.5","5.5","-9.7","1.8","243"
"Jason Kendall","Athletics","150","676","0","70","53","8","7.4%","5.8%",".050",".287",".271",".345",".321",".304","86","0.1","-11.3","6.7","1.8","993"
"Jay Payton","- - -","124","435","18","62","63","0","5.5%","10.8%",".176",".263",".267",".306",".444",".322","96","0.8","-1.4","4.9","1.8","890"
"Edgar Renteria","Red Sox","153","692","8","100","70","9","7.9%","14.5%",".109",".315",".276",".335",".385",".319","90","5.3","-3.4","-1.9","1.8","1178"
"Jason Bartlett","Twins","74","252","3","33","16","4","8.3%","14.7%",".094",".276",".241",".316",".335",".294","77","1.3","-5.8","15.1","1.8","8219"
"Joe Crede","White Sox","132","471","22","54","62","1","5.3%","14.0%",".201",".250",".252",".303",".454",".323","94","-0.2","-3.6","5.4","1.8","227"
"Mark Sweeney","Padres","135","267","8","31","40","4","15.0%","21.7%",".172",".356",".294",".395",".466",".372","134","0.6","11.9","-3.0","1.8","1408"
"Mark Kotsay","Athletics","139","629","15","75","82","5","6.4%","8.1%",".141",".285",".280",".325",".421",".324","99","1.6","1.1","-4.8","1.8","1042"
"Corey Koskie","Blue Jays","97","404","11","49","36","4","10.9%","22.3%",".150",".302",".249",".337",".398",".323","94","-3.1","-5.9","9.6","1.7","738"
"Jose Reyes","Mets","161","733","7","99","58","60","3.7%","10.6%",".114",".298",".273",".300",".386",".299","80","7.4","-11.2","4.7","1.7","1736"
"Bengie Molina","Angels","119","449","15","45","69","0","6.0%","9.1%",".151",".294",".295",".336",".446",".337","108","-7.7","-3.3","5.3","1.7","24"
"Javy Lopez","Orioles","103","423","15","47","49","0","4.5%","16.1%",".180",".303",".278",".322",".458",".336","105","-0.3","2.4","0.3","1.7","103"
"Jeff Cirillo","Brewers","77","219","4","29","23","4","10.5%","10.0%",".146",".302",".281",".373",".427",".355","114","2.3","6.1","3.7","1.7","1073"
"Clint Barmes","Rockies","81","377","10","55","46","6","4.2%","9.5%",".146",".298",".289",".330",".434",".332","90","3.2","-1.6","6.2","1.7","1830"
"Darin Erstad","Angels","153","667","7","86","66","10","7.0%","16.3%",".099",".321",".273",".325",".371",".307","87","5.0","-5.2","-0.5","1.7","11"
"Rondell White","Tigers","97","400","12","49","53","1","4.3%","12.0%",".176",".330",".313",".348",".489",".360","123","0.3","11.5","-8.2","1.7","856"
"Damian Miller","Brewers","114","431","9","50","43","0","8.6%","21.8%",".140",".337",".273",".340",".413",".326","95","-1.6","-4.3","6.9","1.7","65"
"Mike Sweeney","Royals","122","514","21","63","83","3","6.4%","11.9%",".217",".305",".300",".347",".517",".365","122","-1.1","12.6","-13.4","1.7","634"
"Reggie Sanders","Cardinals","93","329","21","49","54","14","8.5%","22.8%",".275",".294",".271",".340",".546",".376","130","0.2","12.7","-6.9","1.7","1129"
"Khalil Greene","Padres","121","476","15","51","70","5","5.3%","19.5%",".181",".281",".250",".296",".431",".311","93","3.9","-0.2","0.8","1.6","1826"
"A.J. Pierzynski","White Sox","128","497","18","61","56","0","4.6%","13.7%",".163",".267",".257",".308",".420",".314","88","-2.9","-10.3","9.6","1.6","746"
"Matt Murton","Cubs","51","160","7","19","14","2","10.0%","13.8%",".200",".336",".321",".386",".521",".382","130","-0.4","5.6","5.3","1.6","6307"
"Milton Bradley","Dodgers","75","316","13","49","38","6","7.9%","14.9%",".194",".308",".290",".350",".484",".360","120","-2.0","5.8","-0.1","1.6","369"
"Juan Pierre","Marlins","162","719","2","96","47","57","5.7%","6.3%",".078",".293",".276",".326",".354",".303","83","6.5","-8.9","1.0","1.6","443"
"J.J. Hardy","Brewers","124","427","9","46","50","0","10.3%","11.2%",".137",".262",".247",".327",".384",".309","84","1.5","-7.3","8.9","1.6","3797"
"Nook Logan","Tigers","129","356","1","47","17","23","5.9%","14.6%",".078",".305",".258",".305",".335",".282","70","4.0","-9.1","12.5","1.6","2076"
"Kelly Johnson","Braves","87","334","9","46","40","2","12.0%","22.5%",".155",".295",".241",".334",".397",".323","95","-0.9","-3.1","7.3","1.5","2234"
"Lew Ford","Twins","147","590","7","70","53","13","7.6%","14.4%",".113",".301",".264",".338",".377",".318","93","3.8","-1.0","-3.8","1.5","1724"
"Juan Encarnacion","Marlins","141","563","16","59","76","6","7.3%","18.5%",".160",".332",".287",".349",".447",".346","112","1.2","9.6","-12.9","1.5","320"
"Ryan Klesko","Padres","137","520","18","61","58","3","14.4%","15.4%",".169",".266",".248",".358",".418",".343","115","-0.2","9.4","-11.4","1.5","1041"
"Dmitri Young","Tigers","126","509","21","61","72","1","5.7%","19.6%",".200",".304",".271",".325",".471",".339","109","0.1","5.6","-8.1","1.5","505"
"Jeromy Burnitz","Cubs","160","671","24","84","87","5","8.5%","16.2%",".177",".277",".258",".322",".435",".328","94","0.3","-4.8","-2.5","1.5","867"
"Toby Hall","Devil Rays","135","463","5","28","48","0","3.5%","8.4%",".081",".301",".287",".315",".368",".299","82","-4.3","-14.6","13.4","1.5","1210"
"Justin Morneau","Twins","141","543","22","62","79","0","8.1%","17.3%",".198",".251",".239",".304",".437",".314","91","-1.3","-7.2","3.4","1.5","1737"
"Chris Duffy","Pirates","39","136","1","22","9","2","5.1%","16.2%",".087",".408",".341",".385",".429",".360","119","0.4","3.6","6.2","1.4","3605"
"Aaron Hill","Blue Jays","105","407","3","49","40","2","8.4%","10.1%",".111",".299",".274",".342",".385",".322","93","3.0","-0.3","0.8","1.4","6104"
"Craig Monroe","Tigers","157","623","20","69","89","8","6.4%","15.2%",".169",".295",".277",".322",".446",".328","101","0.8","1.8","-8.6","1.4","1464"
