"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Alex Rodriguez","Mariners","148","672","41","134","132","15","14.9%","18.0%",".291",".333",".316",".420",".606",".431","158","1.3","54.4","22.6","9.5","1274"
"Darin Erstad","Angels","157","747","25","121","100","28","8.6%","11.0%",".186",".375",".355",".409",".541",".408","140","2.0","42.2","22.2","8.7","11"
"Todd Helton","Rockies","160","697","42","138","147","5","14.8%","8.8%",".326",".357",".372",".463",".698",".476","162","-0.3","58.1","6.4","8.3","432"
"Troy Glaus","Angels","159","678","47","120","102","14","16.5%","24.0%",".320",".319",".284",".404",".604",".424","150","-2.2","43.7","19.0","8.2","15"
"Jason Giambi","Athletics","152","664","43","108","137","2","20.6%","14.5%",".314",".335",".333",".476",".647",".471","183","0.5","75.2","-15.7","7.7","818"
"Andruw Jones","Braves","161","729","36","122","104","21","8.1%","13.7%",".238",".310",".303",".366",".541",".387","127","1.5","28.7","27.5","7.7","96"
"Barry Bonds","Giants","143","607","49","129","106","11","19.3%","12.7%",".381",".271",".306",".440",".688",".456","174","0.9","62.3","-0.9","7.6","1109"
"Nomar Garciaparra","Red Sox","140","599","21","104","96","5","10.2%","8.3%",".227",".378",".372",".434",".599",".432","154","0.2","44.4","15.0","7.6","190"
"Jeff Kent","Giants","159","695","33","114","125","12","12.9%","15.4%",".262",".357",".334",".424",".596",".431","159","-1.6","53.7","2.4","7.4","1119"
"Carlos Delgado","Blue Jays","162","711","41","115","137","0","17.3%","14.6%",".320",".362",".344",".470",".664",".471","179","-0.4","75.9","-21.3","7.4","1297"
"Richard Hidalgo","Astros","153","644","44","118","122","13","8.7%","17.1%",".323",".317",".314",".391",".636",".428","149","-0.1","42.6","13.2","7.3","561"
"Bobby Abreu","Phillies","154","680","25","103","79","28","14.7%","17.1%",".238",".358",".316",".416",".554",".413","143","2.0","42.0","8.2","6.9","945"
"Gary Sheffield","Dodgers","141","612","43","105","109","4","16.5%","11.6%",".317",".305",".325",".438",".643",".451","173","-1.9","59.3","-9.0","6.6","114"
"Jim Edmonds","Cardinals","152","643","42","129","108","10","16.0%","26.0%",".288",".349",".295",".411",".583",".421","149","0.7","43.2","4.7","6.5","1153"
"Edgardo Alfonzo","Mets","150","650","25","109","94","3","14.6%","10.8%",".219",".332",".324",".425",".542",".418","150","-0.2","44.2","2.9","6.4","859"
"Brian Giles","Pirates","156","688","35","111","123","6","16.6%","10.0%",".279",".305",".315",".432",".594",".430","153","1.3","51.2","-5.7","6.3","990"
"Vladimir Guerrero","Expos","154","641","44","101","123","9","9.0%","11.5%",".319",".335",".345",".410",".664",".439","160","-2.7","49.2","-3.7","6.2","778"
"Jorge Posada","Yankees","151","624","28","92","86","2","17.1%","24.2%",".240",".355",".287",".417",".527",".405","140","-0.4","33.3","10.1","6.1","841"
"Chipper Jones","Braves","156","686","36","118","111","14","13.8%","9.3%",".256",".294",".311",".404",".566",".409","141","-0.3","37.9","3.4","6.0","97"
"Jeff Bagwell","Astros","159","719","47","152","132","9","14.9%","16.1%",".305",".313",".310",".424",".615",".435","153","-0.9","51.4","-11.8","5.9","547"
"Frank Thomas","White Sox","159","707","43","115","143","1","15.8%","13.3%",".297",".327",".328",".436",".625",".441","160","-1.1","56.3","-17.9","5.9","255"
"Mike Piazza","Mets","136","545","38","90","113","4","10.6%","12.7%",".290",".313",".324",".398",".614",".423","153","0.0","39.4","5.3","5.8","893"
"Sammy Sosa","Cubs","156","705","50","106","138","7","12.9%","23.8%",".315",".363",".320",".406",".634",".428","154","-0.4","51.1","-12.0","5.8","302"
"Ken Griffey Jr.","Reds","145","631","40","100","118","6","14.9%","18.5%",".285",".272",".271",".387",".556",".392","127","-0.6","22.8","13.1","5.4","327"
"Edgar Martinez","Mariners","153","665","37","100","145","3","14.4%","14.3%",".255",".331",".324",".423",".579",".424","154","0.7","49.5","-15.9","5.3","1086"
"Charles Johnson","- - -","128","478","31","76","91","2","10.9%","22.2%",".278",".338",".304",".379",".582",".407","141","0.5","27.3","12.0","5.3","523"
"David Justice","- - -","146","606","41","89","118","2","12.7%","15.0%",".298",".276",".286",".377",".584",".404","137","0.0","30.8","2.4","5.2","923"
"Roberto Alomar","Indians","155","697","19","111","89","39","9.2%","11.8%",".166",".330",".310",".378",".475",".371","114","6.1","18.9","9.2","5.0","860"
"Shannon Stewart","Blue Jays","136","631","21","107","69","20","5.9%","12.5%",".199",".339",".319",".363",".518",".378","119","1.8","18.2","11.0","4.9","1322"
"Bernie Williams","Yankees","141","616","30","108","121","13","11.5%","13.6%",".259",".317",".307",".391",".566",".403","138","0.4","32.5","-1.4","4.9","857"
"Manny Ramirez","Indians","118","532","38","92","122","1","16.2%","22.0%",".346",".403",".351",".457",".697",".477","181","-0.2","58.7","-24.8","4.8","210"
"Jason Kendall","Pirates","152","678","14","112","58","22","11.7%","11.7%",".150",".349",".320",".412",".470",".390","127","-1.0","24.0","5.0","4.8","993"
"Luis Gonzalez","Diamondbacks","162","722","31","106","114","2","10.8%","11.8%",".233",".313",".311",".392",".544",".397","131","-1.3","28.7","-2.4","4.7","55"
"Ivan Rodriguez","Rangers","91","389","27","66","83","5","4.9%","12.3%",".320",".337",".347",".375",".667",".428","149","-1.3","24.4","12.2","4.7","1275"
"Carl Everett","Red Sox","137","561","34","82","108","11","9.3%","20.1%",".286",".325",".300",".373",".587",".402","135","0.4","27.1","3.3","4.7","1249"
"Mark McGwire","Cardinals","89","321","32","60","73","1","23.7%","24.3%",".441",".313",".305",".483",".746",".494","195","0.3","41.9","-3.0","4.6","1008559"
"Phil Nevin","Padres","143","605","31","87","107","2","9.8%","20.0%",".240",".338",".303",".374",".543",".387","133","0.5","27.9","1.1","4.6","1049"
"Scott Rolen","Phillies","128","541","26","88","89","8","9.4%","18.3%",".253",".328",".298",".370",".551",".387","126","1.2","20.5","9.9","4.6","970"
"Travis Fryman","Indians","155","658","22","93","106","1","11.1%","16.9%",".195",".359",".321",".392",".516",".391","126","-0.2","23.4","2.2","4.6","385"
"Tim Salmon","Angels","158","680","34","108","97","0","15.3%","20.4%",".250",".330",".290",".404",".540",".406","138","-0.8","34.5","-10.1","4.5","32"
"Johnny Damon","Royals","159","741","16","136","88","46","8.8%","8.1%",".168",".335",".327",".382",".495",".377","115","5.2","19.8","1.4","4.5","185"
"Jose Valentin","White Sox","144","648","25","107","92","19","9.1%","16.4%",".218",".295",".273",".343",".491",".358","107","3.0","9.0","15.2","4.5","256"
"Geoff Jenkins","Brewers","135","564","34","100","94","11","5.9%","23.9%",".285",".349",".303",".360",".588",".396","132","1.8","26.3","2.2","4.5","690"
"Jim Thome","Indians","158","684","37","106","106","1","17.3%","25.0%",".262",".319",".269",".398",".531",".399","131","0.3","29.5","-7.1","4.4","409"
"Ellis Burks","Giants","122","458","24","74","96","5","12.2%","10.7%",".262",".338",".344",".419",".606",".430","158","0.6","36.5","-4.6","4.4","372"
"Jose Vidro","Expos","153","663","24","101","97","5","7.4%","10.4%",".210",".339",".330",".379",".540",".391","129","-0.8","25.4","-0.8","4.3","802"
"Bobby Higginson","Tigers","154","679","30","104","102","15","10.9%","14.6%",".238",".316",".300",".377",".538",".389","131","1.7","30.5","-8.5","4.3","469"
"Jermaine Dye","Royals","157","679","33","107","118","0","10.2%","14.6%",".240",".337",".321",".390",".561",".403","131","-0.4","28.3","-7.6","4.2","911"
"Damion Easley","Tigers","126","535","14","76","58","13","10.3%","14.8%",".157",".285",".259",".350",".416",".341","100","0.8","0.8","21.8","4.0","464"
"Brad Ausmus","Tigers","150","604","7","75","51","11","11.4%","13.1%",".099",".301",".266",".357",".365",".329","92","0.0","-6.2","25.5","3.9","546"
"Adrian Beltre","Dodgers","138","575","20","71","85","12","9.7%","13.9%",".184",".309",".290",".360",".475",".362","116","0.2","13.0","9.1","3.9","639"
"J.D. Drew","Cardinals","135","486","18","73","57","17","13.8%","20.4%",".184",".351",".295",".401",".479",".386","126","-0.7","16.7","7.0","3.8","1152"
"Will Clark","- - -","130","507","21","78","70","5","13.6%","13.6%",".227",".337",".319",".418",".546",".415","146","0.2","32.1","-9.3","3.8","1002318"
"Luis Castillo","Marlins","136","626","2","101","17","62","12.5%","13.7%",".054",".395",".334",".418",".388",".370","119","2.4","18.4","1.0","3.8","513"
"Sean Casey","Reds","133","545","20","69","85","1","9.5%","14.7%",".202",".339",".315",".385",".517",".387","124","0.3","18.1","2.7","3.7","314"
"Derek Jeter","Yankees","148","679","15","119","73","22","10.0%","14.6%",".142",".386",".339",".416",".481",".395","133","2.7","33.3","-16.4","3.7","826"
"John Olerud","Mariners","159","683","14","84","103","0","14.9%","14.1%",".154",".316",".285",".392",".439",".364","115","-0.8","13.4","0.4","3.6","1093"
"Mike Cameron","Mariners","155","643","19","96","78","24","12.1%","20.7%",".171",".317",".267",".365",".438",".355","110","1.7","10.0","5.1","3.6","1070"
"Eric Young","Cubs","153","690","6","98","47","54","9.1%","5.7%",".102",".307",".297",".367",".399",".343","100","7.7","7.4","7.2","3.6","716"
"Miguel Tejada","Athletics","160","681","30","105","115","6","9.7%","15.0%",".204",".287",".275",".349",".479",".356","109","1.3","9.6","4.2","3.5","941"
"Rafael Furcal","Braves","131","542","4","87","37","40","13.5%","14.8%",".088",".349",".295",".394",".382",".355","107","1.6","6.5","10.7","3.3","88"
"Mike Sweeney","Royals","159","717","29","105","144","8","9.9%","9.3%",".189",".331",".333",".407",".523",".400","129","0.3","28.8","-18.2","3.3","634"
"Steve Finley","Diamondbacks","152","623","35","100","96","12","10.4%","14.0%",".263",".272",".280",".361",".544",".379","119","-0.3","15.9","-1.0","3.3","54"
"Ryan Klesko","Padres","145","590","26","88","92","23","15.4%","13.7%",".233",".292",".283",".393",".516",".389","135","1.5","29.2","-13.7","3.2","1041"
"John Vander Wal","Pirates","134","461","24","74","94","11","15.6%","20.0%",".263",".336",".299",".410",".563",".413","142","1.3","27.9","-8.4","3.2","853"
"Moises Alou","Astros","126","517","30","82","114","3","10.1%","8.7%",".269",".338",".355",".416",".623",".436","154","-0.7","37.2","-19.3","3.2","261"
"Shawn Green","Dodgers","162","714","24","98","99","24","12.6%","16.9%",".203",".297",".269",".367",".472",".362","116","2.6","18.4","-8.3","3.2","651"
"Rafael Palmeiro","Rangers","158","678","39","102","120","2","15.2%","11.4%",".269",".272",".288",".397",".558",".399","130","0.0","27.6","-17.8","3.1","1266"
"Fernando Vina","Cardinals","123","554","4","81","31","10","6.5%","6.5%",".099",".317",".300",".380",".398",".353","105","-1.6","2.3","11.7","3.1","1189"
"Mark Grace","Cubs","143","621","11","75","82","1","15.3%","4.5%",".149",".276",".280",".394",".429",".362","112","-0.6","9.3","1.6","3.0","56"
"Jeff Cirillo","Rockies","157","684","11","111","115","3","9.8%","10.5%",".151",".349",".326",".392",".477",".378","99","-1.1","-2.5","11.3","3.0","1073"
"Kenny Lofton","Indians","137","640","15","107","73","30","12.3%","11.3%",".144",".293",".278",".369",".422",".350","100","2.9","2.9","5.9","3.0","246"
"Mike Lieberthal","Phillies","108","438","15","55","71","2","9.1%","12.1%",".193",".287",".278",".352",".470",".355","106","0.5","3.9","12.7","2.9","959"
"Darrin Fletcher","Blue Jays","122","445","20","43","58","1","4.5%","10.1%",".195",".318",".320",".355",".514",".371","114","0.3","8.9","5.6","2.8","1302"
"Javy Lopez","Braves","134","525","24","60","89","0","6.7%","15.2%",".198",".298",".287",".337",".484",".351","104","0.1","3.0","9.3","2.8","103"
"Ray Durham","White Sox","151","709","17","121","75","25","10.6%","14.8%",".169",".310",".280",".361",".450",".355","105","-0.9","3.7","0.2","2.7","230"
"Todd Zeile","Mets","153","623","22","67","79","3","11.9%","13.6%",".199",".282",".268",".356",".467",".357","111","-1.2","8.2","-0.9","2.7","457"
"Tony Batista","Blue Jays","154","664","41","96","114","5","5.3%","18.2%",".256",".265",".263",".307",".519",".348","100","-0.8","-0.8","5.3","2.7","124"
"Quilvio Veras","Braves","84","364","5","56","37","25","14.0%","13.7%",".101",".352",".309",".413",".409",".374","119","-0.5","8.7","7.2","2.7","1013404"
"Mike Lowell","Marlins","140","583","22","73","91","4","9.3%","12.9%",".205",".273",".270",".344",".474",".350","106","0.9","5.7","3.0","2.6","527"
"Trot Nixon","Red Sox","123","502","12","66","60","8","12.5%","16.9%",".185",".316",".276",".368",".461",".361","109","1.2","7.5","2.2","2.6","204"
"Damian Jackson","Padres","138","541","6","68","37","28","11.5%","20.0%",".121",".318",".255",".345",".377",".324","93","2.9","-2.4","11.7","2.6","471"
"Herbert Perry","- - -","116","450","12","71","62","4","5.3%","16.7%",".165",".341",".302",".350",".467",".355","105","0.4","3.2","8.1","2.6","1270"
"Todd Hundley","Dodgers","90","353","24","49","70","0","12.7%","19.5%",".294",".288",".284",".375",".579",".395","138","-0.4","17.8","-1.1","2.6","284"
"Corey Koskie","Twins","146","559","9","79","65","5","13.8%","18.6%",".141",".365",".300",".400",".441",".371","114","-0.8","10.0","-2.1","2.6","738"
"Chad Kreuter","Dodgers","80","271","6","32","28","1","19.9%","17.7%",".146",".314",".264",".416",".410",".378","127","0.2","10.1","8.1","2.6","661"
"Rondell White","- - -","94","396","13","59","61","5","8.3%","19.9%",".182",".367",".311",".374",".493",".377","120","-0.3","10.4","3.1","2.5","856"
"Barry Larkin","Reds","102","447","11","71","41","14","10.7%","6.9%",".174",".319",".313",".389",".487",".384","122","0.1","13.4","-0.8","2.5","335"
"Omar Vizquel","Indians","156","717","7","101","66","22","12.1%","10.0%",".088",".314",".287",".377",".375",".343","96","-0.1","-4.2","5.8","2.5","411"
"Rich Aurilia","Giants","141","571","20","67","79","1","9.5%","15.8%",".173",".293",".271",".339",".444",".340","100","-0.6","-0.4","8.1","2.5","1106"
"Raul Mondesi","Blue Jays","96","426","24","78","67","22","7.5%","17.1%",".253",".276",".271",".329",".523",".361","108","1.7","6.4","4.7","2.5","1314"
"Delino DeShields","Orioles","151","643","10","84","86","37","10.7%","12.8%",".148",".326",".296",".369",".444",".356","110","2.9","11.6","-7.4","2.5","275"
"Mark Kotsay","Marlins","152","578","12","87","57","19","7.3%","8.0%",".145",".307",".298",".347",".443",".344","102","-0.3","1.6","4.7","2.5","1042"
"Chris Stynes","Reds","119","420","12","71","40","5","7.6%","12.9%",".163",".363",".334",".386",".497",".383","121","0.1","12.4","0.0","2.5","303"
"Cliff Floyd","Marlins","121","487","22","75","91","24","10.3%","16.8%",".229",".320",".300",".378",".529",".384","128","3.5","22.1","-11.7","2.4","518"
"B.J. Surhoff","- - -","147","587","14","69","68","10","7.0%","9.9%",".152",".305",".291",".344",".443",".343","101","1.2","1.7","3.0","2.4","117"
"Alex Ochoa","Reds","118","275","13","50","58","9","8.7%","9.8%",".270",".308",".316",".378",".586",".403","134","0.0","12.7","3.4","2.4","700"
"Greg Colbrunn","Diamondbacks","116","385","15","48","57","0","11.2%","11.7%",".210",".324",".313",".405",".523",".401","133","-0.4","17.0","-4.5","2.4","51"
"Lance Berkman","Astros","114","417","21","76","67","6","13.4%","17.5%",".263",".316",".297",".388",".561",".402","132","0.3","18.7","-7.0","2.4","548"
"Deivi Cruz","Tigers","156","615","10","68","82","1","2.1%","7.0%",".148",".309",".302",".318",".449",".329","92","-1.6","-7.9","11.0","2.4","1025"
"Mike Matheny","Cardinals","128","464","6","43","47","0","6.9%","20.7%",".101",".323",".261",".317",".362",".296","69","0.1","-19.7","27.7","2.3","1169"
"Jose Cruz","Blue Jays","162","681","31","91","76","15","10.4%","18.9%",".224",".258",".242",".323",".466",".338","94","0.8","-5.2","5.4","2.3","1296"
"Damian Miller","Diamondbacks","100","364","10","43","44","2","9.9%","20.3%",".167",".326",".275",".347",".441",".342","95","-0.5","-3.0","14.9","2.3","65"
"Magglio Ordonez","White Sox","153","665","32","102","126","18","9.0%","9.6%",".231",".302",".315",".371",".546",".387","125","1.8","24.8","-22.8","2.3","248"
"Marvin Benard","Giants","149","633","12","102","55","22","10.0%","15.3%",".134",".298",".263",".342",".396",".330","94","1.3","-4.3","6.8","2.3","1382"
"Matt Lawton","Twins","156","664","13","84","88","23","13.7%","9.5%",".155",".322",".305",".405",".460",".380","120","1.5","19.4","-18.0","2.3","390"
"Mitch Meluskey","Astros","117","400","14","47","69","1","13.8%","18.5%",".187",".345",".300",".401",".487",".381","119","0.3","10.6","0.7","2.3","478"
"David Segui","- - -","150","634","19","93","103","0","8.4%","13.2%",".176",".363",".334",".388",".510",".388","124","-0.4","20.0","-18.1","2.2","169"
"Greg Vaughn","Devil Rays","127","545","28","83","74","8","14.7%","23.5%",".245",".290",".254",".365",".499",".372","116","1.2","13.2","-8.8","2.2","1233"
"Michael Tucker","Reds","148","323","15","55","36","13","13.6%","19.8%",".244",".295",".267",".381",".511",".385","123","-0.1","9.8","2.9","2.2","635"
"Garret Anderson","Angels","159","681","35","92","117","7","3.5%","12.8%",".233",".281",".286",".307",".519",".345","99","-1.3","-2.1","1.4","2.2","2"
"Ron Gant","- - -","123","487","26","69","54","6","11.5%","18.7%",".242",".256",".249",".335",".492",".354","105","-1.5","1.8","4.3","2.2","1032"
"Ben Grieve","Athletics","158","675","27","92","104","3","10.8%","19.3%",".207",".314",".279",".359",".487",".365","115","0.7","14.1","-14.3","2.2","1209"
"Bengie Molina","Angels","130","513","14","59","71","1","4.5%","6.4%",".140",".275",".281",".318",".421",".322","84","0.3","-10.7","15.1","2.2","24"
"Randy Velarde","Athletics","122","546","12","82","41","9","9.9%","17.4%",".122",".325",".278",".354",".400",".337","97","0.5","-1.7","4.8","2.1","942"
"Pokey Reese","Reds","135","577","12","76","46","29","7.8%","14.9%",".131",".282",".255",".319",".386",".309","74","4.5","-16.1","17.9","2.1","1004"
"Benny Agbayani","Mets","119","415","15","59","60","5","13.0%","16.4%",".189",".319",".289",".391",".477",".380","126","-1.2","13.4","-5.0","2.1","416"
"Carlos Lee","White Sox","152","619","24","107","92","13","6.1%","15.2%",".184",".322",".301",".345",".484",".357","106","0.8","5.8","-5.8","2.1","243"
"Joe Randa","Royals","158","665","15","88","106","6","5.4%","9.9%",".134",".316",".304",".343",".438",".339","90","-0.1","-9.3","7.2","2.1","623"
"Edgar Renteria","Cardinals","150","643","16","94","76","21","9.8%","12.0%",".146",".293",".278",".346",".423",".337","95","-1.7","-6.2","6.5","2.0","1178"
"Jay Payton","Mets","149","529","17","63","62","5","5.7%","11.3%",".156",".298",".291",".331",".447",".337","98","-4.0","-5.3","8.8","2.0","890"
"Bobby Estalella","Giants","106","361","14","45","53","3","15.8%","25.5%",".234",".286",".234",".357",".468",".350","107","0.6","4.0","5.8","2.0","428"
"Placido Polanco","Cardinals","118","350","5","50","39","4","4.6%","7.4%",".102",".329",".316",".347",".418",".337","95","-1.0","-3.5","12.7","2.0","1176"
"Eric Chavez","Athletics","153","569","26","89","86","2","10.9%","16.5%",".218",".293",".277",".355",".495",".361","112","-0.5","9.0","-7.0","2.0","906"
"Mike Bordick","- - -","156","644","20","88","80","9","7.6%","15.4%",".158",".311",".285",".341",".443",".342","101","-0.9","0.2","-1.2","2.0","129"
"Robin Ventura","Mets","141","551","24","61","84","3","13.6%","16.5%",".207",".237",".232",".338",".439",".332","95","-1.6","-5.1","6.9","1.9","854"
"Preston Wilson","Marlins","161","674","31","94","121","36","8.2%","27.7%",".221",".328",".264",".331",".486",".350","106","0.8","6.4","-7.7","1.9","545"
"Kevin Millar","Marlins","123","305","14","36","42","0","11.8%","15.4%",".239",".265",".259",".364",".498",".373","121","0.0","8.7","1.0","1.9","529"
"Brook Fordyce","- - -","93","330","14","41","49","0","5.2%","15.2%",".205",".317",".301",".341",".507",".362","112","0.0","5.3","3.3","1.9","138"
"Aaron Boone","Reds","84","332","12","44","43","6","7.2%","15.7%",".186",".307",".285",".356",".471",".358","106","0.8","3.4","5.3","1.9","311"
"Mo Vaughn","Angels","161","712","36","93","117","2","11.1%","25.4%",".226",".326",".272",".365",".498",".368","114","0.5","14.4","-19.4","1.9","899"
"Larry Walker","Rockies","87","372","9","64","51","5","12.4%","10.8%",".197",".328",".309",".409",".506",".396","110","-1.2","3.8","3.2","1.9","455"
"Brian Jordan","Braves","133","537","17","71","77","10","7.1%","14.9%",".157",".282",".264",".320",".421",".323","86","1.1","-8.9","9.3","1.8","658"
"Ronnie Belliard","Brewers","152","667","8","83","54","7","12.3%","12.6%",".126",".292",".263",".354",".389",".331","90","-0.8","-9.5","6.3","1.8","677"
"Fernando Tatis","Cardinals","96","394","18","59","64","2","14.5%","23.9%",".238",".299",".253",".379",".491",".379","122","-0.9","10.7","-4.0","1.8","798"
"Derrek Lee","Marlins","158","546","28","70","70","0","11.5%","22.5%",".226",".323",".281",".368",".507",".375","122","-1.3","14.9","-13.7","1.8","525"
"Todd Hollandsworth","- - -","137","471","19","81","47","18","8.7%","21.0%",".180",".309",".269",".333",".449",".339","91","0.4","-5.4","8.0","1.8","433"
"Terrence Long","Athletics","138","631","18","104","80","5","6.8%","12.2%",".164",".305",".288",".336",".452",".342","100","1.1","1.0","-4.0","1.8","927"
"Ken Caminiti","Astros","59","253","15","42","45","3","16.6%","14.6%",".279",".304",".303",".419",".582",".417","142","0.6","15.1","-4.2","1.8","1001863"
"Henry Blanco","Brewers","93","324","7","29","31","0","11.1%","18.5%",".158",".271",".236",".318",".394",".307","75","-1.3","-12.4","19.3","1.7","81"
"Orlando Palmeiro","Angels","108","296","0","38","25","4","12.8%","6.8%",".099",".323",".300",".395",".399",".360","109","0.4","3.9","3.6","1.7","28"
"Jeromy Burnitz","Brewers","161","686","31","91","98","6","14.4%","17.6%",".223",".238",".232",".356",".456",".350","102","-0.6","1.7","-6.2","1.7","867"
"Dmitri Young","Reds","152","593","18","68","88","0","6.1%","13.5%",".188",".325",".303",".346",".491",".356","104","-1.3","2.2","-4.0","1.7","505"
"Joe Girardi","Cubs","106","407","6","47","40","1","7.9%","15.0%",".096",".318",".278",".339",".375",".317","83","0.3","-9.2","13.5","1.7","280"
"Eric Owens","Padres","145","636","6","87","51","29","7.1%","9.9%",".087",".319",".293",".346",".381",".323","92","-0.5","-7.3","3.6","1.7","534"
"Jeffrey Hammonds","Rockies","122","511","20","94","106","14","8.6%","16.2%",".194",".370",".335",".395",".529",".396","110","-0.3","6.7","-5.8","1.7","687"
"Juan Gonzalez","Tigers","115","496","22","69","67","1","6.5%","16.9%",".217",".312",".289",".337",".505",".359","112","-0.7","7.1","-7.0","1.7","1251"
"Brady Anderson","Orioles","141","618","19","89","50","16","14.9%","16.7%",".164",".284",".257",".375",".421",".353","108","-0.9","6.0","-9.6","1.7","364"
"Todd Pratt","Mets","80","190","8","33","25","0","11.6%","16.3%",".188",".295",".275",".378",".463",".369","119","0.0","4.9","6.4","1.7","968"
"Rey Sanchez","Royals","143","555","1","68","38","7","5.0%","9.9%",".049",".303",".273",".314",".322",".288","57","0.1","-32.0","28.2","1.7","213"
"Tom Goodwin","- - -","147","606","6","94","58","55","11.2%","19.3%",".089",".325",".263",".346",".352",".316","70","6.5","-18.3","14.6","1.7","1114"
"Brad Fullmer","Blue Jays","133","524","32","76","104","3","5.7%","13.0%",".263",".284",".295",".340",".558",".376","118","0.2","12.8","-14.0","1.6","13"
"Jay Buhner","Mariners","112","430","26","50","82","0","13.7%","22.8%",".269",".273",".253",".361",".522",".376","123","-0.9","12.8","-10.2","1.6","1001638"
"Richie Sexson","- - -","148","607","30","89","91","2","9.7%","26.2%",".227",".330",".272",".349",".499",".364","110","0.5","8.9","-12.5","1.6","709"
"Paul Konerko","White Sox","143","586","21","84","97","1","8.0%","12.3%",".183",".310",".298",".363",".481",".367","113","0.3","10.2","-13.8","1.6","242"
"Olmedo Saenz","Athletics","76","247","9","40","33","1","10.1%","16.2%",".201",".349",".313",".401",".514",".396","135","0.2","11.8","-3.7","1.6","937"
"Eric Karros","Dodgers","155","663","31","84","106","4","9.5%","18.4%",".209",".260",".250",".321",".459",".334","99","-0.5","-1.7","-4.5","1.5","659"
"Bill Spiers","Astros","124","409","3","41","43","7","12.0%","9.3%",".090",".329",".301",".386",".392",".350","99","-0.4","-1.1","3.7","1.5","1012338"
"Jason Varitek","Red Sox","139","519","10","55","65","1","11.6%","16.2%",".141",".282",".248",".342",".388",".325","86","-0.2","-10.1","8.1","1.5","217"
"Mark Loretta","Brewers","91","399","7","49","40","0","9.3%","9.5%",".125",".299",".281",".350",".406",".335","93","-1.3","-5.1","7.9","1.5","1383"
"Mark Quinn","Royals","135","544","20","76","78","5","6.4%","16.7%",".194",".324",".294",".342",".488",".357","101","0.1","1.1","-4.7","1.5","621"
"Paul O'Neill","Yankees","142","628","18","79","100","14","8.1%","14.3%",".141",".303",".283",".336",".424",".331","92","-1.3","-7.8","0.9","1.5","1009818"
"Craig Biggio","Astros","101","466","8","67","35","12","13.1%","15.7%",".125",".309",".268",".388",".393",".353","101","1.6","2.1","-1.5","1.5","549"
"David McCarty","Royals","103","295","12","34","53","0","7.5%","23.1%",".200",".326",".278",".329",".478",".345","94","0.0","-2.5","7.0","1.5","1462"
"Andres Galarraga","Braves","141","548","28","67","100","3","6.6%","23.0%",".225",".355",".302",".369",".526",".383","124","-1.6","16.5","-18.4","1.5","1390"
"Craig Counsell","Diamondbacks","67","177","2","23","11","3","11.3%","10.2%",".105",".346",".316",".400",".421",".369","113","-0.8","2.3","6.7","1.4","52"
"Ray Lankford","Cardinals","128","472","26","73","65","5","14.8%","31.4%",".255",".326",".253",".367",".508",".375","119","-1.7","10.7","-10.8","1.4","1044"
"Felix Martinez","Devil Rays","106","353","2","42","17","9","9.1%","19.3%",".084",".268",".214",".305",".298",".279","57","0.5","-20.3","21.6","1.4","1008164"
"Derek Bell","Mets","144","622","18","87","69","8","10.5%","20.1%",".159",".313",".266",".348",".425",".342","102","-0.2","1.3","-7.0","1.4","1000801"
"Dante Bichette","- - -","155","636","23","80","90","5","7.7%","14.3%",".183",".312",".294",".350",".477",".356","104","0.2","3.8","-10.3","1.4","1000946"
"Mark Grudzielanek","Dodgers","148","676","7","101","49","12","6.7%","12.0%",".110",".310",".279",".335",".389",".322","91","1.1","-7.0","-0.8","1.4","653"
"Troy O'Leary","Red Sox","138","563","13","68","70","0","7.8%","13.5%",".150",".283",".261",".320",".411",".319","82","-0.9","-14.6","7.9","1.4","789"
"Dave Hansen","Dodgers","102","147","8","18","26","0","17.7%","21.8%",".281",".333",".289",".415",".570",".422","155","-0.4","10.5","-0.8","1.4","1403"
"Geoff Blum","Expos","124","379","11","40","45","1","6.9%","15.8%",".166",".312",".283",".335",".449",".338","95","-1.6","-4.2","5.7","1.4","550"
"Jacque Jones","Twins","154","552","19","66","76","7","4.7%","20.1%",".178",".331",".285",".319",".463",".334","91","-0.8","-7.9","2.0","1.3","735"
"Mike Darr","Padres","58","228","1","21","30","9","10.1%","19.7%",".122",".340",".268",".342",".390",".325","94","1.4","-0.5","6.4","1.3","1002993"
"Eric Davis","Cardinals","92","293","6","38","40","1","12.3%","20.5%",".126",".374",".303",".389",".429",".366","113","-0.2","5.1","-1.0","1.3","1003048"
"Ricky Gutierrez","Cubs","125","542","11","73","56","8","12.2%","10.7%",".125",".294",".276",".375",".401",".350","104","0.8","3.5","-6.8","1.3","387"
"Cal Ripken","Orioles","83","339","15","43","56","0","6.8%","10.9%",".197",".245",".256",".310",".453",".328","92","0.0","-3.6","5.0","1.3","1010978"
"Bill Mueller","Giants","153","631","10","97","55","4","8.2%","9.8%",".120",".283",".268",".333",".388",".321","88","0.0","-10.5","3.0","1.3","295"
"Jay Bell","Diamondbacks","149","649","18","87","68","7","10.8%","13.6%",".170",".287",".267",".348",".437",".345","97","0.1","-2.5","-5.0","1.3","48"
