"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Enrique Wilson","- - -","80","263","5","27","27","2","6.8%","9.1%",".134",".307",".293",".340",".427",".333","90","-0.5","-4.0","-5.7","-0.1","858"
"Eric Gagne","Dodgers","20","34","0","1","0","0","0.0%","14.7%",".000",".174",".143",".143",".143",".129","-33","0.0","-6.2","3.9","-0.1","650"
"Joe Vitiello","Padres","39","63","2","7","8","0","15.9%","14.3%",".173",".262",".250",".365",".423",".350","110","0.0","0.8","-3.8","-0.1","1748"
"Osvaldo Fernandez","Reds","15","29","0","0","1","0","6.9%","34.5%",".000",".167",".091",".167",".091",".135","-37","0.0","-5.4","3.3","-0.1","1004000"
"Brian Meadows","Padres","22","44","0","2","2","0","0.0%","38.6%",".000",".261",".150",".150",".150",".135","-28","0.0","-7.7","5.1","-0.1","998"
"Jason Maxwell","Twins","64","124","1","14","11","2","7.3%","25.8%",".081",".321",".243",".298",".324",".280","56","0.0","-7.5","1.8","-0.1","1008288"
"Kyle Farnsworth","Cubs","46","16","0","0","0","0","0.0%","37.5%",".071",".125",".071",".071",".143",".089","-63","0.0","-3.6","1.8","-0.1","278"
"Matt Herges","Dodgers","59","14","0","0","0","0","0.0%","57.1%",".000",".200",".077",".077",".077",".069","-71","0.0","-3.3","1.6","-0.1","780"
"Mark Johnson","Mets","21","27","1","2","6","0","18.5%","33.3%",".136",".250",".182",".333",".318",".306","78","0.0","-0.8","-1.2","-0.1","1376"
"Mark Smith","Marlins","104","213","5","22","27","2","8.0%","25.4%",".130",".311",".245",".310",".375",".302","75","0.4","-6.7","-1.7","-0.1","540"
"Jeff D'Amico","Brewers","23","54","1","2","2","0","5.6%","35.2%",".091",".120",".091",".146",".182",".149","-26","0.0","-9.3","6.2","-0.1","871"
"Carl Pavano","Expos","15","38","0","2","0","0","0.0%","42.1%",".029",".263",".143",".143",".171",".138","-33","0.0","-6.9","4.4","-0.1","790"
"Cristian Guzman","Twins","156","690","8","89","54","28","6.7%","14.6%",".141",".281",".247",".299",".388",".300","69","1.1","-28.4","2.6","-0.1","728"
"Francisco Cordova","Pirates","18","37","0","0","3","0","5.4%","40.5%",".000",".200",".114",".162",".114",".136","-35","0.0","-6.8","4.3","-0.1","1002623"
"George Williams","Padres","11","17","1","2","2","0","0.0%","23.5%",".188",".182",".188",".235",".375",".265","55","0.0","-1.0","-0.8","-0.1","1013999"
"Jimmy Rollins","Phillies","14","55","0","5","5","3","3.6%","12.7%",".057",".370",".321",".345",".377",".323","85","0.6","-0.5","-2.5","-0.1","971"
"Andy Ashby","- - -","32","72","0","2","6","0","2.8%","30.6%",".000",".231",".148",".175",".148",".151","-24","0.0","-12.1","8.3","-0.1","637"
"Steve Sisco","Braves","25","30","1","4","2","0","10.0%","13.3%",".111",".182",".185",".267",".296",".257","44","0.0","-2.3","-0.1","-0.1","1012016"
"Ruben Quevedo","Cubs","21","31","0","1","1","0","0.0%","32.3%",".000",".200",".133",".133",".133",".120","-43","0.0","-6.0","3.6","-0.1","705"
"Kent Bottenfield","- - -","29","20","0","3","0","0","0.0%","20.0%",".000",".154",".118",".118",".118",".106","-46","0.0","-4.5","2.3","-0.1","1001226"
"Orlando Hernandez","Yankees","29","10","0","0","0","0","0.0%","70.0%",".000",".000",".000",".000",".000",".000","-100","0.0","-3.0","1.2","-0.1","823"
