,WAR,Age
177,-0.8,31
178,-0.1,32
179,,
180,0.2,22
181,,
182,,
183,2.2,21
184,2.4,22
185,1.7,23
186,4.7,24
187,2.9,25
188,0.4,26
189,1.4,27
190,0.7000000000000001,28
191,-0.4,29
192,2.5,30
193,-2.9,31
194,1.6,32
195,0.2,33
196,0.7,34
197,,
198,-0.4,25
199,0.1,26
200,3.3,27
201,2.1,28
202,0.8999999999999999,29
203,0.6,30
204,,
205,3.0,22
206,1.0,23
207,0.1,24
208,1.6,25
209,0.7999999999999999,26
210,0.6,27
211,0.4,28
212,-1.3,29
213,-0.7,30
214,-0.8,31
215,,
216,-0.7,25
217,0.8,26
218,0.6,27
219,,
220,-0.1,24
221,-0.5,25
222,2.3,26
223,3.2,27
224,2.9,28
225,3.5,29
226,1.1,30
227,0.2,31
228,0.7,32
229,-0.5,33
230,-0.2,34
231,,
232,0.4,24
233,1.1,25
234,2.6,26
235,2.0,27
236,,
237,1.8,23
238,,
239,0.1,28
240,-0.3,29
241,0.3,30
242,-0.2,31
243,0.2,32
244,-0.2,33
245,-0.1,34
246,,
247,0.0,20
248,0.9,21
249,2.0,22
250,2.6,23
251,2.5,24
252,3.3,25
253,4.1,26
254,4.8,27
255,4.8,28
256,3.5,29
257,1.7,30
258,2.6,31
259,0.3,32
260,-0.6,33
261,,
262,-0.5,23
263,0.6,24
264,1.6,25
265,4.5,26
266,3.5,27
267,3.3,28
268,3.9,29
269,0.9,30
270,-1.4,31
271,2.5,32
272,1.1,33
273,0.6,34
274,0.0,35
275,0.3,36
276,,
277,1.1,24
278,-0.8,25
279,1.6,26
280,1.5,27
281,1.3,28
282,2.2,29
283,1.1,30
284,-0.2,31
285,4.2,32
286,0.6,33
287,2.4,34
288,-0.7,35
289,,
290,0.5,22
291,0.2,23
292,0.2,24
293,3.9,25
294,-1.0,26
295,0.1,27
296,0.3,28
297,2.0,29
298,2.2,30
299,3.6,31
300,-0.3,32
301,0.8,33
302,,
303,-0.1,28
304,-1.0,29
305,0.7,31
306,1.0,32
307,0.4,33
308,-0.1,34
309,-0.1,35
310,-0.1,36
311,,
312,0.1,25
313,-0.5,26
314,0.0,27
315,0.0,28
316,0.1,29
317,-0.1,30
318,0.0,31
319,-0.1,32
320,0.0,34
321,,
322,0.8,24
323,-0.6,25
324,0.1,26
325,-0.4,27
326,,
327,-0.2,25
328,-0.4,26
329,1.7,27
330,-0.7,28
331,0.8,29
332,0.0,30
333,0.8,31
334,-0.2,32
335,2.3,33
336,-0.5,34
337,0.0,35
338,,
339,-0.1,27
340,,
341,-0.2,25
342,-0.1,26
343,0.0,27
344,-0.2,30
345,,
346,0.1,25
347,0.0,26
348,0.0,27
349,0.2,28
350,,
351,0.1,23
352,-1.4,24
353,1.2,25
354,2.6,26
355,1.0,27
356,0.7,28
357,0.5,29
358,0.9000000000000001,30
359,,
360,0.3,30
361,-0.2,31
362,-0.4,32
363,,
364,0.2,19
365,3.9,20
366,3.4,21
