"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Sidney Ponson","Orioles","7","11","0","23","23","130.1","4.70","3.31","1.10",".350","63.7%","52.6%","12.5%","6.21","4.75","4.51","1.0","161"
"Bobby Jenks","White Sox","1","1","6","32","0","39.1","11.44","3.43","0.69",".313","76.4%","44.6%","10.0%","2.75","2.69","2.75","1.0","8645"
"Scott Baker","Twins","3","3","0","10","9","53.2","5.37","2.35","0.84",".259","74.6%","34.5%","7.1%","3.35","3.82","4.41","0.9","6176"
"Ryan Franklin","Mariners","8","15","0","32","30","190.2","4.39","2.93","1.32",".287","70.7%","40.9%","10.0%","5.10","5.04","5.16","0.9","1076"
"Jeff Fassero","Giants","4","7","0","48","6","91.0","5.93","3.07","0.69",".297","66.3%","50.7%","8.9%","4.05","3.72","3.92","0.9","279"
"Michael Gonzalez","Pirates","1","3","3","51","0","50.0","10.44","5.58","0.36",".275","81.0%","50.0%","5.6%","2.70","3.14","3.61","0.9","1794"
"Mike DeJean","- - -","5","4","0","66","0","62.1","7.51","4.33","0.43",".304","68.3%","51.8%","5.5%","4.48","3.57","4.16","0.9","682"
"Tom Gordon","Yankees","5","4","2","79","0","80.2","7.70","3.24","0.89",".234","82.0%","52.7%","10.1%","2.57","3.68","3.74","0.9","282"
"Scott Schoeneweis","Blue Jays","3","4","1","80","0","57.0","6.79","3.95","0.32",".295","74.8%","58.3%","4.8%","3.32","3.49","4.05","0.9","33"
"Kameron Loe","Rangers","9","6","1","48","8","92.0","4.40","3.03","0.68",".267","70.4%","59.6%","10.3%","3.42","4.11","4.14","0.9","4422"
"Shawn Estes","Diamondbacks","7","8","0","21","21","123.2","4.58","3.27","1.09",".287","69.4%","50.2%","13.5%","4.80","4.77","4.43","0.8","873"
"Gary Glover","Brewers","5","4","0","15","11","64.2","8.07","2.78","1.39",".330","67.1%","42.0%","13.7%","5.57","4.26","3.80","0.8","234"
"Scott Elarton","Indians","11","9","0","31","31","181.2","5.10","2.38","1.59",".268","72.2%","32.8%","11.6%","4.61","5.07","4.87","0.8","426"
"Jerome Williams","- - -","6","10","0","22","20","122.2","5.14","3.60","1.03",".270","73.2%","44.6%","10.0%","4.26","4.81","4.90","0.8","1137"
"Matt Wise","Brewers","4","4","1","49","0","64.1","8.67","3.50","0.84",".187","70.7%","41.1%","7.6%","3.36","3.61","4.09","0.8","42"
"John Wasdin","Rangers","3","2","4","31","6","75.2","5.23","2.38","1.07",".278","71.4%","34.4%","8.7%","4.28","4.24","4.59","0.8","1768"
"Ryan Madson","Phillies","6","5","0","78","0","87.0","8.17","2.59","1.14",".299","71.3%","47.8%","16.4%","4.14","3.92","3.34","0.8","1852"
"Eddie Guardado","Mariners","2","3","36","58","0","56.1","7.67","2.40","1.12",".268","76.9%","35.1%","9.0%","2.72","3.73","4.02","0.8","727"
"Kiko Calero","Athletics","4","1","1","58","0","55.2","8.41","2.91","0.97",".257","79.1%","34.2%","8.6%","3.23","3.58","3.91","0.7","1676"
"Clay Hensley","Padres","1","1","0","24","1","47.2","5.29","3.21","0.00",".229","76.0%","55.2%","0.0%","1.70","2.92","3.99","0.7","4593"
