"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Scott Cassidy","- - -","1","1","0","11","0","13.0","8.31","2.08","2.08",".381","50.6%","19.5%","15.0%","8.31","4.87","3.99","-0.1","1293"
"Ricardo Rodriguez","Rangers","2","3","0","12","10","57.0","3.79","2.68","1.74",".279","66.1%","50.2%","18.3%","5.53","5.63","4.58","-0.1","1585"
"Jason Standridge","- - -","2","2","0","34","0","33.1","5.13","4.59","0.81",".362","78.2%","48.7%","8.3%","4.59","4.67","4.99","-0.1","1229"
"Kazuhisa Ishii","Mets","3","9","0","19","16","91.0","5.24","4.85","1.29",".263","66.2%","37.5%","10.7%","5.14","5.43","5.40","-0.1","655"
"Scott Olsen","Marlins","1","1","0","5","4","20.1","9.30","4.43","2.21",".291","75.0%","41.4%","19.2%","3.98","5.63","4.19","-0.1","4529"
"Ray King","Cardinals","4","4","0","77","0","40.0","5.18","3.60","0.90",".321","80.8%","49.6%","10.5%","3.38","4.60","4.61","-0.1","693"
"Sergio Mitre","Cubs","2","5","0","21","7","60.1","5.52","3.43","1.64",".263","70.3%","65.8%","24.4%","5.37","5.46","4.12","-0.1","1773"
"James Baldwin","- - -","0","2","1","28","0","56.2","4.61","2.54","1.27",".253","72.8%","32.8%","9.2%","3.81","4.84","5.12","-0.1","1064"
"Wes Obermueller","Brewers","1","4","0","23","8","65.0","4.57","4.98","0.97",".299","70.3%","43.8%","9.3%","5.26","5.30","5.49","-0.1","1637"
"Mike Remlinger","- - -","0","3","0","43","0","39.2","7.94","3.86","1.59",".322","58.0%","43.5%","16.3%","6.58","4.99","4.19","-0.1","111"
"Mike Adams","Brewers","0","1","1","13","0","13.1","9.45","6.75","1.35",".286","93.8%","38.9%","14.3%","2.70","5.12","4.62","-0.1","1937"
"Erasmo Ramirez","Rangers","0","0","0","16","0","23.0","2.35","1.17","1.17",".256","76.6%","46.9%","10.3%","3.91","4.85","4.89","-0.1","1699"
"Seth McClung","Devil Rays","7","11","0","34","17","109.1","7.57","5.10","1.65",".270","61.2%","35.4%","13.8%","6.59","5.61","5.06","-0.1","1657"
"Antonio Alfonseca","Marlins","1","1","0","33","0","27.1","5.27","4.61","0.66",".321","71.1%","61.0%","11.1%","4.94","4.56","4.51","-0.1","260"
"Jesse Crain","Twins","12","5","1","75","0","79.2","2.82","3.28","0.68",".211","77.4%","46.8%","6.5%","2.71","4.65","5.28","-0.1","4817"
"Paul Wilson","Reds","1","5","0","9","9","46.1","5.83","3.30","1.94",".356","64.0%","39.6%","14.9%","7.77","5.89","5.08","-0.1","1234"
"Matt Ginter","Tigers","0","1","0","14","1","35.0","3.86","2.31","1.54",".344","67.8%","40.8%","12.8%","6.17","5.33","4.96","-0.1","233"
"Scott Dohmann","Rockies","2","1","0","32","0","31.0","10.16","5.52","1.74",".325","71.1%","33.7%","14.0%","6.10","5.12","4.51","-0.1","1936"
"Justin Lehr","Brewers","1","1","0","23","0","34.2","5.97","4.67","1.04",".259","70.5%","47.7%","11.1%","3.89","4.84","4.77","-0.1","2163"
"Gavin Floyd","Phillies","1","2","0","7","4","26.0","5.88","5.54","1.73",".291","42.9%","41.6%","14.7%","10.04","6.40","5.71","-0.1","3886"
"J.J. Putz","Mariners","6","5","1","64","0","60.0","6.75","3.45","1.20",".276","78.0%","54.9%","15.7%","3.60","4.50","3.94","-0.1","1795"
"Matt Perisho","- - -","2","0","0","25","0","14.0","6.43","7.07","0.64",".286","84.8%","28.2%","4.2%","2.57","5.09","6.53","-0.1","1423"
"Al Levine","Giants","0","0","0","9","0","10.1","3.48","3.48","1.74",".341","52.3%","50.0%","15.4%","9.58","5.92","5.14","-0.1","20"
"R.A. Dickey","Rangers","1","2","0","9","4","29.2","4.55","5.16","1.21",".260","59.0%","51.5%","12.9%","6.67","5.68","5.37","-0.1","1245"
"Randy Williams","- - -","3","1","0","32","0","26.1","7.18","4.44","1.71",".329","65.0%","42.2%","14.3%","6.84","5.49","4.85","-0.1","2362"
"Tim Harikkala","Athletics","0","0","0","8","0","12.2","4.97","2.84","2.13",".310","69.6%","42.2%","18.8%","6.39","5.94","4.60","-0.1","1909"
"Oscar Villarreal","Diamondbacks","2","0","0","11","0","13.2","3.29","3.95","1.32",".209","65.8%","33.3%","12.5%","5.27","5.73","5.44","-0.2","1654"
"Esteban Yan","Angels","1","1","0","49","0","66.2","6.08","4.05","1.08",".276","70.8%","45.3%","10.5%","4.59","4.58","4.59","-0.2","1236"
"Dennys Reyes","Padres","3","2","0","36","1","43.2","7.21","6.60","0.62",".375","69.9%","65.0%","11.5%","5.15","4.58","4.51","-0.2","444"
"Tyler Walker","Giants","6","4","23","67","0","61.2","7.88","3.94","1.31",".317","78.5%","41.2%","11.8%","4.23","4.63","4.43","-0.2","901"
"Mike Esposito","Rockies","0","2","0","3","3","14.2","3.07","5.52","1.84",".321","73.6%","50.0%","17.6%","6.75","6.84","5.78","-0.2","4986"
"Tanyon Sturtze","Yankees","5","3","1","64","1","78.0","5.19","3.12","1.15",".270","69.5%","47.0%","10.5%","4.73","4.80","4.82","-0.2","1230"
"Kevin Gryboski","- - -","1","1","0","42","0","31.0","2.90","5.81","0.29",".333","62.3%","48.7%","3.2%","5.52","5.02","5.98","-0.2","91"
"Mike Koplove","Diamondbacks","2","1","0","44","0","49.2","5.07","3.62","1.09",".268","65.6%","51.6%","10.9%","5.07","5.03","4.99","-0.2","63"
"Ryan Glynn","Athletics","0","4","0","5","3","17.0","7.94","3.71","2.65",".345","62.5%","38.3%","20.8%","6.88","6.31","4.44","-0.2","686"
"Eric DuBose","Orioles","2","3","0","15","3","29.1","5.22","5.83","1.23",".255","63.7%","38.1%","10.0%","5.52","5.68","5.79","-0.2","1633"
"John Riedling","Marlins","4","1","0","29","0","27.2","5.20","4.23","0.98",".320","57.1%","51.5%","11.1%","7.16","4.79","4.73","-0.2","1515"
"Lance Carter","Devil Rays","1","2","1","39","0","57.0","3.47","2.37","1.42",".271","71.4%","36.4%","10.0%","4.89","5.14","5.27","-0.2","1592"
"Jeff Harris","Mariners","2","5","0","11","8","53.2","4.19","3.35","1.51",".229","75.3%","35.4%","11.4%","4.19","5.55","5.40","-0.2","7189"
"Matt Kinney","Giants","2","0","0","5","1","12.0","2.25","4.50","1.50",".372","76.6%","39.5%","16.7%","6.00","6.44","5.65","-0.2","737"
"Javier Lopez","- - -","1","1","2","32","0","16.1","6.61","6.06","1.10",".393","51.1%","50.0%","15.4%","11.02","5.35","4.85","-0.2","1663"
"Bobby Seay","Rockies","0","0","0","17","0","11.2","8.49","6.17","2.31",".417","68.8%","47.4%","25.0%","8.49","6.53","4.61","-0.2","1225"
"Nate Bump","Marlins","0","3","0","31","0","38.0","4.26","2.84","1.18",".297","78.0%","59.7%","18.5%","4.03","4.89","4.16","-0.2","1755"
"Wil Ledezma","Tigers","2","4","0","10","10","49.2","5.44","4.35","1.81",".304","56.2%","42.5%","14.5%","7.07","6.00","5.30","-0.2","1669"
"Juan Cruz","Athletics","0","3","0","28","0","32.2","9.37","6.06","1.38",".351","54.4%","43.4%","14.3%","7.44","5.32","4.80","-0.2","273"
"Jose Acevedo","Rockies","2","4","1","36","5","64.0","4.36","2.25","1.83",".316","64.9%","33.9%","12.0%","6.47","5.49","5.18","-0.2","307"
"Buddy Carlyle","Dodgers","0","0","0","10","0","14.0","8.36","2.57","2.57",".300","52.0%","26.2%","17.4%","8.36","5.95","4.50","-0.2","2010"
"Matt Mantei","Red Sox","1","0","0","34","0","26.1","7.52","8.20","0.34",".301","63.2%","38.4%","3.2%","6.49","5.15","6.28","-0.2","64"
"Edinson Volquez","Rangers","0","4","0","6","3","12.2","7.82","7.11","2.13",".449","45.7%","42.3%","16.7%","14.21","7.20","6.09","-0.2","3990"
"Chris Hammond","Padres","5","1","0","55","0","58.2","5.22","2.15","1.38",".230","77.2%","45.2%","12.9%","3.84","4.67","4.32","-0.2","92"
"Steve Reed","Orioles","1","2","0","30","0","32.2","4.13","3.03","1.38",".316","65.3%","42.9%","12.2%","6.61","5.47","5.21","-0.2","1053"
"Chris Spurling","Tigers","3","4","0","56","0","70.2","3.31","2.80","1.02",".221","73.5%","45.2%","9.2%","3.44","4.77","5.00","-0.2","1668"
"Armando Benitez","Giants","2","3","19","30","0","30.0","6.90","4.80","1.50",".241","70.6%","30.7%","11.4%","4.50","5.25","5.11","-0.2","865"
"Terry Mulholland","Twins","0","2","0","49","0","59.0","2.75","2.59","0.92",".271","69.8%","55.9%","11.3%","4.27","4.70","4.62","-0.2","665"
"Mike Burns","Astros","0","0","0","27","0","31.0","5.81","2.32","1.74",".237","71.4%","48.0%","21.4%","4.94","5.50","4.23","-0.2","2932"
"Zach Day","- - -","1","3","0","17","8","47.1","4.37","6.08","1.14",".329","63.1%","47.1%","11.1%","6.85","5.79","5.71","-0.2","1496"
"Blaine Neal","- - -","1","3","0","19","0","22.2","4.37","4.76","1.59",".369","67.6%","39.3%","16.7%","7.15","5.93","5.10","-0.3","1468"
"John Maine","Orioles","2","3","0","10","8","40.0","5.40","5.40","1.80",".244","64.4%","45.5%","17.8%","6.30","6.30","5.25","-0.3","4773"
"Brandon Duckworth","Astros","0","1","0","7","2","16.1","5.51","3.86","2.20",".357","52.6%","39.7%","17.4%","11.02","7.18","5.94","-0.3","954"
"Scott Proctor","Yankees","1","0","0","29","1","44.2","7.25","3.43","2.01",".269","64.7%","29.9%","13.2%","6.04","5.59","5.03","-0.3","1911"
"Alan Embree","- - -","2","5","1","67","0","52.0","6.58","2.42","1.73",".311","48.4%","40.5%","16.1%","7.62","4.98","4.13","-0.3","1030"
"Jesus Colome","Devil Rays","2","3","0","36","0","45.1","5.56","3.57","1.39",".299","70.1%","41.1%","11.9%","4.57","5.12","4.90","-0.3","1198"
"Brian Bruney","Diamondbacks","1","3","12","47","0","46.0","9.98","6.85","1.17",".376","65.1%","39.0%","11.5%","7.43","5.11","4.97","-0.3","1929"
"Jorge Julio","Orioles","3","5","0","67","0","71.2","7.28","3.01","1.76",".288","63.1%","40.4%","14.9%","5.90","5.03","4.30","-0.3","148"
"T.J. Tucker","Nationals","1","0","0","13","0","12.2","3.55","1.42","2.84",".340","79.3%","50.0%","23.5%","6.39","6.81","4.56","-0.3","800"
"Juan Oviedo","Royals","3","2","0","41","0","53.2","5.37","3.02","1.51",".348","60.2%","36.5%","11.1%","7.55","5.18","5.08","-0.3","2886"
"Wilson Alvarez","Dodgers","1","4","0","21","2","24.0","6.00","2.63","2.63",".304","81.6%","39.8%","17.5%","5.63","6.35","4.86","-0.3","1193"
"Trever Miller","Devil Rays","2","2","0","61","0","44.1","7.11","5.89","0.81",".313","76.9%","40.2%","8.7%","4.06","5.05","5.31","-0.3","1672"
"Elizardo Ramirez","Reds","0","3","0","6","4","22.1","3.63","4.03","2.01",".333","60.5%","40.0%","17.9%","8.46","6.74","5.56","-0.3","1946"
"Bob Wickman","Indians","0","4","45","64","0","62.0","5.95","3.05","1.31",".259","93.4%","50.0%","16.1%","2.47","4.65","4.01","-0.3","413"
"Jimmy Gobble","Royals","1","1","0","28","4","53.2","6.37","5.03","1.51",".322","74.0%","35.0%","12.0%","5.70","5.52","5.26","-0.3","1791"
"Jose Mesa","Pirates","2","8","27","55","0","56.2","5.88","4.13","1.11",".293","74.8%","42.9%","9.9%","4.76","4.86","4.98","-0.3","961"
"Luke Hudson","Reds","6","9","0","19","16","84.2","5.63","5.31","1.49",".274","65.9%","37.4%","13.3%","6.38","6.08","5.64","-0.3","1542"
"Ron Mahay","Rangers","0","2","1","30","0","35.2","7.57","4.04","2.02",".345","67.6%","48.3%","23.5%","6.81","5.60","4.00","-0.3","290"
"Jesse Foppert","Giants","0","0","0","3","2","10.1","5.23","11.32","1.74",".290","81.1%","32.3%","14.3%","5.23","8.44","7.79","-0.3","1688"
"Jake Woods","Angels","1","1","0","28","0","27.2","6.51","2.60","2.28",".271","72.9%","37.4%","18.9%","4.55","5.95","4.50","-0.3","2196"
"Jose Lima","Royals","5","16","0","32","32","168.2","4.27","3.25","1.65",".314","60.7%","36.2%","12.4%","6.99","5.71","5.36","-0.3","475"
"Chin-hui Tsao","Rockies","1","0","3","10","0","11.0","3.27","4.09","2.45",".302","78.7%","25.6%","13.0%","6.55","7.47","6.81","-0.3","1776"
"Russ Ortiz","Diamondbacks","5","11","0","22","22","115.0","3.60","5.09","1.41",".309","65.0%","36.5%","11.4%","6.89","6.05","5.92","-0.3","1124"
"Yhency Brazoban","Dodgers","4","10","21","74","0","72.2","7.56","3.96","1.36",".284","66.6%","39.2%","13.3%","5.33","4.84","4.44","-0.3","2150"
"Tony Armas Jr.","Nationals","7","7","0","19","19","101.1","5.24","4.80","1.42",".264","74.7%","36.5%","11.4%","4.97","5.65","5.51","-0.4","761"
"Greg Aquino","Diamondbacks","0","1","1","35","0","31.1","9.77","4.88","2.01",".376","63.9%","43.9%","21.9%","7.76","5.76","4.27","-0.4","1899"
"Doug Creek","Tigers","0","0","0","20","0","22.1","7.25","2.82","2.82",".290","66.1%","31.1%","18.4%","6.85","6.42","4.70","-0.4","1202"
"Sean Henn","Yankees","0","3","0","3","3","11.1","2.38","8.74","2.38",".341","52.4%","43.5%","16.7%","11.12","8.84","7.59","-0.4","2147"
"Jason Grimsley","Orioles","1","2","0","22","0","22.0","4.09","3.68","2.05",".275","69.2%","61.6%","33.3%","5.73","6.29","4.28","-0.4","602"
"Matt Riley","Rangers","1","0","0","7","0","12.2","2.84","7.11","1.42",".311","53.7%","39.1%","11.1%","9.95","7.05","6.95","-0.4","164"
"Valerio de los Santos","Marlins","1","2","0","27","0","22.0","6.55","4.91","1.64",".304","71.9%","48.6%","16.7%","6.14","5.84","4.98","-0.4","681"
"Chad Gaudin","Blue Jays","1","3","0","5","3","13.0","8.31","4.15","4.15",".510","64.2%","40.0%","35.3%","13.15","8.79","4.59","-0.4","1783"
"Randy Messenger","Marlins","0","0","0","29","0","37.0","7.05","7.30","1.22",".298","75.8%","48.3%","11.9%","5.35","5.64","5.45","-0.4","2658"
"Keith Foulke","Red Sox","5","5","15","43","0","45.2","6.70","3.55","1.58",".310","71.0%","26.5%","9.6%","5.91","5.32","5.55","-0.4","231"
"Matt Anderson","Rockies","0","0","0","12","0","10.0","3.60","9.90","2.70",".381","54.0%","34.9%","18.8%","12.60","10.02","8.33","-0.4","459"
"Franklyn German","Tigers","4","0","1","58","0","59.0","5.80","5.19","1.07",".304","82.8%","47.6%","10.4%","3.66","5.36","5.38","-0.4","1603"
"Rheal Cormier","Phillies","4","2","0","57","0","47.1","6.46","3.04","1.71",".313","66.8%","50.0%","23.7%","5.89","5.20","3.83","-0.4","952"
"Kevin Correia","Giants","2","5","0","16","11","58.1","6.79","4.78","1.85",".283","82.1%","36.7%","17.1%","4.63","5.99","4.97","-0.4","1767"
"Terry Adams","Phillies","0","2","0","16","0","13.1","2.70","6.75","2.03",".393","57.5%","51.7%","18.8%","12.83","8.50","7.23","-0.4","946"
"Travis Hughes","Nationals","1","1","0","14","0","13.0","5.54","5.54","2.77",".326","88.8%","50.0%","26.7%","5.54","7.87","5.46","-0.4","2045"
"Ricky Stone","Reds","0","0","0","23","0","30.2","4.40","2.05","2.35",".360","72.1%","42.0%","18.2%","6.75","6.31","4.90","-0.4","576"
"Joe Valentine","Reds","0","1","0","16","0","14.1","5.65","6.91","2.51",".280","63.0%","37.7%","16.7%","8.16","8.11","6.79","-0.4","1810"
"Matt Herges","- - -","1","1","0","28","0","29.0","2.79","3.72","1.86",".279","63.1%","38.5%","14.0%","7.14","6.43","5.79","-0.5","780"
"Rob Bell","Devil Rays","1","1","0","8","3","25.0","4.68","4.32","2.52",".358","66.4%","41.2%","18.9%","8.28","7.30","5.70","-0.5","1492"
"J.C. Romero","Twins","4","3","0","68","0","57.0","7.58","6.16","0.95",".267","79.7%","55.2%","12.0%","3.47","5.07","4.91","-0.5","754"
"Tim Redding","- - -","0","6","0","10","7","30.2","5.58","4.99","2.05",".339","41.4%","40.4%","14.9%","10.57","6.61","5.75","-0.5","573"
"Brandon Lyon","Diamondbacks","0","2","14","32","0","29.1","5.22","3.07","1.84",".349","65.1%","41.6%","15.4%","6.44","5.75","4.92","-0.5","1312"
"Darrell May","- - -","1","4","0","24","9","66.1","4.75","3.12","1.90",".317","65.3%","41.5%","14.7%","6.78","5.75","4.98","-0.5","613"
"Ricky Bottalico","Brewers","2","2","2","40","0","41.2","6.26","4.10","1.51",".279","74.3%","48.1%","14.9%","4.54","5.40","4.77","-0.5","948"
"Ricardo Rincon","Athletics","1","1","0","67","0","37.1","6.51","4.82","1.69",".252","79.7%","42.7%","16.7%","4.34","5.70","4.81","-0.5","401"
"Todd Wellemeyer","Cubs","2","1","1","22","0","32.1","8.91","6.12","1.95",".294","70.1%","47.2%","20.6%","6.12","5.90","4.53","-0.5","1709"
"Cliff Bartosh","Cubs","0","2","0","19","0","19.2","6.86","5.03","3.20",".286","87.8%","37.7%","25.0%","5.49","8.10","5.44","-0.5","1871"
"Ezequiel Astacio","Astros","3","6","0","22","14","81.0","7.33","2.78","2.56",".307","74.6%","36.3%","18.5%","5.67","6.04","4.46","-0.5","2169"
"Chad Harville","- - -","0","3","0","45","0","45.1","7.15","5.36","1.59",".276","76.8%","46.6%","18.2%","4.76","5.84","4.89","-0.6","915"
"Troy Percival","Tigers","1","3","8","26","0","25.0","7.20","3.96","2.52",".179","72.1%","27.4%","16.3%","5.76","6.62","5.35","-0.6","29"
"Braden Looper","Mets","4","7","28","60","0","59.1","4.10","3.34","1.06",".276","74.2%","51.2%","12.1%","3.94","5.01","4.82","-0.6","526"
"Roman Colon","- - -","2","6","0","35","7","69.1","6.10","2.73","2.21",".294","73.2%","50.0%","25.0%","5.58","5.76","3.93","-0.7","2242"
"Steve Kline","Orioles","2","4","0","67","0","61.0","5.31","4.43","1.62",".257","74.7%","55.7%","19.6%","4.28","5.66","4.58","-0.7","1164"
"Brandon League","Blue Jays","1","0","0","20","0","35.2","4.29","5.05","2.02",".296","70.1%","56.9%","30.8%","6.56","6.83","4.92","-0.7","3731"
"Mike Wood","Royals","5","8","2","47","10","115.0","4.70","4.07","1.41",".291","75.1%","52.6%","15.1%","4.46","5.58","4.97","-0.7","1806"
"Jim Brower","- - -","3","3","1","69","0","60.1","7.91","4.77","1.64",".343","78.2%","45.5%","17.2%","5.37","5.47","4.57","-0.8","313"
"Oliver Perez","Pirates","7","5","0","20","20","103.0","8.48","6.12","2.01",".287","75.5%","32.1%","16.0%","5.85","6.25","5.28","-0.8","1514"
"Shingo Takatsu","- - -","2","2","8","40","0","36.1","9.41","4.71","2.72",".300","87.4%","39.4%","25.6%","5.20","6.43","4.13","-0.8","1896"
"Scott Erickson","Dodgers","1","4","0","19","8","55.1","2.44","4.07","1.95",".259","72.8%","54.8%","20.7%","6.02","6.87","5.50","-0.9","137"
"Travis Harper","Devil Rays","4","6","0","52","0","73.1","4.91","2.95","1.72",".306","60.0%","33.5%","13.7%","6.75","5.43","4.87","-0.9","1211"
"Matt Thornton","Mariners","0","4","0","55","0","57.0","9.00","6.63","2.05",".273","81.0%","43.5%","19.4%","5.21","6.20","4.85","-0.9","1918"
"Danny Graves","- - -","1","1","10","40","0","38.2","4.66","4.66","2.09",".345","67.7%","44.7%","18.0%","6.52","6.80","5.55","-0.9","326"
"Dewon Brazelton","Devil Rays","1","8","0","20","8","71.0","5.45","7.61","1.52",".319","64.1%","36.4%","10.9%","7.61","6.71","6.65","-1.1","1195"
