"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Jeff Zimmerman","Rangers","4","5","1","65","0","69.2","9.56","4.39","1.29",".345","69.6%","","","5.30","4.43","","0.7","1014446"
"Chris Carpenter","Blue Jays","10","12","0","34","27","175.1","5.80","4.26","1.54",".309","64.8%","","","6.26","5.58","","0.7","1292"
"Blake Stein","Royals","8","5","0","17","17","107.2","6.52","4.76","1.59",".257","76.9%","","","4.68","5.65","","0.7","632"
"Rick White","- - -","5","9","3","66","0","99.2","6.05","3.43","0.81",".247","72.8%","","","3.52","4.32","","0.7","456"
"Tanyon Sturtze","- - -","5","2","0","29","6","68.1","5.80","3.82","1.05",".296","70.0%","","","4.74","4.77","","0.7","1230"
"Mike Morgan","Diamondbacks","5","5","5","60","4","101.2","4.96","3.54","0.89",".331","72.7%","","","4.87","4.52","","0.7","67"
"Danny Patterson","Tigers","5","1","0","58","0","56.2","4.61","2.22","0.64",".333","74.3%","","","3.97","3.88","","0.7","485"
"Antonio Osuna","Dodgers","3","6","0","46","0","67.1","9.36","4.68","0.94",".279","76.0%","","","3.74","4.05","","0.7","249"
"Cliff Politte","Phillies","4","3","0","12","8","59.0","7.63","4.12","1.22",".283","81.9%","","","3.66","4.57","","0.7","967"
"Ugueth Urbina","Expos","0","1","8","13","0","13.1","14.85","3.38","0.68",".385","68.5%","","","4.05","1.93","","0.6","216"
"John Wasdin","- - -","1","6","1","39","4","80.1","7.95","2.69","1.57",".319","71.4%","","","5.38","4.72","","0.6","1768"
"Mark Buehrle","White Sox","4","1","0","28","3","51.1","6.49","3.33","0.88",".311","71.4%","","","4.21","4.24","","0.6","225"
"Jaret Wright","Indians","3","4","0","9","9","51.2","6.27","4.88","1.05",".260","71.2%","","","4.70","4.93","","0.6","415"
"Justin Speier","Indians","5","2","0","47","0","68.1","9.09","3.69","1.19",".267","81.2%","","","3.29","4.23","","0.6","451"
"Kazuhiro Sasaki","Mariners","2","5","37","63","0","62.2","11.20","4.45","1.44",".222","82.0%","","","3.16","4.30","","0.6","1098"
"Paxton Crawford","Red Sox","2","1","0","7","4","29.0","5.28","4.03","0.00",".275","62.5%","","","3.41","3.51","","0.6","1002747"
"Tony McKnight","Astros","4","1","0","6","6","35.0","5.91","2.31","1.03",".263","66.8%","","","3.86","4.25","","0.6","1008602"
"Alan Embree","Giants","3","5","2","63","0","60.0","7.35","3.75","0.60",".319","66.4%","","","4.95","3.77","","0.6","1030"
"Bill Simas","White Sox","2","3","0","60","0","67.2","6.52","2.93","1.20",".297","81.9%","","","3.46","4.43","","0.6","1011977"
"Shigetoshi Hasegawa","Angels","10","5","9","66","0","95.2","5.55","3.57","1.03",".292","78.7%","","","3.48","4.65","","0.6","1082"
"Ben Weber","- - -","1","1","0","19","0","22.2","5.56","2.38","0.00",".337","44.1%","","","6.35","2.69","","0.6","41"
"Ray King","Brewers","3","2","0","36","0","28.2","5.97","3.14","0.31",".210","79.0%","","","1.26","3.31","","0.6","693"
"John Franco","Mets","5","4","4","62","0","55.2","9.05","4.20","0.97",".268","76.2%","","","3.40","4.03","","0.6","874"
"J.C. Romero","Twins","2","7","0","12","11","57.2","7.80","4.68","1.25",".358","56.6%","","","7.02","4.82","","0.6","754"
"Mike Holtz","Angels","3","4","0","61","0","41.0","8.78","3.95","0.88",".295","60.3%","","","5.05","3.91","","0.6","920"
"Alex Fernandez","Marlins","4","4","0","8","8","52.1","4.64","2.75","1.20",".302","76.7%","","","4.13","4.76","","0.6","1003993"
"Kevin Jarvis","Rockies","3","4","0","24","19","115.0","4.70","2.58","2.03",".293","66.4%","","","5.95","6.00","","0.6","1037"
"Stan Spencer","Padres","2","2","0","8","8","49.2","7.25","3.44","1.27",".264","77.9%","","","3.26","4.62","","0.6","1012329"
"Lance Painter","Blue Jays","2","0","0","42","2","66.2","7.15","2.97","1.21",".302","69.7%","","","4.72","4.38","","0.6","1675"
"Nelson Cruz","Tigers","5","2","0","27","0","41.0","7.46","2.85","0.88",".297","83.0%","","","3.07","3.91","","0.6","554"
"Jeff Shaw","Dodgers","3","4","27","60","0","57.1","6.12","2.51","1.10",".290","71.9%","","","4.24","4.25","","0.5","1011823"
"Britt Reames","Cardinals","2","1","0","8","7","40.2","6.86","5.09","0.89",".234","76.5%","","","2.88","4.66","","0.5","794"
"Felipe Lira","Expos","5","8","0","53","7","101.2","4.51","3.19","0.97",".322","63.8%","","","5.40","4.72","","0.5","1007649"
"David Weathers","Brewers","3","5","1","69","0","76.1","5.90","3.77","0.83",".288","80.3%","","","3.07","4.35","","0.5","902"
"Jamie Brewington","Indians","3","0","0","26","0","45.1","6.75","3.77","0.60",".361","67.3%","","","5.36","3.88","","0.5","1001411"
"Marc Valdes","Astros","5","5","2","53","0","56.2","5.56","3.97","0.48",".337","61.2%","","","5.08","4.18","","0.5","1013313"
"Mark Petkovsek","Angels","4","2","2","64","1","81.0","3.44","2.56","0.89",".283","71.4%","","","4.33","4.62","","0.5","1010242"
"Carlos Perez","Dodgers","5","8","0","30","22","144.0","4.00","2.06","1.56",".327","69.7%","","","5.56","5.36","","0.5","1010179"
"Ramiro Mendoza","Yankees","7","4","0","14","9","65.2","4.11","2.74","1.23",".261","74.9%","","","4.25","5.10","","0.5","836"
"Mark Guthrie","- - -","3","6","0","76","0","71.1","7.95","4.67","1.01",".302","69.5%","","","4.67","4.47","","0.5","876"
"Chuck McElroy","Orioles","3","0","0","43","2","63.1","7.11","4.83","0.85",".284","68.5%","","","4.69","4.49","","0.5","1008477"
"Bronson Arroyo","Pirates","2","6","0","20","12","71.2","6.28","4.52","1.26",".328","58.8%","","","6.40","5.23","","0.5","978"
"Doug Davis","Rangers","7","6","0","30","13","98.2","6.02","5.29","1.28",".307","72.5%","","","5.38","5.50","","0.5","1244"
"Todd Van Poppel","Cubs","4","5","2","51","2","86.1","8.03","5.00","1.04",".290","79.3%","","","3.75","4.59","","0.5","1284"
"Joey Hamilton","Blue Jays","2","1","0","6","6","33.0","4.09","3.27","0.82",".243","76.7%","","","3.55","4.68","","0.5","328"
"Vic Darensbourg","Marlins","5","3","0","56","0","62.0","8.56","4.06","1.02",".303","72.7%","","","4.06","4.15","","0.5","516"
"Curtis Leskanic","Brewers","9","3","12","73","0","77.1","8.73","5.94","0.81",".259","87.1%","","","2.56","4.47","","0.5","694"
"Will Cunnane","Padres","1","1","0","27","3","38.1","7.98","4.93","0.47",".297","66.4%","","","4.23","3.76","","0.5","274"
"Brett Tomko","Mariners","7","5","1","32","8","92.1","5.75","3.90","1.17",".279","69.4%","","","4.68","4.94","","0.5","1056"
"Ariel Prieto","Athletics","1","2","0","8","6","31.2","5.40","3.69","0.85",".348","67.6%","","","5.12","4.49","","0.4","1010536"
"Donne Wall","Padres","5","2","1","44","0","53.2","4.86","3.52","0.67",".204","72.0%","","","3.35","4.20","","0.4","39"
"Hector Carrasco","- - -","5","4","1","69","1","78.2","7.32","4.35","0.92",".328","71.2%","","","4.69","4.43","","0.4","1240"
"Dave Coggin","Phillies","2","0","0","5","5","27.0","5.67","4.00","0.67",".351","62.0%","","","5.33","4.28","","0.4","951"
"Lorenzo Barcelo","White Sox","4","2","0","22","1","39.0","6.00","2.08","1.15",".248","72.2%","","","3.69","4.16","","0.4","1435"
"Sterling Hitchcock","Padres","1","6","0","11","11","65.2","8.36","3.56","1.64",".303","74.5%","","","4.93","5.07","","0.4","824"
"Bobby Chouinard","Rockies","2","2","0","31","0","32.2","6.34","2.48","1.10",".301","71.1%","","","3.86","4.24","","0.4","1002204"
"Brian Rose","- - -","7","10","0","27","24","116.2","4.94","3.93","1.62",".279","69.2%","","","5.79","5.84","","0.4","1011201"
"Felix Heredia","Cubs","7","3","2","74","0","58.2","7.98","5.06","0.92",".255","68.9%","","","4.76","4.48","","0.4","1304"
"Aaron Fultz","Giants","5","2","1","58","0","69.1","8.05","3.63","1.04",".298","69.1%","","","4.67","4.19","","0.4","1113"
"Kerry Ligtenberg","Braves","2","3","12","59","0","52.1","8.77","4.13","1.20",".267","80.4%","","","3.61","4.30","","0.4","100"
"John Rocker","Braves","1","2","24","59","0","53.0","13.08","8.15","0.85",".311","78.8%","","","2.89","4.29","","0.4","1273"
"Mike Williams","Pirates","3","4","24","72","0","72.0","8.88","5.00","1.00",".261","74.3%","","","3.50","4.44","","0.4","1014"
"Jon Garland","White Sox","4","8","0","15","13","69.2","5.43","5.17","1.29",".312","62.4%","","","6.46","5.56","","0.4","232"
"Ryan Kohlmeier","Orioles","0","1","13","25","0","26.1","5.81","5.13","0.34",".333","82.6%","","","2.39","4.05","","0.4","1007082"
"Chad Bradford","White Sox","1","0","0","12","0","13.2","5.93","0.66","0.00",".310","71.4%","","","1.98","2.04","","0.4","904"
"John Wetteland","Rangers","6","5","34","62","0","60.0","7.95","3.60","1.50",".317","73.4%","","","4.20","4.83","","0.4","1013815"
"Turk Wendell","Mets","8","6","1","77","0","82.2","7.95","4.46","0.98",".234","75.0%","","","3.59","4.45","","0.4","975"
"Dan Plesac","Diamondbacks","5","1","0","62","0","40.0","10.13","5.85","0.90",".280","71.7%","","","3.15","4.13","","0.4","1319"
"Jose Mesa","Mariners","4","6","1","66","0","80.2","9.37","4.57","1.23",".338","72.7%","","","5.36","4.53","","0.4","961"
"Wayne Gomes","Phillies","4","6","7","65","0","73.2","5.99","4.28","0.73",".286","67.9%","","","4.40","4.41","","0.4","191"
"Ismael Valdez","- - -","2","7","0","21","20","107.0","6.22","3.36","1.85",".309","72.0%","","","5.64","5.63","","0.4","1283"
"Daniel Garibay","Cubs","2","8","0","30","8","74.2","5.54","4.70","1.08",".316","64.1%","","","6.03","5.08","","0.3","1004536"
"Kris Wilson","Royals","0","1","0","20","0","34.1","4.46","2.88","0.79",".307","73.7%","","","4.19","4.24","","0.3","636"
"Kevin Walker","Padres","7","1","0","70","0","66.2","7.56","5.13","0.68",".240","67.1%","","","4.19","4.36","","0.3","1060"
"Matt Mantei","Diamondbacks","1","1","17","47","0","45.1","10.52","6.95","0.79",".255","70.5%","","","4.57","4.39","","0.3","64"
"Adam Bernero","Tigers","0","1","0","12","4","34.1","5.24","3.41","0.79",".288","67.8%","","","4.19","4.33","","0.3","460"
"Jason Grimsley","Yankees","3","2","1","63","4","96.1","4.95","3.92","0.93",".283","66.9%","","","5.04","4.85","","0.3","602"
"Paul Rigdon","- - -","5","5","0","17","16","87.1","6.49","3.61","1.85",".269","73.2%","","","5.15","5.61","","0.3","1010955"
"Steve Reed","Indians","2","0","0","57","0","56.0","6.27","3.38","1.13",".291","71.2%","","","4.34","4.54","","0.3","1053"
"Tom Davey","Padres","2","1","0","11","0","12.2","4.26","1.42","0.00",".286","92.9%","","","0.71","2.66","","0.3","1026"
"Jason Dickson","Angels","2","2","0","6","6","28.0","5.79","2.25","1.61",".362","67.5%","","","6.11","5.03","","0.3","1003278"
"Tim Worrell","- - -","5","6","3","59","0","69.1","7.40","3.76","1.30",".295","86.4%","","","2.99","4.66","","0.3","1139"
"Ricardo Rincon","Indians","2","0","0","35","0","20.0","9.00","5.85","0.45",".291","81.1%","","","2.70","3.88","","0.3","401"
"Jamie Arnold","- - -","0","3","1","14","4","39.1","3.66","5.49","0.23",".272","54.2%","","","6.18","4.79","","0.3","1000319"
"Jarrod Washburn","Angels","7","2","0","14","14","84.1","5.23","3.95","1.71",".203","80.4%","","","3.74","5.79","","0.3","40"
"Bryce Florie","Red Sox","0","4","1","29","0","49.1","6.20","3.47","0.91",".317","67.1%","","","4.56","4.29","","0.3","1004172"
"Ryan Rupe","Devil Rays","5","6","0","18","18","91.0","6.03","3.07","1.88",".334","64.0%","","","6.92","5.83","","0.3","1223"
"Brett Laxton","Royals","0","1","0","6","1","16.2","7.56","5.40","0.00",".434","57.1%","","","8.10","3.61","","0.3","1007412"
"Jose Rosado","Royals","2","2","0","5","5","27.2","4.88","2.93","1.30",".278","65.9%","","","5.86","5.34","","0.3","1011192"
"Matt Anderson","Tigers","3","2","1","69","0","74.1","8.60","5.45","0.97",".269","66.5%","","","4.72","4.56","","0.2","459"
"John Riedling","Reds","3","1","1","13","0","15.1","10.57","4.70","0.59",".286","69.9%","","","2.35","3.40","","0.2","1515"
"Pete Munro","Blue Jays","1","1","0","9","3","25.2","5.61","5.61","0.35",".407","63.0%","","","5.96","4.61","","0.2","1546"
"Dan Wheeler","Devil Rays","1","1","0","11","2","23.0","6.65","4.30","0.78",".342","71.4%","","","5.48","4.48","","0.2","120"
"Allen Levrault","Brewers","0","1","0","5","1","12.0","6.75","5.25","0.00",".286","58.8%","","","4.50","3.38","","0.2","925"
"Reid Cornelius","Marlins","4","10","0","22","21","125.0","3.60","3.60","1.37",".274","70.8%","","","4.82","5.61","","0.2","1002634"
"Guillermo Mota","Expos","1","1","0","29","0","30.0","7.20","3.60","0.90",".282","54.4%","","","6.00","4.23","","0.2","1467"
"Onan Masaoka","Dodgers","1","1","0","29","0","27.0","9.00","5.00","0.67",".296","74.6%","","","4.00","3.87","","0.2","1008209"
"Jerry Dipoto","Rockies","0","0","0","17","0","13.2","5.93","3.29","0.66",".341","76.5%","","","3.95","3.87","","0.2","1003321"
"Jason Boyd","Phillies","0","1","0","30","0","34.1","8.39","6.29","0.52",".363","58.8%","","","6.55","4.21","","0.2","1020"
"Dave Eiland","Devil Rays","2","3","0","17","10","54.2","2.80","2.96","1.32",".324","60.4%","","","7.24","5.62","","0.2","1003714"
"Luke Prokopec","Dodgers","1","1","0","5","3","21.0","5.14","3.86","0.86",".270","73.5%","","","3.00","4.80","","0.2","1320"
"Scott Erickson","Orioles","5","8","0","16","16","92.2","3.98","4.66","1.36",".334","61.7%","","","7.87","5.93","","0.2","137"
"Tom Martin","Indians","1","0","0","31","0","33.1","5.67","4.05","0.81",".282","73.1%","","","4.05","4.48","","0.2","1219"
"Ron Villone","Reds","10","10","0","35","23","141.0","4.91","4.98","1.40",".289","69.5%","","","5.43","5.92","","0.2","1010"
"Troy Percival","Angels","5","5","32","54","0","50.0","8.82","5.40","1.26",".263","73.2%","","","4.50","4.91","","0.2","29"
"Ryan Glynn","Rangers","5","7","0","16","16","88.2","3.35","4.16","1.52",".288","66.2%","","","5.58","6.08","","0.2","686"
"Andrew Lorraine","- - -","1","2","0","18","5","41.1","6.53","5.01","1.31",".292","64.9%","","","5.88","5.24","","0.2","1583"
"Jack Cressend","Twins","0","0","0","11","0","13.2","3.95","3.95","0.00",".408","69.2%","","","5.27","3.57","","0.2","723"
"Dan Serafini","- - -","2","5","0","14","11","65.1","4.82","3.86","1.52",".306","73.2%","","","5.51","5.72","","0.2","1812"
"Larry Luebbers","Reds","0","2","1","14","1","20.1","3.98","5.31","0.44",".361","63.8%","","","6.20","4.66","","0.2","1007817"
"Scott Service","Athletics","1","2","1","20","0","36.2","8.59","4.66","1.23",".357","58.6%","","","6.38","4.63","","0.1","1684"
"Juan Acevedo","Brewers","3","7","0","62","0","82.2","5.55","3.38","1.20",".261","75.9%","","","3.81","4.79","","0.1","458"
"Julio Santana","Expos","1","5","0","36","4","66.2","7.83","4.46","1.49",".307","66.6%","","","5.67","5.11","","0.1","496"
"Brandon Kolb","Padres","0","1","0","11","0","14.0","7.71","7.07","0.00",".372","70.4%","","","4.50","3.78","","0.1","1007084"
"Jay Powell","Astros","1","1","0","29","0","27.0","5.33","6.33","0.33",".308","64.4%","","","5.67","4.54","","0.1","1271"
"Sean Lowe","White Sox","4","1","0","50","5","70.2","6.75","4.97","1.27",".313","69.7%","","","5.48","5.38","","0.1","994"
"Braden Looper","Marlins","5","1","2","73","0","67.1","3.88","4.81","0.40",".286","65.9%","","","4.41","4.68","","0.1","526"
"Matt Wise","Angels","3","3","0","8","6","37.1","4.82","3.13","1.69",".270","70.1%","","","5.54","5.63","","0.1","42"
"Doug Creek","Devil Rays","1","3","1","45","0","60.2","10.83","5.79","1.48",".277","75.0%","","","4.60","4.90","","0.1","1202"
"Rudy Seanez","Braves","2","4","2","23","0","21.0","8.57","3.86","1.29",".214","67.3%","","","4.29","4.52","","0.1","1279"
"Chris Peters","Pirates","0","1","1","18","0","28.1","5.08","4.45","0.64",".239","82.4%","","","2.86","4.51","","0.1","1010225"
"Wayne Franklin","Astros","0","0","0","25","0","21.1","8.86","5.06","0.84",".344","69.9%","","","5.48","4.63","","0.1","557"
"Craig Dingman","Yankees","0","0","0","10","0","11.0","6.55","2.45","0.82",".436","66.3%","","","6.55","3.68","","0.1","318"
"Mike Timlin","- - -","5","4","12","62","0","64.2","7.24","4.87","1.11",".301","77.0%","","","4.18","4.94","","0.1","1187"
"Josias Manzanillo","Pirates","2","2","0","43","0","58.2","5.98","4.91","0.92",".260","80.2%","","","3.38","4.77","","0.1","996"
"Rich Croushore","- - -","2","1","0","11","0","16.0","7.88","6.19","0.56",".346","58.8%","","","7.88","4.63","","0.1","1002819"
"Mike James","Cardinals","2","2","2","51","0","51.1","7.19","4.21","1.23",".239","78.7%","","","3.16","4.89","","0.1","1453"
"Mike Magnante","Athletics","1","1","0","55","0","39.2","3.86","4.31","0.68",".318","73.4%","","","4.31","4.85","","0.1","929"
"Rob Bell","Reds","7","8","0","26","26","140.1","7.18","4.68","2.05",".245","75.4%","","","5.00","6.08","","0.1","1492"
"Travis Harper","Devil Rays","1","2","0","6","5","32.0","3.94","4.22","1.41",".236","74.4%","","","4.78","5.79","","0.1","1211"
"Luis Vizcaino","Athletics","0","1","0","12","0","19.1","8.38","5.12","0.93",".365","59.7%","","","7.45","4.63","","0.1","714"
"Bryan Ward","- - -","0","0","0","27","0","27.1","4.61","3.29","0.99",".216","75.5%","","","3.29","4.63","","0.1","1013603"
"Al Levine","Angels","3","4","2","51","5","95.1","3.97","4.63","0.94",".272","77.8%","","","3.87","5.22","","0.1","20"
"Mike Garcia","Pirates","0","2","0","13","0","11.1","7.15","5.56","0.79",".476","48.9%","","","11.12","4.55","","0.1","1004507"
"Jim Morris","Devil Rays","0","0","0","16","0","10.1","8.71","6.10","0.87",".300","51.3%","","","4.35","4.49","","0.1","1009213"
"Scott Aldred","Phillies","1","3","0","23","0","20.1","9.30","4.43","1.33",".333","67.1%","","","5.75","4.61","","0.0","1000115"
"Valerio de los Santos","Brewers","2","3","0","66","2","73.2","8.55","4.03","1.83",".284","74.1%","","","5.13","5.27","","0.0","681"
"Al Reyes","- - -","1","0","0","19","0","19.2","8.24","5.49","0.92",".241","70.3%","","","4.58","4.46","","0.0","1005"
"Greg McMichael","Braves","0","0","0","15","0","16.1","7.71","2.20","1.65",".225","67.8%","","","4.41","4.54","","0.0","1008640"
"Jim Brower","Indians","2","3","0","17","11","62.0","4.65","4.50","1.60",".318","69.7%","","","6.24","6.01","","0.0","313"
"Randy Keisler","Yankees","1","0","0","4","1","10.2","5.06","6.75","0.84",".405","44.3%","","","11.81","5.48","","0.0","830"
"Mark Wohlers","Reds","1","2","0","20","0","28.0","6.43","5.46","0.96",".203","69.2%","","","4.50","4.92","","0.0","414"
"Darrell Einertson","Yankees","0","0","0","11","0","12.2","2.13","2.84","0.71",".300","59.1%","","","3.55","4.63","","0.0","1003716"
"Mark Holzemer","Phillies","0","1","0","24","0","25.2","6.66","2.81","1.40",".360","55.8%","","","7.71","4.73","","0.0","1005990"
"Matt Kinney","Twins","2","2","0","8","8","42.1","5.10","5.31","1.49",".262","71.2%","","","5.10","5.92","","0.0","737"
"Dennys Reyes","Reds","2","1","0","62","0","43.2","7.42","5.98","1.03",".295","63.6%","","","4.53","5.03","","0.0","444"
"Hector Mercado","Reds","0","0","0","12","0","14.0","8.36","5.14","1.29",".270","75.6%","","","4.50","4.85","","0.0","960"
"Jose Cabrera","Astros","2","3","2","52","0","59.1","6.22","2.58","1.52",".328","67.5%","","","5.92","4.95","","0.0","679"
"Matt Blank","Expos","0","1","0","13","0","14.0","2.57","3.21","0.64",".212","60.2%","","","5.14","4.78","","0.0","1001053"
"Dave Maurer","Padres","1","0","0","14","0","14.2","7.98","3.07","1.23",".310","72.9%","","","3.68","4.57","","0.0","394"
"Robert Ramsay","Mariners","1","1","0","37","1","50.1","5.72","7.15","0.54",".260","77.7%","","","3.40","5.08","","0.0","1010682"
"Bobby Jones","Mets","0","1","0","11","1","21.2","8.31","5.82","0.83",".267","74.5%","","","4.15","4.84","","0.0","1454"
"Jeff Sparks","Devil Rays","0","1","0","15","0","20.1","10.62","7.97","0.89",".250","82.8%","","","3.54","5.00","","0.0","1012304"
"Scott Mullen","Royals","0","0","0","11","0","10.1","6.10","2.61","1.74",".250","78.4%","","","4.35","5.17","","0.0","618"
"Miguel del Toro","Giants","2","0","0","9","1","17.1","8.31","3.12","1.56",".280","72.1%","","","5.19","4.92","","0.0","1003184"
"Johan Santana","Twins","2","3","0","30","5","86.0","6.70","5.65","1.15",".341","65.9%","","","6.49","5.26","","0.0","755"
"Allen McDill","Tigers","0","0","0","13","0","10.0","6.30","0.90","1.80",".344","49.2%","","","7.20","4.93","","0.0","1008453"
"Vladimir Nunez","Marlins","0","6","0","17","12","68.1","5.93","4.48","1.58",".332","56.9%","","","7.90","5.68","","0.0","532"
"Kevin Beirne","White Sox","1","3","0","29","1","49.2","7.43","3.62","1.63",".281","53.8%","","","6.70","5.29","","0.0","638"
"Scott Eyre","White Sox","1","1","0","13","1","19.0","7.58","5.68","1.42",".426","71.4%","","","6.63","5.56","","0.0","1300"
"Scott Karl","- - -","4","5","0","23","13","87.1","3.92","4.64","1.65",".342","64.0%","","","7.42","6.29","","0.0","1006703"
"Steve Schrenk","Phillies","2","3","0","20","0","23.1","7.33","5.01","1.16",".301","54.6%","","","7.33","4.98","","0.0","1011614"
"Mike Fetters","Dodgers","6","2","5","51","0","50.0","7.20","4.50","1.26",".222","84.3%","","","3.24","4.97","","0.0","988"
"Ben Ford","Yankees","0","1","0","4","2","11.0","4.09","5.73","0.82",".361","57.5%","","","9.00","6.13","","0.0","1858"
"Rocky Biddle","White Sox","1","2","0","4","4","22.2","2.78","3.18","1.99",".306","43.8%","","","8.34","6.44","","0.0","223"
"Jeremy Powell","Expos","0","3","0","11","4","26.0","6.58","3.12","2.08",".333","47.8%","","","7.96","5.71","","0.0","1010490"
"Dennis Springer","Mets","0","1","0","2","2","11.1","3.97","3.97","1.59",".391","64.7%","","","8.74","6.13","","0.0","672"
"Eric Gagne","Dodgers","4","6","0","20","19","101.1","7.02","5.33","1.78",".285","75.9%","","","5.15","6.01","","0.0","650"
"Armando Almanza","Marlins","4","2","0","67","0","46.1","8.94","8.35","0.58",".287","71.1%","","","4.86","4.90","","0.0","507"
"Chad Durbin","Royals","2","5","0","16","16","72.1","4.60","5.35","1.74",".302","55.1%","","","8.21","6.41","","0.0","1442"
"Charles Nagy","Indians","2","7","0","11","11","57.0","6.47","3.32","2.37",".298","56.2%","","","8.21","6.33","","0.0","397"
"Joey Nation","Cubs","0","2","0","2","2","11.2","6.17","6.17","1.54",".286","67.7%","","","6.94","6.56","","-0.1","1009462"
"Billy Taylor","Devil Rays","1","3","0","17","0","13.2","8.56","5.93","1.32",".306","51.9%","","","8.56","5.55","","-0.1","1012859"
"Matt Whisenant","Padres","2","2","0","24","0","21.1","5.06","7.17","0.42",".231","66.5%","","","3.80","5.01","","-0.1","1013843"
"Rodrigo Lopez","Padres","0","3","0","6","6","24.2","6.20","4.74","1.82",".412","63.0%","","","8.76","5.97","","-0.1","150"
"Joel Pineiro","Mariners","1","0","0","8","1","19.1","4.66","6.05","1.40",".324","74.0%","","","5.59","6.13","","-0.1","1094"
"Jonathan Johnson","Rangers","1","1","0","15","0","29.0","7.14","5.90","0.93",".333","65.7%","","","6.21","5.48","","-0.1","59"
"Nelson Figueroa","Diamondbacks","0","1","0","3","3","15.2","4.02","2.87","2.30",".250","54.9%","","","7.47","6.52","","-0.1","683"
"Jason Rakers","Royals","2","0","0","11","0","21.2","6.65","2.91","2.08",".378","54.6%","","","9.14","5.63","","-0.1","1010660"
"Don Wengert","Braves","0","1","0","10","0","10.0","6.30","4.50","1.80",".303","56.3%","","","7.20","5.83","","-0.1","1013777"
"Eric Cammack","Mets","0","0","0","8","0","10.0","8.10","9.00","0.90",".222","66.3%","","","6.30","5.93","","-0.1","1001864"
"Randy Choate","Yankees","0","1","0","22","0","17.0","6.35","4.24","1.59",".216","69.2%","","","4.76","5.60","","-0.1","813"
"Rich Sauveur","Athletics","0","0","0","10","0","10.1","6.10","0.87","2.61",".313","91.8%","","","4.35","5.84","","-0.1","1011465"
"Joe Nathan","Giants","5","2","0","20","15","93.1","5.88","6.07","1.16",".269","66.8%","","","5.21","5.65","","-0.1","1122"
"Dennis Cook","Mets","6","3","2","68","0","59.0","8.08","4.73","1.22",".320","72.9%","","","5.34","4.93","","-0.1","8"
"Jose Parra","Pirates","0","1","0","6","2","11.2","6.94","5.40","2.31",".378","76.9%","","","6.94","6.99","","-0.1","70"
"Tim Belcher","Angels","4","5","0","9","9","40.2","4.87","4.87","1.77",".280","65.7%","","","6.86","6.38","","-0.1","1000789"
"Paul Byrd","Phillies","2","9","0","17","15","83.0","5.75","3.80","1.84",".274","58.1%","","","6.51","5.89","","-0.1","594"
"Brian Cooper","Angels","4","8","0","15","15","87.0","3.72","3.62","1.86",".285","65.1%","","","5.90","6.27","","-0.1","1295"
"Sang-Hoon Lee","Red Sox","0","0","0","9","0","11.2","4.63","3.09","1.54",".257","91.6%","","","3.09","5.88","","-0.1","1007465"
"Mike DeJean","Rockies","4","4","0","54","0","53.1","5.74","5.06","1.52",".278","74.2%","","","4.89","5.74","","-0.1","682"
"Gregg Olson","Dodgers","0","1","0","13","0","17.2","7.64","3.57","2.04",".315","76.9%","","","5.09","5.74","","-0.1","1009791"
"Yorkis Perez","Astros","2","1","0","33","0","22.2","8.34","5.56","1.59",".292","62.9%","","","5.16","5.43","","-0.1","1513"
"Joe Strong","Marlins","1","1","1","18","0","19.2","8.24","5.49","1.37",".383","67.0%","","","7.32","5.42","","-0.1","1012630"
"Mark J. Johnson","Tigers","0","1","0","9","3","24.0","4.13","6.00","1.13",".259","50.3%","","","7.50","5.97","","-0.1","1006485"
"Jose Lima","Astros","7","16","0","33","33","196.1","5.68","3.12","2.20",".311","66.6%","","","6.65","6.12","","-0.1","475"
"T.J. Mathews","Athletics","2","3","0","50","0","59.2","6.34","3.77","1.51",".325","69.8%","","","6.03","5.26","","-0.1","567"
"Jason Marquis","Braves","1","0","0","15","0","23.1","6.56","4.63","1.54",".275","65.8%","","","5.01","5.58","","-0.1","105"
"Brian Sikorski","Rangers","1","3","0","10","5","37.2","7.65","5.97","2.15",".308","69.0%","","","5.73","6.61","","-0.1","7603"
"Gabe Molina","- - -","0","0","0","11","0","15.0","5.40","6.00","1.80",".403","60.3%","","","9.00","6.73","","-0.1","1575"
"Amaury Telemaco","Phillies","1","3","0","13","2","24.1","8.14","5.18","2.22",".292","55.6%","","","6.66","6.26","","-0.1","1802"
"Rob Stanifer","Red Sox","0","0","0","8","0","13.0","2.08","2.77","2.08",".339","32.1%","","","7.62","6.60","","-0.2","1012403"
"Trey Moore","Expos","1","5","0","8","8","35.1","6.11","5.35","1.78",".393","69.8%","","","6.62","6.47","","-0.2","1009130"
"Russ Springer","Diamondbacks","2","4","0","52","0","62.0","8.56","4.94","1.60",".295","75.4%","","","5.08","5.28","","-0.2","1652"
"Steve Rain","Cubs","3","4","0","37","0","49.2","9.79","4.89","1.81",".295","81.7%","","","4.35","5.27","","-0.2","1010657"
"Sean DePaula","Indians","0","0","0","13","0","16.2","8.64","7.56","1.62",".340","77.2%","","","5.94","6.07","","-0.2","377"
"Matt Skrmetta","- - -","2","2","0","14","0","14.2","6.75","5.52","1.84",".327","28.2%","","","11.66","6.34","","-0.2","1012044"
