,WAR,Age
2,7.2,24
3,5.3,25
4,2.9,26
5,3.3,27
6,4.5,28
7,2.0,29
8,-0.1,30
9,2.5,31
10,1.1,32
11,-0.7,33
12,0.1,34
13,-2.5,35
14,,
15,-0.4,37
16,,
0,-0.2,24
1,4.4,25
2,4.4,26
3,4.9,27
4,4.6,28
5,4.7,29
6,2.4,29
7,5.1,30
8,1.2,31
9,4.0,32
10,-0.2,33
11,-0.8,34
12,0.1,35
13,0.2,36
14,,
15,1.5,38
16,2.7,39
17,5.6,40
18,0.4,41
19,1.3,42
20,3.0,43
21,-2.1,44
22,0.3,44
23,0.4,45
24,,
