Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
Tommy Kahnle\kahnlto01,31,7,,5.131,Ballengee Group,2 yrs/$4.2M (21-22),$750k,$3.45M,FA,,,,,,,,,
Julio Urias\uriasju01,24,6,Amateur Free Agent,3.117,Scott Boras,1 yr/$3.6M (21),$3.6M,Arb,Arb,FA,,,,,,,,
Scott Alexander\alexasc02,31,7,Traded,4.039,Sosnick Cobbe & K...,1 yr/$1M (21),$1M,Arb,FA,,,,,,,,,
Steven Souza Jr.\souzast01,32,6,,6.033,ACES,1 yr/$100k (21),$100k,FA,,,,,,,,,,
Nate Jones\jonesna01,35,10,Free Agency,9.000,Joe Speed,1 yr/$100k (21),$100k,FA,,,,,,,,,,
Matt Davidson\davidma02,30,5,,3.112,MVP Sports Group,1 yr/$100k (21),$100k,Arb,Arb,FA,,,,,,,,
Rangel Ravelo\ravelra01,29,2,,1.054,,1 yr/$100k (21),$100k,Pre-Arb,Arb,Arb,Arb,FA,,,,,,
Andy Burns\burnsan01,30,1st,,0.036,,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,
Elliot Soto\sotoel01,31,1st,,0.017,,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,
Brandon Morrow\morrobr01,36,12,Free Agency,11.096,Wasserman,,FA,,,,,,,,,,,
Jimmy Nelson\nelsoji02,32,7,Free Agency,6.107,CAA Sports,,FA,,,,,,,,,,,
Tim Federowicz\federti01,33,8,Traded,3.158,ISE Baseball,,Arb,,Arb,FA,,,,,,,,
Kevin Quackenbush\quackke01,32,5,,3.043,Full Circle Sport...,,Arb,,Arb,FA,,,,,,,,
James Pazos\pazosja01,30,6,,3.035,Beverly Hills Spo...,,Arb,,Arb,FA,,,,,,,,
Dennis Santana\santade01,25,4,Amateur Free Agent,1.105,Optimum Baseball,,,,Arb,Arb,Arb,FA,,,,,,
Caleb Ferguson\ferguca01,24,3,Amateur Draft,2.093,,,,,Arb,Arb,FA,,,,,,,
Brusdar Graterol\gratebr01,22,3,Traded,1.029,,,,,Arb,Arb,Arb,FA,,,,,,
Andrew Toles\tolesan01,29,3,Free Agency,1.128,Magnus Sports,,,,Arb,Arb,Arb,FA,,,,,,
Brock Stewart\stewabr01,29,4,Amateur Draft,1.105,,,,,Arb,Arb,Arb,FA,,,,,,
Matt Beaty\beatyma01,28,3,Amateur Draft,1.104,,,,,Arb,Arb,Arb,FA,,,,,,
Will Smith\smithwi05,26,3,Amateur Draft,1.090,Sosnick Cobbe & K...,,,,Arb,Arb,Arb,FA,,,,,,
Dustin May\maydu01,23,3,Amateur Draft,1.059,Craig Rose Parag...,,,,Arb,Arb,Arb,FA,,,,,,
Carlos Asuaje\asuajca01,29,3,,1.048,,,,,Arb,Arb,Arb,FA,,,,,,
Austin Bibens-Dirkx\bibenau01,36,2,,1.047,,,,,Arb,Arb,Arb,FA,,,,,,
Edwin Rios\riosed01,27,3,Amateur Draft,1.043,,,,,Arb,Arb,Arb,FA,,,,,,
Tony Gonsolin\gonsoto01,27,2,Amateur Draft,0.152,Beverly Hills Spo...,,,,Arb,Arb,Arb,Arb,FA,,,,,
Alex Vesia\vesiaal01,25,2,Traded,0.136,,,,,,Arb,Arb,Arb,FA,,,,,
Mike Kickham\kickhmi01,32,4,Free Agency,0.165,ISE Baseball,,,,Arb,Arb,Arb,Arb,FA,,,,,
Yefry Ramirez\ramirye01,27,2,,0.163,,,,,Arb,Arb,Arb,Arb,FA,,,,,
Victor Gonzalez\gonzavi02,25,2,Amateur Free Agent,0.128,,,,,,Arb,Arb,Arb,FA,,,,,
Gavin Lux\luxga01,23,3,Amateur Draft,0.114,,,,,,Arb,Arb,Arb,FA,,,,,
Aaron Wilkerson\wilkeaa01,32,3,,0.067,C.L. Rocks Corpor...,,,,,Arb,Arb,Arb,FA,,,,,
Sheldon Neuse\neusesh01,26,2,Traded,0.032,,,,,,Arb,Arb,Arb,FA,,,,,
Keibert Ruiz\ruizke01,22,2,Amateur Free Agent,0.022,,,,,,Arb,Arb,Arb,FA,,,,,
Mitch White\whitemi03,26,2,Amateur Draft,0.025,,,,,,Arb,Arb,Arb,FA,,,,,
Zach McKinstry\mckinza01,26,2,Amateur Draft,0.017,NWSMG/Nik Lubisic...,,,,,Arb,Arb,Arb,FA,,,,,
Garrett Cleavinger\cleavga01,27,2,Traded,0.014,,,,,,Arb,Arb,Arb,FA,,,,,
Phil Bickford\bickfph01,25,2,Waivers,0.008,,,,,,Arb,Arb,Arb,FA,,,,,
