Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028
Chad Green\greench03,30,6,Traded,4.050,Frontline,1 yr/$2.15M (21),$2.15M,Arb,FA,,,,,
Jordan Montgomery\montgjo01,28,5,Amateur Draft,3.145,Beverly Hills Spo...,1 yr/$2.13M (21),$2.13M,Arb,Arb,FA,,,,
Clint Frazier\frazicl01,26,5,Traded,2.133,,1 yr/$2.1M (21),$2.1M,Arb,Arb,Arb,FA,,,
Luis Cessa\cessalu01,29,6,Traded,3.131,,1 yr/$1.05M (21),$1.05M,Arb,Arb,FA,,,,
Wandy Peralta\peralwa01,29,6,Traded,3.168,Wasserman,1 yr/$925k (21),$925k,Arb,Arb,FA,,,,
Robinson Chirinos\chiriro01,37,9,,8.103,MDR Sports Manage...,1 yr/$100k (21),$100k,FA,,,,,,
Asher Wojciechowski\wojcias01,32,4,,2.151,ISE Baseball,1 yr/$100k (21),$100k,Arb,Arb,Arb,FA,,,
Adam Warren\warread01,33,8,Traded,7.036,Full Circle Sport...,,FA,,,,,,,
Derek Dietrich\dietrde01,31,8,,6.112,All Bases Covered...,,FA,,,,,,,
Luis Garcia\garcilu03,34,8,,5.092,Topline Sports an...,,Arb,,,,,,,
Nick Goody\goodyni01,29,6,Amateur Draft,4.105,,,Arb,,FA,,,,,
Matt Bowman\bowmama01,30,4,,4.021,,,Arb,,FA,,,,,
Kyle Barraclough\barraky01,31,5,,4.020,,,Arb,,FA,,,,,
Mike Ford\fordmi01,28,3,Rule 5 returned,1.061,,,,,Arb,Arb,Arb,FA,,
Miguel Andujar\andujmi01,26,5,Amateur Free Agent,2.117,Octagon,,,,Arb,Arb,FA,,,
Tyler Wade\wadety01,26,5,Amateur Draft,2.093,,,,,Arb,Arb,FA,,,
Rob Brantly\brantro01,31,6,,2.031,LSW Baseball,,,,Arb,Arb,FA,,,
Jonathan Loaisiga\loaisjo01,26,4,Free Agency,2.022,,,,,Arb,Arb,FA,,,
Domingo German\germado01,28,4,Free Agency,2.017,,,,,Arb,Arb,FA,,,
Lucas Luetge\luetglu01,34,5,Free Agency,2.015,Mike McCann,,,,Arb,Arb,FA,,,
Greg Allen\allengr01,28,4,,2.010,,,,,Arb,Arb,FA,,,
Kyle Higashioka\higasky01,31,5,Free Agency,2.005,Beverly Hills Spo...,,,,Arb,Arb,FA,,,
Sal Romano\romansa01,27,5,,1.167,Wasserman,,,,Arb,Arb,Arb,FA,,
Nestor Cortes Jr.\cortene01,26,4,Free Agency,1.139,,,,,Arb,Arb,Arb,FA,,
Socrates Brito\britoso01,28,4,,1.123,The L. Warner Com...,,,,Arb,Arb,Arb,FA,,
Kaleb Cowart\cowarka01,29,5,,1.095,ISE Baseball,,,,Arb,Arb,Arb,FA,,
Ryan LaMarre\lamarry01,32,6,Free Agency,1.062,,,,,Arb,Arb,Arb,FA,,
Andrew Velazquez\velazan01,26,3,,1.062,,,,,Arb,Arb,Arb,FA,,
Michael King\kingmi01,26,3,Traded,1.008,,,,,Arb,Arb,Arb,FA,,
Reggie McClain\mcclare01,28,2,,1.006,,,,,Arb,Arb,Arb,FA,,
Nick Nelson\nelsoni01,25,2,Amateur Draft,0.144,Beverly Hills Spo...,,,,,Arb,Arb,Arb,FA,
Deivi Garcia\garcide01,22,2,Amateur Free Agent,0.058,,,,,,Arb,Arb,Arb,FA,
Albert Abreu\abreual01,25,2,Traded,0.025,,,,,,Arb,Arb,Arb,FA,
Brooks Kriske\kriskbr01,27,2,Amateur Draft,0.044,,,,,,Arb,Arb,Arb,FA,
Clarke Schmidt\schmicl01,25,1st,Amateur Draft,0.031,,,,,,Arb,Arb,Arb,FA,
Estevan Florial\flories01,23,2,Amateur Free Agent,0.011,,,,,,Arb,Arb,Arb,FA,
