,WAR Delta,Age,Previous War
81,5.2,27.0,0.6
82,-4.8,28.0,5.8
83,-1.9,29.0,1.0
84,3.4999999999999996,30.0,1.6
85,-3.9999999999999996,31.0,5.1
86,-2.0,32.0,1.1
87,0.9,33.0,-0.9
88,1.6,34.0,0.0
89,-0.29999999999999993,35.0,-0.4
90,8.200000000000001,25.0,-0.3
91,-2.0,26.0,7.9
92,-0.40000000000000036,27.0,5.9
93,0.7,27.0,1.2
94,-2.0,28.0,1.9
95,-0.1,29.0,-0.1
96,1.0999999999999999,27.0,0.1
97,-2.1,28.0,1.2
98,0.7,29.0,-0.9
99,0.1,30.0,-0.2
100,2.3000000000000003,31.0,-0.1
101,-3.9000000000000004,32.0,2.2
102,1.7,33.0,-1.7
103,0.5,34.0,0.0
104,-0.19999999999999996,24.0,1.4
105,-0.3999999999999999,25.0,1.2
106,4.9,26.0,0.8
107,-2.0,27.0,5.7
108,-3.2,28.0,3.7
109,4.6,29.0,0.5
110,-4.5,30.0,5.1
111,0.30000000000000004,31.0,0.6
112,-0.4,32.0,0.9
113,0.09999999999999998,33.0,0.5
114,-0.1,24.0,0.1
115,-0.2,25.0,0.2
116,-1.0,26.0,0.7
117,-0.5000000000000001,27.0,1.1
118,-0.6,28.0,0.6
119,-0.7,29.0,0.0
120,1.2999999999999998,30.0,-0.7
121,-0.4,22.0,0.2
122,0.1,23.0,-0.2
123,-0.19999999999999998,24.0,-0.1
124,1.2,25.0,-0.3
125,0.20000000000000007,26.0,0.9
126,-1.1,27.0,1.1
127,-0.6,28.0,0.0
128,2.9,29.0,-0.6
129,-4.0,30.0,2.3
130,0.8999999999999999,31.0,-1.7
131,0.7000000000000001,32.0,-0.8
132,0.19999999999999973,22.0,2.2
133,-0.7,23.0,2.4
134,3.0,24.0,1.7
135,-1.8000000000000003,25.0,4.7
136,-2.5,26.0,2.9
137,0.9999999999999999,27.0,0.4
138,-0.2999999999999998,28.0,1.4
139,0.0,29.0,-0.4
140,2.9,30.0,-0.4
141,-5.4,31.0,2.5
142,4.5,32.0,-2.9
143,-1.4000000000000001,33.0,1.6
144,0.49999999999999994,34.0,0.2
145,0.5,26.0,-0.4
146,3.1999999999999997,27.0,0.1
147,-1.1999999999999997,28.0,3.3
148,-0.7000000000000002,29.0,2.1
149,1.1,30.0,-0.5
150,-0.7999999999999999,23.0,0.7
151,0.1,24.0,-0.1
152,0.4,25.0,0.0
153,0.29999999999999993,26.0,0.4
154,-0.6,27.0,0.7
155,0.0,30.0,0.3
156,-0.3,31.0,0.3
157,1.5,26.0,-0.7
158,-0.20000000000000007,27.0,0.8
159,-0.4,25.0,-0.1
160,2.8,26.0,-0.5
161,0.9000000000000004,27.0,2.3
162,-0.30000000000000027,28.0,3.2
163,0.6000000000000001,29.0,2.9
164,-2.4,30.0,3.5
165,-0.9000000000000001,31.0,1.1
166,0.49999999999999994,32.0,0.2
167,-1.2,33.0,0.7
168,0.3,34.0,-0.5
169,0.7000000000000001,25.0,0.4
170,1.5,26.0,1.1
171,-0.6000000000000001,27.0,2.6
172,-0.4,29.0,0.1
173,0.6,30.0,-0.3
174,-0.5,31.0,0.3
175,0.4,32.0,-0.2
176,-0.6000000000000001,33.0,0.2
177,-0.30000000000000004,34.0,0.2
178,0.9,21.0,0.0
179,1.1,22.0,0.9
180,0.6000000000000001,23.0,2.0
181,-0.10000000000000009,24.0,2.6
182,0.7999999999999998,25.0,2.5
183,0.7999999999999998,26.0,3.3
184,0.7000000000000002,27.0,4.1
185,0.0,28.0,4.8
186,-1.2999999999999998,29.0,4.8
187,-1.8,30.0,3.5
188,0.9000000000000001,31.0,1.7
189,-2.3000000000000003,32.0,2.6
190,-0.8999999999999999,33.0,0.3
191,1.1,24.0,-0.5
192,1.0,25.0,0.6
193,2.9,26.0,1.6
194,-1.0,27.0,4.5
195,-0.20000000000000018,28.0,3.5
196,0.6000000000000001,29.0,3.3
197,-3.0,30.0,3.9
198,-2.3,31.0,0.9
199,3.9,32.0,-1.4
200,-1.4,33.0,2.5
201,-0.5000000000000001,34.0,1.1
202,-0.6,35.0,0.6
203,0.3,36.0,0.0
204,-1.9000000000000001,25.0,1.1
205,2.4000000000000004,26.0,-0.8
206,-0.10000000000000009,27.0,1.6
207,-0.19999999999999996,28.0,1.5
208,-1.1,29.0,1.3
209,-0.8999999999999999,30.0,2.0
210,-1.3,31.0,1.1
211,4.4,32.0,-0.2
212,-3.6,33.0,4.2
213,1.7999999999999998,34.0,0.6
214,-3.0999999999999996,35.0,2.4
215,-0.3,23.0,0.5
216,0.0,24.0,0.2
217,3.6999999999999997,25.0,0.2
