,WAR,Age,Previous War,2yr_war,ratio
296,-0.6,30.0,2.1,1.3,0.16901408450704225
297,0.9,31.0,-0.6,2.1,0.16901408450704225
298,0.0,32.0,0.9,-0.6,0.16901408450704225
299,-0.2,34.0,0.0,0.9,0.16901408450704225
300,0.1,27.0,1.7,1.3,0.07352941176470587
301,2.7,28.0,0.1,1.7,0.07352941176470587
302,-1.2,29.0,2.7,0.1,0.07352941176470587
303,0.0,30.0,-1.2,2.7,0.07352941176470587
304,-0.5,31.0,0.0,-1.2,0.07352941176470587
305,-0.6,28.0,-0.4,-0.2,0.17307692307692307
306,-0.2,29.0,-0.6,-0.4,0.17307692307692307
307,-0.4,29.0,-0.2,-0.2,0.3647058823529412
308,0.5,30.0,-0.4,-0.2,0.3647058823529412
309,0.7000000000000001,31.0,0.5,-0.4,0.3647058823529412
310,1.1,32.0,0.7000000000000001,0.5,0.3647058823529412
311,2.0,33.0,1.1,0.7000000000000001,0.3647058823529412
312,-0.5,34.0,2.0,1.1,0.3647058823529412
313,-2.1,35.0,-0.5,2.0,0.3647058823529412
314,0.3,25.0,-1.5,-0.1,0.375
315,-0.2,28.0,-0.3,-0.2,0.0
316,0.0,29.0,-0.2,-0.3,0.0
317,0.7000000000000001,24.0,-0.5,-0.10000000000000003,0.6650485436893204
318,0.9,25.0,0.7000000000000001,-0.5,0.6650485436893204
319,1.0,26.0,0.9,0.7000000000000001,0.6650485436893204
320,-0.1,27.0,1.0,0.9,0.6650485436893204
321,1.4,28.0,-0.1,1.0,0.6650485436893204
322,-0.6,29.0,1.4,-0.1,0.6650485436893204
323,-0.9,25.0,-0.3,-1.1,0.5348837209302325
324,0.0,28.0,-0.9,-0.3,0.5348837209302325
325,0.0,29.0,0.0,-0.9,0.5348837209302325
326,1.0,24.0,-0.1,-1.0,0.2922374429223744
327,-0.2,25.0,1.0,-0.1,0.2922374429223744
328,-0.6,26.0,-0.2,1.0,0.2922374429223744
329,-1.0,27.0,-0.6,-0.2,0.2922374429223744
330,0.6000000000000001,29.0,-1.0,-0.6,0.2922374429223744
331,0.30000000000000004,30.0,0.6000000000000001,-1.0,0.2922374429223744
332,0.1,31.0,0.30000000000000004,0.6000000000000001,0.2922374429223744
333,0.2,23.0,-0.8,1.3,0.006944444444444444
334,1.2,27.0,0.4,-2.0,0.09271523178807947
335,-0.3,26.0,-1.5,0.2,0.5
336,-0.3,30.0,0.0,0.4,0.6923076923076923
