,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career,pitcher,start_ratio,games,contracts
20,20,Cam Gallagher\gallaca01,27,3,Amateur Draft,1.106,,,,,Arb,Arb,"[0.1, 0.0, 0.2]",False,,"[13.0, 22.0, 45.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
21,21,Jorge Lopez\lopezjo02,27,5,Traded,1.102,,,,,Arb,Arb,"[0.0, 0.0, 0.1, -1.3]",True,0.0,"[2.0, 1.0, 17.0, 39.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
22,22,Matt Reynolds\reynoma03,29,3,,1.071,,,,,Arb,Arb,"[0.0, -0.3, -0.1]",False,,"[47.0, 68.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
23,23,Ryan O'Hearn\ohearry01,26,3,Amateur Draft,1.034,,,,,Arb,Arb,"[0.7, -1.5]",False,,"[44.0, 105.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
24,24,Scott Barlow\barlosc01,27,3,Free Agency,1.03,,,,,Arb,Arb,"[0.2, 0.9]",True,0.0,"[6.0, 61.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
25,25,Oscar Hernandez\hernaos01,26,3,Free Agency,1.027,,,,,Arb,Arb,"[-0.3, 0.0]",False,,"[18.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
26,26,Randy Rosario\rosarra01,26,3,Waivers,1.02,,,,,Arb,Arb,"[-0.3, 0.2, 0.1]",True,0.0,"[2.0, 44.0, 19.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
27,27,Brett Phillips\phillbr02,26,4,Traded,1.013,,,,,Arb,Arb,"[1.3, 0.7, 0.3]",False,,"[37.0, 51.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
28,28,Heath Fillmyer\fillmhe01,26,2,Traded,0.155,,,,,Arb,Arb,"[1.0, -0.5]",True,0.5517241379310345,"[17.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
29,29,Jake Newberry\newbeja01,25,2,Amateur Draft,0.151,,,,,Arb,Arb,"[-0.1, 0.5]",True,0.0,"[14.0, 27.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
30,30,Bubba Starling\starlbu01,27,2,Free Agency,0.147,,,,,,Arb,[-0.8],False,,[56.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
31,31,Nicky Lopez\lopezni01,25,2,Amateur Draft,0.139,,,,,,Arb,[0.1],False,,[103.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
32,32,Braden Shipley\shiplbr01,28,3,,0.128,Roc Nation Sports,,,,,Arb,"[0.19999999999999998, -0.30000000000000004, 0.0]",True,0.5384615384615384,"[13.0, 10.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
33,33,Meibrys Viloria\vilorme01,23,2,Amateur Free Agent,0.106,,,,,,Arb,"[0.0, -0.1]",False,,"[10.0, 42.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
34,34,Chance Adams\adamsch01,25,2,,0.075,,,,,,Arb,"[-0.2, -0.7]",True,0.0625,"[3.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
35,35,Richard Lovelady\lovelri01,24,2,Amateur Draft,0.075,,,,,,Arb,[-0.3],True,0.0,[25.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
36,36,Josh Staumont\staumjo01,26,2,Amateur Draft,0.07200000000000001,,,,,,Arb,[-0.1],True,0.0,[16.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
37,37,Kyle Zimmer\zimmeky01,28,2,Free Agency,0.064,,,,,,Arb,[-0.7],True,0.0,[15.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
38,38,Nick Dini\dinini01,26,1st,Amateur Draft,0.053,,,,,,Arb,[0.1],False,,[20.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
39,39,Kelvin Gutierrez\gutieke01,25,1st,Traded,0.049,,,,,,Arb,[0.4],False,,[20.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
40,40,Andres Machado\machaan02,27,1st,Amateur Free Agent,0.032,,,,,,Arb,[-0.3],True,0.0,[2.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
41,41,Ronald Bolanos\bolanro01,23,2,Traded,0.028,,,,,,Arb,[-0.1],True,1.0,[5.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
42,42,Ryan McBroom\mcbrory01,28,2,Purchased,0.027000000000000003,,,,,,Arb,[0.0],False,,[23.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
43,43,Erick Mejia\mejiaer01,25,2,Free Agency,0.027000000000000003,,,,,,Arb,[0.0],False,,[9.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
44,44,Gabe Speier\speiega01,25,2,Traded,0.027000000000000003,Sosnick Cobbe & K...,,,,,Arb,[-0.2],True,0.0,[9.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
