,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,career,games,contracts,years,pitcher,start_ratio
26,Cameron Maybin\maybica01,34,15,Purchased,11.059,Mato Sports Manag...,,FA,,,,,,,,,,,"[-0.4, 0.8, -0.1, 1.2, 4.4, 2.8, -0.8, 0.1, 0.6, 1.7, 1.5, 0.49999999999999994, 1.6, -0.1, -0.3]","[24.0, 8.0, 54.0, 82.0, 137.0, 147.0, 14.0, 95.0, 141.0, 94.0, 114.0, 129.0, 82.0, 32.0, 9.0]","[{'type': 'salary', 'value': 100000.0}]","[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
27,Arodys Vizcaino\vizcaar01,30,7,,6.168,ISE Baseball,,FA,,,,,,,,,,,"[-0.2, 0.0, 1.3, -0.6, 1.6, 1.2, 0.2]","[17.0, 5.0, 36.0, 43.0, 62.0, 39.0, 4.0]",[],"[2011, 2014, 2015, 2016, 2017, 2018, 2019]",True,0.0
28,Brandon Drury\drurybr01,28,7,Free Agency,4.096,Wasserman,,Arb,,FA,,,,,,,,,"[-0.2, 0.0, 1.4, -0.5, -0.6, -1.0, -0.2]","[20.0, 134.0, 135.0, 26.0, 120.0, 21.0, 16.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
29,Jerad Eickhoff\eickhje01,30,5,,4.034,VC Sports Group,,Arb,,FA,,,,,,,,,"[1.7, 3.4, 0.8, 0.0, -0.2]","[8.0, 33.0, 24.0, 3.0, 12.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019]",True,0.95
30,Cheslor Cuthbert\cuthbch01,28,6,,4.019,Sports One Athlet...,,Arb,,FA,,,,,,,,,"[0.3, 0.3, -0.6, -0.3, -1.0, 0.0]","[19.0, 128.0, 58.0, 30.0, 87.0, 1.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020]",False,
31,Jose Martinez\martijo08,32,5,,4.002,,,Arb (~$2.3M),,FA,,,,,,,,,"[0.1, 1.3, 1.8, -0.3, -0.39999999999999997]","[12.0, 106.0, 152.0, 128.0, 34.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020]",False,
32,Luis Guillorme\guilllu01,26,4,Amateur Draft,1.167,,,,,Arb,Arb,Arb,FA,,,,,,"[-0.1, 0.4, 0.7, -0.2]","[35.0, 45.0, 29.0, 16.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
33,Stephen Tarpley\tarplst01,28,4,Waivers,1.13,,,,,Arb,Arb,Arb,FA,,,,,,"[0.2, -0.4, -0.5, 0.0]","[10.0, 21.0, 12.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
34,Tomas Nido\nidoto01,27,5,Amateur Draft,2.089,,,,,Arb,Arb,FA,,,,,,,"[0.0, -0.5, -0.8, 0.2, 0.5]","[5.0, 34.0, 50.0, 7.0, 25.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
35,A.J. Schugel\schugaj01,32,3,,2.074,,,,,Arb,Arb,FA,,,,,,,"[-0.5, 0.7, 0.9]","[5.0, 36.0, 32.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017]",True,0.0
36,Jeff McNeil\mcneije01,29,4,Amateur Draft,2.069,,,,,Arb,Arb,FA,,,,,,,"[3.2, 5.0, 1.5, 0.7]","[63.0, 133.0, 52.0, 31.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
37,Mason Williams\willima10,29,7,Free Agency,2.069,Bobby Barad,,,,Arb,Arb,FA,,,,,,,"[0.1, -0.1, -0.3, 0.2, -0.1, -0.3, 0.1]","[8.0, 12.0, 5.0, 51.0, 11.0, 10.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
38,Joey Lucchesi\lucchjo01,28,4,Traded,2.067,CAA Sports,,,,Arb,Arb,FA,,,,,,,"[0.9, 1.7, -0.2, -0.4]","[26.0, 30.0, 3.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.6666666666666666
39,Drew Smith\smithdr01,27,3,Traded,2.034,,,,,Arb,Arb,FA,,,,,,,"[0.5, -0.1, 0.1]","[27.0, 8.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2020, 2021]",True,0.125
40,Yennsy Diaz\diazye01,24,2,Traded,1.008,,,,,Arb,Arb,Arb,FA,,,,,,"[-0.1, 0.1]","[1.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2021]",True,0.0
41,Pete Alonso\alonspe01,26,3,Amateur Draft,2.0,Sosnick Cobbe & K...,,,,Arb,Arb,FA,,,,,,,"[5.4, 0.1, 1.2]","[161.0, 57.0, 47.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
42,Billy McKinney\mckinbi01,26,4,Traded,1.107,,,,,Arb,Arb,Arb,FA,,,,,,"[0.1, 0.3, 0.1, 0.5]","[38.0, 84.0, 2.0, 53.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
43,Bruce Maxwell\maxwebr01,30,3,,1.083,,,,,Arb,Arb,Arb,FA,,,,,,"[0.5, 0.1, -0.1]","[33.0, 76.0, 18.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018]",False,
