,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career,pitcher,start_ratio,games,contracts
36,36,Cavan Biggio\biggica01,25,2,Amateur Draft,0.129,,,,,,Arb,[2.9],False,,[100.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
37,37,Breyvic Valera\valerbr01,28,3,Waivers,0.121,,,,,,Arb,"[-0.3, -0.2, 0.1]",False,,"[5.0, 32.0, 17.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
38,38,Jacob Waguespack\wagueja01,26,1st,Traded,0.116,,,,,,Arb,[0.9],True,0.8125,[16.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
39,39,Jonathan Davis\davisjo05,28,2,Amateur Draft,0.112,,,,,,Arb,"[-0.3, -0.4]",False,,"[20.0, 37.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
40,40,Reese McGuire\mcguire01,25,3,Traded,0.09,Sosnick Cobbe & K...,,,,,Arb,"[0.3, 1.0]",False,,"[14.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
41,41,Sean Reid-Foley\reidfse01,24,2,Amateur Draft,0.086,Jet Sports,,,,,Arb,"[-0.1, 0.1]",True,0.8125,"[7.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
42,42,Bo Bichette\bichebo01,22,2,Amateur Draft,0.063,,,,,,Arb,[2.3],False,,[46.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
43,43,Jordan Romano\romanjo03,27,2,Rule 5 returned,0.051,,,,,,Arb,[-0.4],True,0.0,[17.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
44,44,Mitch Walding\waldimi01,27,2,,0.048,Sosnick Cobbe & K...,,,,,Arb,"[-0.2, -0.1]",False,,"[13.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
45,45,Andy Burns\burnsan01,29,1st,Amateur Draft,0.036000000000000004,,,,,,Arb,[0.0],False,,[10.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
46,46,Gabriel Guerrero\guerrga01,26,1st,,0.027000000000000003,,,,,,Arb,[-0.1],False,,[14.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
47,47,T.J. Zeuch\zeuchtj01,24,1st,Amateur Draft,0.027000000000000003,,,,,,Arb,[0.3],True,0.6,[5.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
48,48,Anthony Kay\kayan01,25,2,Traded,0.023,,,,,,Arb,[0.1],True,0.0,[3.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
49,49,Yennsy Diaz\diazye01,23,1st,Amateur Free Agent,0.008,,,,,,Arb,[-0.1],True,0.0,[1.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
