,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,career,games,contracts,years,pitcher,start_ratio
24,Rangel Ravelo\ravelra01,29,2,,1.054,,1 yr/$100k (21),$100k,Pre-Arb,Arb,Arb,Arb,FA,,,,,,,"[-0.3, -0.2]","[29.0, 13.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",False,
25,Andy Burns\burnsan01,30,1st,,0.036,,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,,[0.0],[10.0],"[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2016],False,
26,Elliot Soto\sotoel01,31,1st,,0.017,,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,,[0.1],[3.0],"[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],False,
27,Brandon Morrow\morrobr01,36,12,Free Agency,11.096,Wasserman,,FA,,,,,,,,,,,,"[1.0, 1.0, 0.2, 1.7, 1.2999999999999998, 3.1, -0.5, -0.3, 0.9, 0.4, 1.1, 1.4]","[60.0, 45.0, 26.0, 26.0, 30.0, 21.0, 10.0, 13.0, 5.0, 18.0, 45.0, 35.0]",[],"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",True,0.3383233532934132
28,Jimmy Nelson\nelsoji02,32,7,Free Agency,6.107,CAA Sports,,FA,,,,,,,,,,,,"[0.3, -0.4, 1.3, 0.0, 3.1999999999999997, -0.5, 0.5]","[4.0, 14.0, 30.0, 32.0, 29.0, 10.0, 17.0]","[{'type': 'salary', 'value': 500000.0}]","[2013, 2014, 2015, 2016, 2017, 2019, 2021]",True,0.058823529411764705
29,Tim Federowicz\federti01,33,8,Traded,3.158,ISE Baseball,,Arb,,Arb,FA,,,,,,,,,"[0.1, 0.0, 0.1, -0.6, -0.3, 0.1, 0.0, -0.5]","[7.0, 3.0, 56.0, 23.0, 17.0, 13.0, 15.0, 29.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2011, 2012, 2013, 2014, 2016, 2017, 2018, 2019]",False,
30,Kevin Quackenbush\quackke01,32,5,,3.043,Full Circle Sport...,,Arb,,Arb,FA,,,,,,,,,"[1.0, 0.1, 0.5, -0.6, -0.6]","[56.0, 57.0, 60.0, 20.0, 10.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2017, 2018]",True,0.0
31,James Pazos\pazosja01,30,6,,3.035,Beverly Hills Spo...,,Arb,,Arb,FA,,,,,,,,,"[0.3, -0.2, -0.1, 0.9, 0.5, -0.3]","[11.0, 7.0, 59.0, 60.0, 12.0, 6.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020]",True,0.0
32,Dennis Santana\santade01,25,4,Amateur Free Agent,1.105,Optimum Baseball,,,,Arb,Arb,Arb,FA,,,,,,,"[-0.1, 0.0, -0.1, -0.4]","[1.0, 3.0, 12.0, 16.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
33,Caleb Ferguson\ferguca01,24,3,Amateur Draft,2.093,,,,,Arb,Arb,FA,,,,,,,,"[0.3, -0.19999999999999998, 0.2]","[29.0, 46.0, 21.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.0625
