,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,career,games,contracts,years,pitcher,start_ratio
29,Nick Neidert\neideni01,24,2,Traded,1.0,,,,,Arb,"[0.0, -0.1]","[4.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
30,Monte Harrison\harrimo01,25,2,Traded,0.105,,,,,,"[-0.2, -0.1]","[32.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
31,Sixto Sanchez\sanchsi01,22,1st,Traded,0.103,,,,,,[1.6],[7.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,1.0
32,Daniel Castano\castada01,26,2,Traded,0.086,,,,,,"[0.9, 0.0]","[7.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
33,Isan Diaz\diazis01,25,3,Traded,0.131,,,,,,"[-0.9, -0.3, -1.0]","[49.0, 7.0, 29.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
34,Brandon Leibrandt\leibrbr01,28,1st,Free Agency,0.111,,,,,,[0.3],[5.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
35,Preston Guilmet\guilmpr01,33,4,,0.11,,,,,,"[-0.3, -0.1, -0.2, -0.5]","[4.0, 10.0, 5.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2014, 2015, 2018]",True,0.0
36,Lewin Diaz\diazle01,24,2,Traded,0.053,,,,,,"[-0.3, 0.0]","[14.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
37,Rob Zastryzny\zastrro01,29,3,,0.1,,,,,,"[0.6, -0.3, -0.1]","[8.0, 4.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018]",True,0.05555555555555555
38,Trevor Rogers\rogertr01,23,2,Amateur Draft,0.094,,,,,,"[0.0, 2.3]","[7.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
39,Eddy Alvarez\alvared01,31,1st,Purchased,0.075,,,,,,[-0.2],[12.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],False,
40,Jazz Chisholm\chishja01,23,2,Traded,0.075,,,,,,"[-0.1, 1.0]","[21.0, 36.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
41,Andrew Bellatti\bellaan01,29,1st,,0.072,,,,,,[0.5],[17.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2015],True,0.0
42,Jesus Sanchez\sanchje02,23,1st,Traded,0.033,,,,,,[-0.5],[10.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],False,
43,Shawn Morimando\morimsh01,28,2,Free Agency,0.033,,,,,,"[-0.2, -0.1]","[2.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2021]",True,0.0
44,Brian Navarreto\navarbr01,26,1st,Free Agency,0.033,,,,,,[0.0],[2.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],False,
45,Jorge Guzman\guzmajo04,25,1st,Traded,0.022,,,,,,[-0.1],[1.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
46,Braxton Garrett\garrebr01,23,2,Amateur Draft,0.006,,,,,,"[0.0, -0.1]","[2.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
