,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,career,games,contracts,years,pitcher,start_ratio
22,Josh Naylor\naylojo01,24,3,Traded,1.118,,,,,Arb,"[0.0, -0.1, 0.1]","[94.0, 40.0, 56.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
23,Jake Bauers\bauerja01,25,3,Traded,1.1,VC Sports Group,,,,Arb,"[0.5, -0.9, -0.4]","[96.0, 117.0, 46.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2021]",False,
24,Zach Plesac\plesaza01,26,3,Amateur Draft,1.078,,,,,Arb,"[1.8, 2.0, 0.7]","[21.0, 8.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,1.0
25,Aaron Civale\civalaa01,26,3,Amateur Draft,1.058,,,,,Arb,"[1.6, 0.3, 2.3]","[10.0, 12.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,1.0
26,James Karinchak\karinja01,25,3,Amateur Draft,1.017,,,,,Arb,"[0.1, 0.6, 1.3]","[5.0, 27.0, 29.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
27,Matt Koch\kochma01,30,4,,1.006,,,,,Arb,"[1.0, 0.0, 0.30000000000000004, -0.7]","[7.0, 1.0, 19.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019]",True,0.4444444444444444
28,Yu Chang\changyu01,25,3,Amateur Free Agent,1.005,Wasserman,,,,Arb,"[-0.2, 0.1, -0.4]","[28.0, 10.0, 39.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
29,Triston McKenzie\mckentr01,23,2,Amateur Draft,0.103,,,,,,"[0.6, -0.19999999999999998]","[8.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.9090909090909091
30,Logan Allen\allenlo01,24,3,Traded,0.083,,,,,,"[-0.30000000000000004, 0.1, -0.7]","[9.0, 3.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,1.0
31,Cam Hill\hillca02,27,1st,Amateur Draft,0.158,L. Warner Compani...,,,,Arb,[-0.1],[18.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
32,Kyle Dowdy\dowdyky01,28,1st,,0.123,,,,,,[-0.4],[13.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],True,0.07692307692307693
33,DJ Johnson\johnsdj01,31,2,,0.109,,,,,,"[0.1, 0.2]","[7.0, 28.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.0
34,Daniel Johnson\johnsda07,25,2,Traded,0.036,,,,,,"[-0.3, -0.3]","[5.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
35,Emmanuel Clase\claseem01,23,2,Traded,0.059,,,,,,"[0.9, 1.0]","[21.0, 27.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2021]",True,0.0
36,Bobby Bradley\bradlbo01,25,2,Amateur Draft,0.023,,,,,,"[-0.3, 0.4]","[15.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2021]",False,
37,Kyle Nelson\nelsoky01,24,2,Amateur Draft,0.022,,,,,,"[-0.1, -0.1]","[1.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
