,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,career,pitcher,start_ratio,games,contracts
28,28,Nick Anderson\anderni01,29,2,Traded,1.0,Gaeta Sports Mana...,,,,Arb,Arb,Arb,FA,,[1.4],True,0.0,[68.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
29,29,Michael Perez\perezmi03,27,3,Traded,1.0,,,,,Arb,Arb,Arb,FA,,"[0.5, 0.3]",False,,"[24.0, 22.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
30,30,Aaron Slegers\slegeaa01,27,3,Purchased,0.139,,,,,,Arb,Arb,Arb,FA,"[-0.2, -0.1, 0.0]",True,0.5555555555555556,"[4.0, 4.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
31,31,Colin Poche\pocheco01,26,1st,Traded,0.114,,,,,,Arb,Arb,Arb,FA,[0.0],True,0.0,[51.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
32,32,Mike Brosseau\brossmi01,26,2,Amateur Free Agent,0.1,,,,,,Arb,Arb,Arb,FA,[0.6],False,,[50.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
33,33,Dylan Cozens\cozendy01,26,2,,0.08199999999999999,,,,,,Arb,Arb,Arb,FA,"[-0.2, 0.0]",False,,"[26.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
34,34,John Curtiss\curtijo02,27,3,,0.078,,,,,,Arb,Arb,Arb,FA,"[-0.2, 0.0, 0.0]",True,0.0,"[9.0, 8.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
35,35,Ryan Sherriff\sherrry01,30,2,,0.078,,,,,,Arb,Arb,Arb,FA,"[0.2, -0.1]",True,0.0,"[13.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
36,36,Nate Lowe\lowena01,24,1st,Amateur Draft,0.07,,,,,,Arb,Arb,Arb,FA,[0.4],False,,[50.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
37,37,Pete Fairbanks\fairbpe01,26,2,Traded,0.057,,,,,,Arb,Arb,Arb,FA,[-0.7],True,0.0,[21.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
38,38,Brendan McKay\mckaybr01,24,1st,Amateur Draft,0.056,Sosnick Cobbe & K...,,,,,Arb,Arb,Arb,FA,[-0.1],True,0.8461538461538461,[13.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
39,39,Brian O'Grady\ogradbr01,28,1st,,0.056,,,,,,Arb,Arb,Arb,FA,[0.0],False,,[28.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
40,40,Randy Arozarena\arozara01,25,1st,,0.048,,,,,,Arb,Arb,Arb,FA,[0.3],False,,[19.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
41,41,Johnny Davis\davisjo06,30,1st,Free Agency,0.019,,,,,,Arb,Arb,Arb,FA,[-0.1],False,,[8.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
42,42,D.J. Snelten\sneltdj01,28,1st,,0.01,,,,,,Arb,Arb,Arb,FA,[-0.2],True,0.0,[4.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
