,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career,pitcher,start_ratio,games,contracts
33,33,Clay Holmes\holmecl01,27,3,Amateur Draft,1.031,,,,,Arb,Arb,"[-0.5, -0.5]",True,0.0,"[11.0, 35.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
34,34,Dovydas Neverauskas\neverdo01,27,4,Amateur Free Agent,0.17,,,,,Arb,Arb,"[0.3, -0.8, -0.4]",True,0.0,"[24.0, 25.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
35,35,Bryan Reynolds\reynobr01,25,2,Traded,0.163,,,,,Arb,Arb,[4.1],False,,[134.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
36,36,Nik Turley\turleni01,30,2,Waivers,0.14300000000000002,,,,,,Arb,[-0.8],True,0.0,[10.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
37,37,Pablo Reyes\reyespa01,26,2,Amateur Free Agent,0.127,,,,,,Arb,"[0.2, -1.0]",False,,"[18.0, 71.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
38,38,Sam Howard\howarsa01,27,2,,0.119,,,,,,Arb,"[0.1, -0.3]",True,0.0,"[4.0, 20.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
39,39,Phillip Evans\evansph01,27,3,Free Agency,0.11,,,,,,Arb,"[0.2, -0.3]",False,,"[19.0, 15.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
40,40,Geoff Hartlieb\hartlge01,26,1st,Amateur Draft,0.093,,,,,,Arb,[-0.8],True,0.0,[29.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
41,41,Cole Tucker\tuckeco01,23,2,Amateur Draft,0.08,,,,,,Arb,[0.2],False,,[56.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
42,42,Williams Jerez\jerezwi01,28,2,Waivers,0.07400000000000001,,,,,,Arb,"[-0.6, 0.1]",True,0.0,"[17.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
43,43,Kevin Kramer\krameke01,26,2,Amateur Draft,0.06,Sosnick Cobbe & K...,,,,,Arb,"[-0.6, -0.5]",False,,"[21.0, 22.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
44,44,Mitch Keller\kellemi03,24,2,Amateur Draft,0.059,,,,,,Arb,[-1.1],True,1.0,[11.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
45,45,Jason Martin\martija03,24,1st,Traded,0.058,,,,,,Arb,[-0.3],False,,[20.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
46,46,Miguel Del Pozo\delpomi01,27,1st,,0.043,,,,,,Arb,[-0.5],True,0.0,[17.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
47,47,Montana DuRapau\durapmo01,28,1st,Amateur Draft,0.03,,,,,,Arb,[-0.8],True,0.14285714285714285,[14.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
48,48,James Marvel\marveja01,26,1st,Amateur Draft,0.022,Sosnick Cobbe & K...,,,,,Arb,[-0.5],True,1.0,[4.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
