,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,games,contracts,years,pitcher,start_ratio
21,Jon Lester\lestejo01,37,16,Free Agency,14.075,ACES (Sam & Seth ...,,FA,,,,,,"[1.5, 0.9, 6.0, 6.1000000000000005, 5.2, 4.2, 0.1, 2.6, 4.6, 2.5, 5.5, 0.8, 3.0, 1.7, -0.3, 0.1]","[15.0, 12.0, 33.0, 32.0, 32.0, 31.0, 33.0, 33.0, 32.0, 32.0, 32.0, 32.0, 32.0, 31.0, 12.0, 7.0]","[{'type': 'salary', 'value': 10000000.0}]","[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
22,Alex Avila\avilaal01,34,13,Free Agency,11.061,Excel Sports Mana...,,FA,,,,,,"[0.6, 0.1, 5.1, 2.2, 0.6, 2.1, 0.0, 1.0, 2.8, 0.0, 1.4, 0.5, 0.5]","[29.0, 104.0, 141.0, 116.0, 102.0, 124.0, 67.0, 57.0, 112.0, 80.0, 63.0, 23.0, 17.0]",[],"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
23,Luis Avilan\avilalu01,31,10,Free Agency,7.077,SPS Sports Group,,FA,,,,,,"[0.7, 2.2, -0.1, 0.39999999999999997, 0.3, 0.7, 0.5, 0.2, 0.0, -0.4]","[31.0, 75.0, 62.0, 73.0, 27.0, 61.0, 70.0, 45.0, 10.0, 4.0]",[],"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
24,T.J. McFarland\mcfartj01,32,8,,6.164,Octagon,,FA,,,,,,"[0.1, 0.5, -0.4, -0.4, -0.9, 1.2999999999999998, -0.7, 0.1]","[38.0, 37.0, 30.0, 16.0, 43.0, 47.0, 51.0, 23.0]",[],"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",True,0.010526315789473684
25,Erick Fedde\feddeer01,28,5,Amateur Draft,2.099,,,,,Arb,Arb,FA,,"[-0.5, 0.19999999999999998, 0.8, 1.4, 0.1]","[3.0, 11.0, 21.0, 11.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,1.0
26,Ryne Harper\harpery01,32,3,Traded,2.02,,,,,Arb,Arb,FA,,"[0.5, -0.3, 0.0]","[61.0, 23.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
27,Justin Miller\milleju02,34,5,Free Agency,3.083,Kevin Kohler,,Arb,,Arb,FA,,,"[-0.1, 0.5, 0.0, 0.8, 0.2]","[8.0, 34.0, 40.0, 51.0, 17.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2018, 2019]",True,0.0
28,Aaron Barrett\barreaa01,33,4,Free Agency,3.034,Excel Sports Mana...,,Arb,,Arb,FA,,,"[0.4, 0.0, -0.2, 0.0]","[50.0, 40.0, 3.0, 2.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2019, 2020]",True,0.0
29,Wander Suero\suerowa01,29,4,Amateur Free Agent,2.123,,,,,Arb,Arb,FA,,"[0.8, 0.5, 0.5, 0.2]","[40.0, 78.0, 22.0, 19.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
30,Brandon Snyder\snydebr03,34,6,,2.063,,,,,Arb,Arb,FA,,"[0.0, -0.1, 0.2, -0.4, 0.1, 0.0]","[10.0, 6.0, 40.0, 27.0, 37.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2010, 2011, 2012, 2013, 2016, 2018]",False,
31,Victor Robles\roblevi01,24,5,Amateur Free Agent,2.052,Republik Sports,,,,Arb,Arb,FA,,"[0.1, 0.5, 4.5, -0.2, 0.7]","[13.0, 21.0, 155.0, 52.0, 46.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
32,Rogelio Armenteros\armenro01,27,1st,,1.018,,,,,Arb,Arb,Arb,FA,[0.1],[5.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],True,0.4
33,Carter Kieboom\kieboca01,23,3,Amateur Draft,1.001,,,,,Arb,Arb,Arb,FA,"[-0.9, 0.3, 0.0]","[11.0, 33.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
34,Tanner Rainey\raineta01,28,4,Traded,1.158,,,,,Arb,Arb,Arb,FA,"[-1.0, 0.5, 1.0, -1.1]","[8.0, 52.0, 20.0, 20.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
