,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,career,pitcher,start_ratio,games,contracts
23,23,Yordan Álvarez\alvaryo01,23,1st,Traded,0.113,MVP Sports Group,,,,,Arb,Arb,[3.7],False,,[87.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
24,24,Myles Straw\strawmy01,25,2,Amateur Draft,0.112,,,,,,Arb,Arb,"[0.2, 1.0]",False,,"[9.0, 56.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
25,25,Cionel Pérez\perezci01,24,2,Amateur Free Agent,0.107,,,,,,Arb,Arb,"[0.1, -0.5]",True,0.0,"[8.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
26,26,Kyle Tucker\tuckeky01,23,3,Amateur Draft,0.079,,,,,,Arb,Arb,"[-0.8, 0.8]",False,,"[28.0, 22.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
27,27,Cy Sneed\sneedcy01,27,2,Traded,0.067,,,,,,Arb,Arb,[-0.1],True,0.0,[8.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
28,28,Garrett Stubbs\stubbga01,27,2,Amateur Draft,0.06,,,,,,Arb,Arb,[0.1],False,,[19.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
29,29,Jose Urquidy\urquijo01,25,1st,Amateur Free Agent,0.049,,,,,,Arb,Arb,[0.5],True,0.7777777777777778,[9.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
30,30,Jack Mayfield\mayfija01,29,1st,Amateur Free Agent,0.044,,,,,,Arb,Arb,[0.1],False,,[26.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
31,31,Abraham Toro\toroab01,23,2,Amateur Draft,0.039,,,,,,Arb,Arb,[0.2],False,,[25.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
32,32,Dean Deetz\deetzde01,26,1st,Amateur Draft,0.027000000000000003,,,,,,Arb,Arb,[0.0],True,0.0,[4.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
33,33,Bryan Abreu\abreubr01,23,2,Amateur Free Agent,0.025,,,,,,Arb,Arb,[0.3],True,0.0,[7.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
34,34,Rogelio Armenteros\armenro01,26,1st,Amateur Free Agent,0.018000000000000002,,,,,,Arb,Arb,[0.1],True,0.4,[5.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
