,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,career,games,contracts,years,pitcher,start_ratio
20,Juan Lagares\lagarju01,32,9,Free Agency,7.005,ACES (Sam & Seth ...,1 yr/$100k (21),$100k,FA,,,,,,,,,"[3.4, 5.2, 0.4, 0.8, 2.1, 1.1, -0.8, 0.1, 0.1]","[121.0, 116.0, 143.0, 79.0, 94.0, 30.0, 133.0, 2.0, 30.0]","[{'type': 'salary', 'value': 100000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
21,AJ Ramos\ramosaj01,34,8,,6.055,Sports One Athlet...,1 yr/$100k (21),$100k,FA,,,,,,,,,"[0.1, 0.8, 2.0, 2.0, 1.3, 0.4, -0.5, 0.1]","[11.0, 68.0, 68.0, 71.0, 67.0, 61.0, 28.0, 3.0]","[{'type': 'salary', 'value': 100000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2020]",True,0.0
22,Hunter Strickland\strichu01,32,8,Purchased,5.033,Diamond Sports Ma...,1 yr/$100k (21),$100k,FA,,,,,,,,,"[0.3, 1.4, 1.1, 1.8, -0.5, -0.2, -0.2, -0.2]","[9.0, 55.0, 72.0, 68.0, 49.0, 28.0, 4.0, 22.0]","[{'type': 'salary', 'value': 100000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
23,Phil Gosselin\gosseph01,32,9,Free Agency,4.125,Meister Sports Ma...,1 yr/$100k (21),$100k,Arb,FA,,,,,,,,"[0.0, 0.8, 0.8999999999999999, 0.5, -0.7, -0.1, -0.4, 0.1, -0.1]","[4.0, 46.0, 44.0, 122.0, 40.0, 20.0, 44.0, 39.0, 23.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
24,Raisel Iglesias\iglesra01,31,7,Traded,5.154,Magnus Sports,,Arb,,,,,,,,,,"[0.7, 2.6, 2.3000000000000003, 2.0, 1.0, 0.2, 0.5]","[18.0, 37.0, 63.0, 66.0, 68.0, 22.0, 22.0]","[{'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
25,Jake Petricka\petrija01,33,7,,5.02,Nick Brockmeyer,,Arb,,,,,,,,,,"[0.5, 2.0, 0.7, -0.1, -0.6, 0.1, 0.1]","[16.0, 67.0, 62.0, 9.0, 27.0, 41.0, 6.0]","[{'type': 'arb', 'value': None}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019]",True,0.0
26,James Hoyt\hoytja01,34,6,Purchased,2.094,,,,,Arb,Arb,FA,,,,,,"[-0.1, 0.2, 0.0, 0.2, 0.8, 0.1]","[22.0, 43.0, 1.0, 8.0, 24.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
27,Junior Guerra\guerrju02,36,7,Free Agency,4.155,,,Arb (~$3.3M),,FA,,,,,,,,"[-0.1, 3.9000000000000004, -0.4, 0.1, 1.4, 0.6, 0.0]","[3.0, 20.0, 21.0, 31.0, 72.0, 25.0, 15.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.06666666666666667
28,Scott Schebler\schebsc01,30,7,Free Agency,3.054,,,Arb,,Arb,FA,,,,,,,"[0.6, 0.5, 1.2, 0.9, -0.7, 0.0, -0.3]","[19.0, 82.0, 141.0, 107.0, 30.0, 1.0, 11.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
29,Luis Rengifo\rengilu01,24,3,Traded,1.147,,,,,Arb,Arb,Arb,FA,,,,,"[1.0, -0.4, -0.4]","[108.0, 33.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
30,Jaime Barria\barrija01,24,4,Amateur Free Agent,1.123,,,,,Arb,Arb,Arb,FA,,,,,"[2.6999999999999997, -0.4, 1.0, -0.2]","[26.0, 19.0, 7.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
31,Dillon Peters\peterdi01,28,4,Traded,1.089,,,,,Arb,Arb,Arb,FA,,,,,"[0.0, -0.5, 0.0, -0.2]","[6.0, 7.0, 17.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020]",True,0.7741935483870968
32,Aaron Slegers\slegeaa01,28,5,Traded,1.086,,,,,Arb,Arb,Arb,FA,,,,,"[-0.2, -0.1, 0.0, 0.4, -0.2]","[4.0, 4.0, 1.0, 11.0, 23.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
33,Anthony Bemboom\bemboan01,31,3,Purchased,1.058,,,,,Arb,Arb,Arb,FA,,,,,"[-0.6, 0.4, -0.1]","[25.0, 21.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
34,Dalton Pompey\pompeda01,28,4,,2.104,CAA Sports,,,,Arb,Arb,FA,,,,,,"[0.0, 0.6, -0.1, -0.1]","[17.0, 34.0, 8.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2018]",False,
35,Ty Buttrey\buttrty01,28,3,Traded,2.046,,,,,Arb,Arb,FA,,,,,,"[0.2, 1.1, 0.0]","[16.0, 72.0, 27.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.0
36,Franklin Barreto\barrefr02,25,4,Traded,2.031,,,,,Arb,Arb,FA,,,,,,"[-0.1, 0.1, -0.5, -0.4]","[25.0, 32.0, 23.0, 21.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020]",False,
37,Jake Faria\fariaja01,27,3,,1.168,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,,,,,"[1.3, -0.3, -0.39999999999999997]","[16.0, 17.0, 16.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019]",True,0.5306122448979592
38,Griffin Canning\cannigr01,25,3,Amateur Draft,1.153,Wasserman,,,,Arb,Arb,Arb,FA,,,,,"[1.2, 1.3, 0.1]","[18.0, 11.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.9
39,Taylor Ward\wardta01,27,4,Amateur Draft,1.065,Wasserman,,,,Arb,Arb,Arb,FA,,,,,"[-0.2, -0.9, 0.1, 0.1]","[40.0, 20.0, 34.0, 31.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
40,Luke Bard\bardlu01,30,3,Free Agency,1.028,,,,,Arb,Arb,Arb,FA,,,,,"[0.0, 0.3, 0.0]","[8.0, 32.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.06521739130434782
41,Jared Walsh\walshja01,27,3,Amateur Draft,1.01,,,,,Arb,Arb,Arb,FA,,,,,"[-0.3, 0.7, 1.6]","[31.0, 32.0, 58.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
42,Thomas Pannone\pannoth01,27,2,,1.002,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,,,,,"[0.8, -0.3]","[12.0, 37.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.2653061224489796
43,Jo Adell\adelljo01,22,1st,Amateur Draft,0.153,,,,,Arb,Arb,Arb,Arb,FA,,,,[-1.5],[38.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],False,
44,Matt Thaiss\thaisma01,26,2,Amateur Draft,0.153,,,,,Arb,Arb,Arb,Arb,FA,,,,"[0.3, -0.4]","[53.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",False,
45,Jose Quijada\quijajo01,25,3,Waivers,0.143,,,,,,Arb,Arb,Arb,FA,,,,"[-0.4, -0.1, 0.2]","[34.0, 6.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
46,Patrick Sandoval\sandopa02,24,3,Traded,0.167,Wasserman,,,,Arb,Arb,Arb,Arb,FA,,,,"[0.5, 0.0, 0.7]","[10.0, 9.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.5714285714285714
47,Jake Buchanan\buchaja01,31,4,,0.161,Ballengee Group,,,,Arb,Arb,Arb,Arb,FA,,,,"[-0.1, 0.2, 0.2, -0.19999999999999998]","[17.0, 5.0, 2.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2017]",True,0.10344827586206896
48,Jose Suarez\suarejo01,23,3,Amateur Free Agent,0.16,,,,,Arb,Arb,Arb,Arb,FA,,,,"[-1.1, -0.6, 0.4]","[19.0, 2.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
49,Tim Peterson\peterti01,30,2,,0.117,,,,,,Arb,Arb,Arb,FA,,,,"[-0.3, 0.1]","[22.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.0
50,Gavin Cecchini\cecchga02,27,2,,0.082,Rob Martin,,,,,Arb,Arb,Arb,FA,,,,"[0.2, -0.6]","[4.0, 32.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017]",False,
51,Gerardo Reyes\reyesge01,28,1st,,0.074,,,,,,Arb,Arb,Arb,FA,,,,[-0.5],[27.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],True,0.0
52,Francisco Arcia\arciafr01,31,1st,Free Agency,0.067,,,,,,Arb,Arb,Arb,FA,,,,[0.0],[40.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2018],False,
53,Ben Rowen\rowenbe01,32,3,Free Agency,0.061,,,,,,Arb,Arb,Arb,FA,,,,"[0.1, -0.3, 0.0]","[8.0, 4.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2016, 2021]",True,0.0
54,Tyler Danish\danisty01,26,3,,0.051,,,,,,Arb,Arb,Arb,FA,,,,"[-0.1, 0.3, -0.2]","[3.0, 1.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018]",True,0.09090909090909091
55,Mitch Walding\waldimi01,28,2,,0.048,Sosnick Cobbe & K...,,,,,Arb,Arb,Arb,FA,,,,"[-0.2, 0.0]","[13.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",False,
56,Kean Wong\wongke01,26,2,Free Agency,0.025,,,,,,Arb,Arb,Arb,FA,,,,"[0.0, -0.1]","[7.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2021]",False,
