,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,2027,2028,career,pitcher,start_ratio,games,contracts
24,24,Matt Adams\adamsma01,31,9,Free Agency,7.033,Wasserman,1 yr/$100k (20),$100k,FA,,,,,,,,"[-0.1, 1.2, 2.2, 0.0, 0.5, 0.2, 1.0, 0.1]",False,,"[27.0, 108.0, 142.0, 60.0, 118.0, 131.0, 121.0, 111.0]","[{'type': 'salary', 'value': 100000.0}]"
25,25,Charlie Culberson\culbech01,31,8,Free Agency,4.084,Ballengee Group,1 yr/$100k (20),$100k,Arb,FA,,,,,,,"[-0.2, -0.3, -1.6, 0.4, 0.0, 0.7, 0.0]",False,,"[6.0, 47.0, 95.0, 34.0, 15.0, 113.0, 108.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}]"
26,26,Rafael Ortega\ortegra01,29,4,Free Agency,1.014,,1 yr/$100k (20),$100k,Pre-Arb,Arb,Arb,Arb,FA,,,,"[0.1, -0.4, -0.6, -0.3]",False,,"[2.0, 66.0, 41.0, 34.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
27,27,Shane Robinson\robinsh01,35,9,,5.058,CAA Sports,,Arb,,,,,,,,,"[-0.3, -0.2, 0.6, 0.8, -0.5, 0.3, 0.2, 0.1, -0.1]",False,,"[11.0, 9.0, 102.0, 99.0, 47.0, 83.0, 65.0, 20.0, 25.0]","[{'type': 'arb', 'value': None}]"
28,28,Yangervis Solarte\solarya01,32,6,,5.044,The Legacy Agency,,Arb,,,,,,,,,"[1.4, 2.3, 2.8, 1.1, -0.9, -0.4]",False,,"[131.0, 152.0, 109.0, 128.0, 122.0, 28.0]","[{'type': 'arb', 'value': None}]"
29,29,Chris Rusin\rusinch01,33,8,,4.169,Sports One Athlet...,,Arb,,FA,,,,,,,"[-0.30000000000000004, 0.6, -0.2, 0.30000000000000004, 2.0, 2.5, -0.8, -0.2]",True,0.26063829787234044,"[7.0, 13.0, 4.0, 24.0, 29.0, 60.0, 49.0, 2.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
30,30,Pete Kozma\kozmape01,32,7,,3.094,Hendricks Sports,,Arb,,Arb,FA,,,,,,"[0.0, 1.2, -0.3, 0.2, -0.8, -1.0, 0.3]",False,,"[16.0, 26.0, 143.0, 14.0, 76.0, 39.0, 27.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
31,31,Scott Schebler\schebsc01,29,5,,2.17,,,,,Arb,Arb,FA,,,,,"[0.6, 0.5, 1.2, 1.0, -0.5]",False,,"[19.0, 82.0, 141.0, 107.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
32,32,Sean Newcomb\newcose01,27,4,Traded,2.108,The Legacy Agency,,,,Arb,Arb,FA,,,,,"[1.0999999999999999, 1.2000000000000002, 1.0999999999999999]",True,1.0,"[19.0, 31.0, 55.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
33,33,A.J. Minter\minteaj01,26,4,Amateur Draft,1.162,SSG Baseball,,,,Arb,Arb,Arb,FA,,,,"[0.4, 0.8, -0.8]",True,0.0,"[16.0, 65.0, 36.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
34,34,Max Fried\friedma01,26,4,Traded,1.148,CAA Sports,,,,Arb,Arb,Arb,FA,,,,"[0.2, 0.7, 3.0]",True,1.0,"[9.0, 14.0, 33.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
35,35,Mike Soroka\sorokmi01,22,3,Amateur Draft,1.146,,,,,Arb,Arb,Arb,FA,,,,"[-0.1, 5.5]",True,1.0,"[5.0, 29.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
36,36,Tyler Matzek\matzety01,29,3,Free Agency,1.019,The Legacy Agency,,,,Arb,Arb,Arb,FA,,,,"[2.1, 0.8]",True,0.0,"[20.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
37,37,Chad Sobotka\sobotch01,26,2,Amateur Draft,1.003,,,,,Arb,Arb,Arb,FA,,,,"[0.5, -0.4]",True,0.0,"[14.0, 32.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
38,38,Peter O'Brien\obriepe01,29,4,,1.0,,,,,Arb,Arb,Arb,FA,,,,"[0.1, -0.7, 0.5, -0.7]",False,,"[8.0, 28.0, 22.0, 14.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
39,39,Jacob Webb\webbja01,26,1st,Amateur Draft,0.155,,,,,Arb,Arb,Arb,Arb,FA,,,[0.9],True,0.0,[36.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
40,40,Touki Toussaint\toussto01,24,3,Traded,0.14,,,,,,Arb,Arb,Arb,FA,,,"[0.3, -0.5]",True,0.0,"[7.0, 24.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
41,41,Austin Riley\rileyau01,23,2,Amateur Draft,0.138,,,,,,Arb,Arb,Arb,FA,,,[0.1],False,,[80.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
42,42,Bryse Wilson\wilsobr02,22,2,Amateur Draft,0.087,,,,,,Arb,Arb,Arb,FA,,,"[-0.1, -0.5]",True,0.5555555555555556,"[3.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
43,43,Kyle Wright\wrighky01,24,2,Amateur Draft,0.076,,,,,,Arb,Arb,Arb,FA,,,"[0.0, -0.6]",True,0.3636363636363637,"[4.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
44,44,Ben Rowen\rowenbe01,31,2,,0.061,,,,,,Arb,Arb,Arb,FA,,,"[0.1, -0.3]",True,0.0,"[8.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
45,45,Alex Jackson\jacksal02,24,2,Traded,0.04,,,,,,Arb,Arb,Arb,FA,,,[-0.3],False,,[4.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
46,46,Jeremy Walker\walkeje02,25,1st,Amateur Draft,0.039,,,,,,Arb,Arb,Arb,FA,,,[0.2],True,0.0,[6.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
47,47,Huascar Ynoa\ynoahu01,22,1st,Traded,0.008,Wasserman,,,,,Arb,Arb,Arb,FA,,,[-0.2],True,0.0,[2.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
