,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,career,pitcher,start_ratio,games,contracts
23,23,Jason Kipnis\kipnija01,33,10,Free Agency,8.068999999999999,Beverly Hills Spo...,1 yr/$100k (20),$100k,FA,,,,,,"[1.0, 3.9, 5.0, 0.7, 4.0, 3.8, 0.4, 1.7, 0.7]",False,,"[36.0, 152.0, 149.0, 129.0, 141.0, 156.0, 90.0, 147.0, 121.0]","[{'type': 'salary', 'value': 100000.0}]"
24,24,Jose Lobaton\lobatjo01,35,9,,7.041,Athletes X Agency...,,FA,,,,,,,"[-0.2, -0.1, -0.1, 1.5, 0.7, -0.6, 0.3, -0.9, -0.5]",False,,"[7.0, 15.0, 69.0, 100.0, 66.0, 44.0, 39.0, 51.0, 22.0]",[]
25,25,Josh Phegley\phegljo01,32,8,Free Agency,5.087,Pro Star Manageme...,,Arb (~$2.2M),,,,,,,"[-0.5, 0.2, 1.7, 0.2, 0.0, 0.3, 0.3]",False,,"[65.0, 11.0, 73.0, 25.0, 57.0, 39.0, 106.0]","[{'type': 'arb', 'value': None}]"
26,26,Rex Brothers\brothre01,32,8,Free Agency,4.091,Jet Sports Manage...,,Arb,,FA,,,,,"[1.0, 1.4, 3.1, -0.9, 0.5, -0.4, 0.0]",True,0.0,"[48.0, 75.0, 72.0, 74.0, 17.0, 27.0, 1.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
27,27,Colin Rea\reaco01,29,2,,2.14,Sterling Sports M...,,Arb,,Arb,Arb,FA,,,"[0.1, -0.30000000000000004]",True,0.9615384615384616,"[6.0, 20.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
28,28,Tyler Olson\olsonty01,30,5,,2.114,Jackson Managemen...,,,,Arb,Arb,FA,,,"[-0.1, 0.0, 1.2, -0.1, 0.2]",True,0.0,"[11.0, 1.0, 30.0, 43.0, 39.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
29,29,Victor Caratini\caratvi01,26,4,Traded,2.051,,,,,Arb,Arb,FA,,,"[0.1, 0.1, 1.0]",False,,"[31.0, 76.0, 95.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
30,30,Ian Happ\happia01,25,4,Amateur Draft,2.036,Excel Sports,,,,Arb,Arb,FA,,,"[1.6, 0.7, 1.0]",False,,"[115.0, 142.0, 58.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
31,31,Casey Sadler\sadleca02,29,5,Traded,1.035,,,,,Arb,Arb,Arb,FA,,"[-0.3, 0.1, -0.2, 0.8]",True,0.0,"[6.0, 1.0, 2.0, 33.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
32,32,Jason Adam\adamja01,28,2,,0.156,,,,,Arb,Arb,Arb,Arb,FA,"[-0.3, 0.6]",True,0.0,"[31.0, 23.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
33,33,Brad Wieck\wieckbr01,28,3,Traded,0.125,,,,,,Arb,Arb,Arb,FA,"[0.2, -0.39999999999999997]",True,0.0,"[5.0, 44.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
34,34,Dillon Maples\mapledi01,28,4,Amateur Draft,0.117,CAA Sports,,,,,Arb,Arb,Arb,FA,"[-0.2, -0.3, 0.0]",True,0.0,"[6.0, 9.0, 14.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
35,35,Rowan Wick\wickro01,27,3,Traded,0.114,,,,,,Arb,Arb,Arb,FA,"[-0.2, 0.6]",True,0.0,"[10.0, 31.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
36,36,Mark Zagunis\zagunma01,27,3,Amateur Draft,0.103,,,,,,Arb,Arb,Arb,FA,"[0.0, 0.1, -0.2]",False,,"[7.0, 5.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
37,37,Alec Mills\millsal02,28,3,Traded,0.097,,,,,,Arb,Arb,Arb,FA,"[-0.2, 0.2, 1.0]",True,0.3157894736842105,"[3.0, 7.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
38,38,James Norwood\norwoja01,26,3,Amateur Draft,0.07,,,,,,Arb,Arb,Arb,FA,"[-0.2, 0.1]",True,0.0,"[11.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
39,39,Duane Underwood Jr.\underdu01,25,3,Amateur Draft,0.044,,,,,,Arb,Arb,Arb,FA,"[0.2, 0.0]",True,0.0,"[1.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
40,40,Jerry Vasto\vastoje01,28,1st,,0.037000000000000005,,,,,,Arb,Arb,Arb,FA,[-0.2],True,0.0,[6.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
41,41,Ian Miller\milleia01,28,1st,,0.029,,,,,,Arb,Arb,Arb,FA,[0.0],False,,[12.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
42,42,CD Pelham\pelhacd01,25,1st,,0.027000000000000003,,,,,,Arb,Arb,Arb,FA,[-0.1],True,0.0,[10.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
43,43,Danny Hultzen\hultzda01,30,1st,Free Agency,0.023,,,,,,Arb,Arb,Arb,FA,[0.2],True,0.0,[6.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
44,44,Nico Hoerner\hoernni01,23,2,Amateur Draft,0.021,Sosnick Cobbe & K...,,,,,Arb,Arb,Arb,FA,[0.1],False,,[20.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
45,45,Adbert Alzolay\alzolad01,25,1st,Amateur Free Agent,0.019,,,,,,Arb,Arb,Arb,FA,[-0.30000000000000004],True,0.5,[4.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
