,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,career,pitcher,start_ratio,games,contracts
10,10,Patrick Wisdom\wisdopa01,28,2,,0.071,Sosnick Cobbe & K...,1 yr/$600k (20),$600k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,"[0.5, -0.3]",False,,"[32.0, 9.0]","[{'type': 'salary', 'value': 600000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
11,11,Carl Edwards Jr.\edwarca01,28,6,Free Agency,3.0980000000000003,Ballengee Group,1 yr/$950k (20),$950k,Arb,Arb,FA,,,"[0.0, 0.3, 1.6, 1.2, -0.4]",True,0.0,"[5.0, 36.0, 73.0, 58.0, 22.0]","[{'type': 'salary', 'value': 950000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
12,12,Collin Cowgill\cowgico01,34,6,,3.168,Icon Sports Manag...,,Arb,,Arb,FA,,,"[0.5, 0.4, 0.19999999999999996, 1.7, 0.3, -0.2]",False,,"[36.0, 38.0, 73.0, 106.0, 55.0, 9.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
13,13,Cody Anderson\anderco01,29,3,,3.116,VC Sports Group,,Arb (~$800k),,Arb,FA,,,"[2.5, -0.8, -0.7]",True,0.6666666666666666,"[15.0, 19.0, 5.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
14,14,Tom Murphy\murphto04,29,5,Traded,2.092,Ballengee Group,,,,Arb,Arb,FA,,"[0.1, 0.6, -0.4, -0.3, 2.7]",False,,"[11.0, 21.0, 12.0, 37.0, 75.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
15,15,Chasen Bradford\bradfch02,30,3,Waivers,2.084,,,,,Arb,Arb,FA,,"[0.3, 0.7, 0.1]",True,0.0,"[28.0, 46.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
16,16,Dan Altavilla\altavda01,27,5,Amateur Draft,2.063,,,,,Arb,Arb,FA,,"[0.5, -0.1, 0.5, 0.0]",True,0.0,"[15.0, 41.0, 22.0, 17.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
17,17,Matt Magill\magilma01,30,5,Purchased,2.031,,,,,Arb,Arb,FA,,"[-1.1, 0.0, 0.6, 0.10000000000000003]",True,0.0,"[6.0, 5.0, 40.0, 50.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
18,18,J.P. Crawford\crawfjp01,25,4,Traded,1.163,Wasserman,,,,Arb,Arb,Arb,FA,"[0.8, 0.2, 1.1]",False,,"[23.0, 49.0, 93.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
19,19,Daniel Vogelbach\vogelda01,27,5,Traded,1.138,,,,,Arb,Arb,Arb,FA,"[-0.3, -0.6, 0.2, 1.2]",False,,"[8.0, 16.0, 37.0, 144.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
20,20,Taylor Williams\willita01,28,4,Waivers,1.078,NWSMG/Nik Lubisic...,,,,Arb,Arb,Arb,FA,"[0.1, -0.4, -0.8]",True,0.0,"[5.0, 56.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
