,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,career,games,contracts,years,pitcher,start_ratio
13,John Brebbia\brebbjo01,31,3,,3.093,,1 yr/$800k (21),$800k,Arb,Arb,"[1.1, 0.6, 0.7]","[50.0, 45.0, 66.0]","[{'type': 'salary', 'value': 800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019]",True,0.0
14,Curt Casali\casalcu01,32,8,Free Agency,4.151,Beverly Hills Spo...,1 yr/$1.5M (21),$1.5M,Arb,FA,"[-0.1, 0.9, 0.9, 0.2, 0.9, 1.1, 0.4, -0.5]","[30.0, 38.0, 84.0, 9.0, 52.0, 84.0, 31.0, 27.0]","[{'type': 'salary', 'value': 1500000.0}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
15,Darin Ruf\rufda01,34,7,Free Agency,3.138,CSE,1 yr/$1.28M (21),$1.27M,Arb,Arb,"[0.4, 0.0, 0.2, -0.3, -0.7, 0.7, 1.0]","[12.0, 73.0, 52.0, 106.0, 43.0, 40.0, 43.0]","[{'type': 'salary', 'value': 1275000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2012, 2013, 2014, 2015, 2016, 2020, 2021]",False,
16,Jose Alvarez\alvarjo02,32,9,Free Agency,6.035,Wasserman,1 yr/$1.15M (21) & 22 team option,$1.05M,$100k [FA-*],FA,"[-0.2, 0.1, 0.5, 0.0, 0.2, 1.6, 0.8, 0.3, -0.19999999999999998]","[14.0, 2.0, 64.0, 64.0, 64.0, 76.0, 67.0, 8.0, 20.0]","[{'type': 'salary', 'value': 1050000.0}, {'type': 'team option', 'value': 1500000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
17,Matt Wisler\wislema01,28,7,Free Agency,4.042,Sosnick/Cobbe,1 yr/$1.15M (21),$1.15M,Arb,FA,"[0.7, 0.4, -0.8, -2.7755575615628914e-17, -0.4, 1.0, -0.3]","[20.0, 27.0, 20.0, 18.0, 44.0, 18.0, 21.0]","[{'type': 'salary', 'value': 1150000.0}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
18,Austin Slater\slateau01,28,5,Amateur Draft,2.147,,1 yr/$1.15M (21),$1.15M,Arb,Arb,"[0.1, -0.3, 0.6, 1.0, 0.5]","[34.0, 74.0, 68.0, 31.0, 55.0]","[{'type': 'salary', 'value': 1150000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
19,Jarlin Garcia\garcija04,28,5,Waivers,3.114,,1 yr/$950k (21),$950k,Arb,Arb,"[-0.3, -0.30000000000000004, 1.2, 0.5, 0.4]","[68.0, 29.0, 53.0, 19.0, 18.0]","[{'type': 'salary', 'value': 950000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
20,Trevor Gott\gotttr01,28,6,Purchased,3.048,Sports One Athlet...,1 yr/$700k (21),$700k,Arb,Arb,"[0.6, 0.2, -0.5, -0.2, 0.2, -0.8]","[48.0, 9.0, 4.0, 20.0, 50.0, 15.0]","[{'type': 'salary', 'value': 700000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020]",True,0.0
21,Reyes Moronta\moronre01,28,4,Amateur Free Agent,3.028,,1 yr/$695k (21),$695k,Arb,Arb,"[0.2, 1.5, 1.3, 0.1]","[7.0, 69.0, 56.0, 4.0]","[{'type': 'salary', 'value': 695000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2021]",True,0.0
22,Scott Kazmir\kazmisc01,37,13,Free Agency,11.119,Greg Genske Bria...,1 yr/$100k (21),$100k,FA,,"[0.1, 3.4, 4.2, 5.8999999999999995, 3.9, 0.5, -1.1, -0.3, 1.0, 1.7999999999999998, 3.1, 0.3, -0.1]","[8.0, 32.0, 24.0, 34.0, 27.0, 26.0, 28.0, 1.0, 29.0, 32.0, 31.0, 26.0, 3.0]","[{'type': 'salary', 'value': 100000.0}]","[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2021]",True,0.6666666666666666
23,Nick Tropeano\tropeni01,30,7,Free Agency,4.05,Bledsoe Brothers,1 yr/$100k (21),$100k,Arb,FA,"[-0.1, 0.2, 1.2, 0.2, -0.5, 0.5, 0.1]","[4.0, 8.0, 13.0, 14.0, 3.0, 7.0, 4.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2018, 2019, 2020, 2021]",True,0.0
24,Zack Littell\litteza01,25,4,Free Agency,1.075,,1 yr/$100k (21),$100k,Pre-Arb,Arb,"[-0.5, 0.8, -0.3, 0.6]","[8.0, 29.0, 6.0, 20.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.05
25,Rico Garcia\garciri01,27,2,Free Agency,0.123,Gaeta Sports Mana...,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb,"[-0.2, 0.0]","[2.0, 12.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.07142857142857142
26,Jimmie Sherfy\sherfji01,29,3,,0.114,,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb,"[0.6, 0.5, -0.3]","[11.0, 15.0, 17.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019]",True,0.0
27,Tommy La Stella\lasteto01,32,8,Free Agency,6.057,Beverly Hills Spo...,,FA,,,"[0.1, 0.6, 0.4, 0.4, 0.1, 1.8, 0.7, 0.0]","[93.0, 33.0, 74.0, 73.0, 123.0, 80.0, 55.0, 25.0]",[],"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
