,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,career,games,contracts,years,pitcher,start_ratio
28,Genesis Cabrera\cabrege01,24,3,Traded,1.027,,,,,Arb,Arb,Arb,FA,,"[-0.6, 0.1, 0.5]","[13.0, 19.0, 27.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
29,Andrew Knizner\kniznan01,26,3,Amateur Draft,1.021,,,,,Arb,Arb,Arb,FA,,"[0.2, -0.1, 0.0]","[18.0, 8.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
30,Junior Fernandez\fernaju01,24,3,Amateur Free Agent,1.005,,,,,Arb,Arb,Arb,FA,,"[-0.2, -0.2, 0.0]","[13.0, 3.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
31,Kodi Whitley\whitlko01,26,2,Amateur Draft,1.0,,,,,Arb,Arb,Arb,FA,,"[0.1, -0.3]","[4.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
32,Jake Woodford\woodfja01,24,2,Amateur Draft,0.167,,,,,Arb,Arb,Arb,Arb,FA,"[-0.3, 0.2]","[12.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
33,Edmundo Sosa\sosaed01,25,3,Amateur Free Agent,0.14,,,,,,Arb,Arb,Arb,FA,"[0.0, 0.0, 1.0]","[3.0, 8.0, 35.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2021]",False,
34,Seth Elledge\elledse01,25,2,Traded,0.108,,,,,,Arb,Arb,Arb,FA,"[0.0, -0.1]","[12.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
35,Dylan Carlson\carlsdy01,22,2,Amateur Draft,0.094,,,,,,Arb,Arb,Arb,FA,"[0.1, 1.5]","[35.0, 58.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
36,Ali Sanchez\sanchal04,24,2,Purchased,0.047,,,,,,Arb,Arb,Arb,FA,"[-0.1, 0.0]","[5.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
37,Johan Oviedo\oviedjo01,23,2,Amateur Free Agent,0.092,,,,,,Arb,Arb,Arb,FA,"[-0.5, -0.3]","[5.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.8333333333333334
38,Bernardo Flores Jr.\florebe01,25,2,Waivers,0.036,,,,,,Arb,Arb,Arb,FA,"[-0.1, 0.0]","[2.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
39,Justin Williams\williju02,25,3,Traded,0.058,,,,,,Arb,Arb,Arb,FA,"[-0.1, 0.0, -0.4]","[1.0, 3.0, 51.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2020, 2021]",False,
40,Johan Quezada\quezajo01,26,1st,,0.019,,,,,,Arb,Arb,Arb,FA,[-0.1],[3.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
41,Roel Ramirez\ramirro02,26,1st,Traded,0.033,Dynamic Sports Gr...,,,,,Arb,Arb,Arb,FA,[-0.3],[1.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
42,John Nogowski\nogowjo01,28,2,Free Agency,0.017,Optimum Baseball,,,,,Arb,Arb,Arb,FA,"[-0.1, -0.3]","[1.0, 17.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
43,Jesus Cruz\cruzje01,26,1st,Free Agency,0.006,,,,,,Arb,Arb,Arb,FA,[-0.1],[1.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
