,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,career,pitcher,start_ratio,games,contracts
0,0,Elvis Andrus\andruel01,32,13,Traded,12.0,Scott Boras,8 yrs/$120M (15-22) & 23 vesting option,$14.25M,$14.25M,$0 [FA-*],"[3.6, 1.2, 4.2, 4.0, 3.4, 0.8, 1.8, 2.9, 5.4, 1.7, 1.5, -0.5, -0.7]",False,,"[145.0, 148.0, 150.0, 158.0, 156.0, 157.0, 160.0, 147.0, 158.0, 97.0, 147.0, 29.0, 57.0]","[{'type': 'salary', 'value': 15250000.0}, {'type': 'salary', 'value': 14250000.0}, {'type': 'salary', 'value': 14250000.0}, {'type': 'vesting option', 'value': 15000000.0}]"
1,1,Stephen Piscotty\piscost01,30,7,Traded,5.0760000000000005,CAA Sports,6 yrs/$33.5M (17-22) & 23 team option,$7.58M,$7.58M,$1M [FA-*],"[0.9, 2.8, 0.4, 2.9, 1.0, 0.0, -0.3]",False,,"[63.0, 153.0, 107.0, 151.0, 93.0, 45.0, 46.0]","[{'type': 'salary', 'value': 7333333.0}, {'type': 'salary', 'value': 7583334.0}, {'type': 'salary', 'value': 7583334.0}, {'type': 'team option', 'value': 15000000.0}]"
2,2,Trevor Rosenthal\rosentr01,31,8,,7.001,Scott Boras,1 yr/$11M (21),$11M,FA,,"[0.4, 1.5, 0.8, 2.7, 0.0, 0.6, -1.2, 1.1]",True,0.0,"[19.0, 74.0, 72.0, 68.0, 45.0, 50.0, 22.0, 23.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'salary', 'value': 11000000.0}]"
3,3,Jake Diekman\diekmja01,34,10,Traded,8.05,Beverly Hills Spo...,2 yrs/$7.5M (20-21) & 22 team option,$4M,$750k [FA-*],FA,"[-0.4, 0.6, -0.2, 0.6000000000000001, 1.1, 0.4, -0.20000000000000007, 0.1, 1.3, 0.2]",True,0.0,"[32.0, 45.0, 73.0, 67.0, 66.0, 11.0, 71.0, 76.0, 21.0, 25.0]","[{'type': 'salary', 'value': 2750000.0}, {'type': 'salary', 'value': 4000000.0}, {'type': 'team option', 'value': 4000000.0}]"
4,4,Mark Canha\canhama01,32,7,Traded,5.092,CAA Sports,1 yr/$6.92M (21),$6.92M,FA,,"[1.4, -0.6, -0.8, 1.7, 4.3, 1.7, 2.2]",False,,"[124.0, 16.0, 57.0, 122.0, 126.0, 59.0, 58.0]","[{'type': 'salary', 'value': 4800000.0}, {'type': 'salary', 'value': 6920000.0}]"
5,5,Matt Chapman\chapmma01,28,5,Amateur Draft,3.109,,1 yr/$6.49M (21),$6.49M,Arb,Arb,"[3.2, 7.6, 7.9, 1.2, 1.0]",False,,"[84.0, 145.0, 156.0, 37.0, 59.0]","[{'type': 'salary', 'value': 6490000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
6,6,Sean Manaea\manaese01,29,6,Traded,4.157,Scott Boras,1 yr/$5.95M (21),$5.95M,Arb,FA,"[3.0, 1.6, 2.4, 1.4, 0.2, 1.7]",True,1.0,"[25.0, 29.0, 27.0, 5.0, 11.0, 12.0]","[{'type': 'salary', 'value': 3750000.0}, {'type': 'salary', 'value': 5950000.0}]"
7,7,Matt Olson\olsonma02,27,6,Amateur Draft,3.103,Jet Sports,1 yr/$5M (21),$5M,Arb,Arb,"[-0.2, 2.9, 3.7, 5.0, 1.2, 1.9]",False,,"[11.0, 59.0, 162.0, 127.0, 60.0, 54.0]","[{'type': 'salary', 'value': 5000000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
8,8,Chris Bassitt\bassich01,32,7,Traded,4.13,Pro Star Manageme...,1 yr/$4.9M (21),$4.9M,Arb,FA,"[0.6, 1.2, -0.2, 0.5, 1.5999999999999999, 2.0, 1.7]",True,1.0,"[6.0, 18.0, 5.0, 11.0, 28.0, 11.0, 12.0]","[{'type': 'salary', 'value': 2250000.0}, {'type': 'salary', 'value': 4900000.0}]"
9,9,Yusmeiro Petit\petityu01,36,14,Free Agency,10.016,Godoy Sports,1 yr/$2.55M (21),$2.55M,FA,,"[-0.8, 0.3, 0.6000000000000001, -0.7, 0.0, 0.5, 0.49999999999999994, 0.4, 0.1, 1.6, 1.5, 2.2, 0.8, 0.9]",True,0.0,"[15.0, 14.0, 19.0, 23.0, 1.0, 8.0, 39.0, 42.0, 36.0, 60.0, 74.0, 80.0, 26.0, 28.0]","[{'type': 'salary', 'value': 5500000.0}, {'type': 'salary', 'value': 2550000.0}]"
10,10,Chad Pinder\pindech01,29,6,Amateur Draft,4.047,Icon Sports,1 yr/$2.28M (21),$2.27M,Arb,FA,"[-0.4, 0.9, 2.1, 1.6, 0.1, 0.4]",False,,"[22.0, 87.0, 110.0, 124.0, 24.0, 21.0]","[{'type': 'salary', 'value': 2025000.0}, {'type': 'salary', 'value': 2275000.0}]"
11,11,Sergio Romo\romose01,38,14,Free Agency,12.097,Meister Sports Mg...,1 yr/$2.25M (21),$2.25M,FA,,"[0.6, 0.5, 1.7, 1.7, 1.9, 0.8, 0.2, 0.9, 0.7, 0.5, 0.2, 0.6, 0.0, -0.3]",True,0.0,"[29.0, 45.0, 68.0, 65.0, 69.0, 65.0, 64.0, 70.0, 40.0, 55.0, 73.0, 65.0, 24.0, 22.0]","[{'type': 'salary', 'value': 4750000.0}, {'type': 'salary', 'value': 2250000.0}]"
12,12,Mitch Moreland\morelmi01,35,12,Free Agency,10.067,RMG Baseball,1 yr/$2.25M (21),$2.25M,FA,,"[0.9, 0.0, 0.5, 0.7, -0.4, 2.3, 1.0, 1.9, 1.5, 1.4, 1.3, 0.2]",False,,"[47.0, 134.0, 114.0, 147.0, 52.0, 132.0, 147.0, 149.0, 124.0, 91.0, 42.0, 38.0]","[{'type': 'salary', 'value': 2500000.0}, {'type': 'salary', 'value': 2250000.0}]"
13,13,Frankie Montas\montafr02,28,6,Traded,3.015,Republik Sports,1 yr/$1.8M (21),$1.8M,Arb,Arb,"[0.0, -0.5, 0.1, 2.3, -0.5, 0.3]",True,1.0,"[7.0, 23.0, 13.0, 16.0, 11.0, 12.0]","[{'type': 'salary', 'value': 1800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
14,14,Cam Bedrosian\bedroca01,29,8,Free Agency,5.153,,1 yr/$1.5M (21),$1.5M,FA,,"[-0.7, -0.4, 1.4, -0.3, 0.3, 0.7, 0.4, 0.0]",True,0.0,"[17.0, 34.0, 45.0, 48.0, 71.0, 59.0, 11.0, 9.0]","[{'type': 'salary', 'value': 2800000.0}, {'type': 'salary', 'value': 100000.0}]"
