,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,career,pitcher,start_ratio,games,contracts
20,20,Dwight Smith Jr.\smithdw02,28,4,,2.013,,1 yr/$100k (21),$100k,Arb,Arb,Arb,FA,"[0.1, 0.1, -0.4, -0.5]",False,,"[12.0, 35.0, 101.0, 21.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
21,21,Shane Carle\carlesh01,29,3,,1.0490000000000002,Sosnick Cobbe & K...,1 yr/$100k (21),$100k,Pre-Arb,Arb,Arb,Arb,"[0.0, 0.9, -0.3]",True,0.0,"[3.0, 53.0, 6.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
22,22,Braden Shipley\shiplbr01,29,3,,0.128,Roc Nation Sports,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb,Arb,Arb,"[0.19999999999999998, -0.30000000000000004, 0.0]",True,0.5384615384615384,"[13.0, 10.0, 3.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
23,23,Jose De Leon\deleojo03,28,5,Traded,2.06,Boras Corporation,,,,Arb,Arb,FA,"[-0.6, -0.2, 0.0, -0.5, -0.5]",True,0.2222222222222222,"[4.0, 1.0, 3.0, 5.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
24,24,Brandon Finnegan\finnebr01,28,5,Traded,2.15,,,,,Arb,Arb,FA,"[0.2, 0.5000000000000001, 2.0, 0.1, -0.7]",True,0.6567164179104478,"[7.0, 20.0, 31.0, 4.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
25,25,Mike Freeman\freemmi01,33,6,Purchased,2.111,,,,,Arb,Arb,FA,"[-0.1, -0.7, -0.1, 1.2, -0.1, -0.1]",False,,"[21.0, 35.0, 1.0, 75.0, 24.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
26,26,Jeff Hoffman\hoffmje02,28,6,Traded,2.105,,,,,Arb,Arb,FA,"[-0.7999999999999999, 0.2, -0.3, 0.1, -0.9, 0.3]",True,1.0,"[8.0, 23.0, 6.0, 15.0, 16.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
27,27,Carson Fulmer\fulmeca01,27,6,Waivers,2.041,,,,,Arb,Arb,FA,"[-0.3, 0.5, -0.9, -0.4, 0.3, -0.2]",True,0.0,"[8.0, 7.0, 9.0, 20.0, 10.0, 20.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
28,28,Cionel Pérez\perezci01,25,4,Traded,1.01,,,,,Arb,Arb,Arb,"[0.1, -0.5, 0.1, -0.8]",True,0.0,"[8.0, 5.0, 7.0, 18.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
29,29,Lucas Sims\simslu01,27,5,Traded,2.014,Jamie Murphy,,,,Arb,Arb,FA,"[0.0, -0.4, 0.5, 0.6, 0.2]",True,0.0,"[14.0, 9.0, 24.0, 20.0, 21.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
