,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,games,contracts,years,pitcher,start_ratio
31,Yairo Munoz\munozya01,26,3,Free Agency,2.06,,,,,Arb,Arb,FA,,"[0.3, -0.6, 0.6]","[108.0, 88.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",False,
32,Daniel Gossett\gosseda01,28,2,,2.059,Ballengee,,,,Arb,Arb,FA,,"[-0.6, -0.1]","[18.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018]",True,1.0
33,Colten Brewer\breweco01,28,4,Traded,2.044,,,,,Arb,Arb,FA,,"[-0.4, 0.9, 0.1, -0.2]","[11.0, 58.0, 11.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
34,Christian Arroyo\arroych01,26,5,Waivers,2.036,O'Connell Sports,,,,Arb,Arb,FA,,"[-0.4, 0.1, 0.1, 0.2, 0.6]","[34.0, 20.0, 16.0, 15.0, 31.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
35,Marcus Walden\waldema01,32,3,Free Agency,2.0,Full Circle Sport...,,,,Arb,Arb,FA,,"[0.1, 1.3, -0.9]","[8.0, 70.0, 15.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.0
36,Jonathan Arauz\arauzjo01,22,2,Rule 5 Draft,1.0,,,,,Arb,Arb,Arb,FA,"[-0.2, -0.1]","[25.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
37,Josh Taylor\taylojo02,28,3,Traded,1.121,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,"[1.4, -0.3, 0.2]","[52.0, 8.0, 24.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
38,Darwinzon Hernandez\hernada02,24,3,Amateur Free Agent,1.08,,,,,Arb,Arb,Arb,FA,"[0.2, 0.3, 0.3]","[29.0, 7.0, 22.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
39,Phillips Valdez\valdeph01,29,3,Waivers,1.04,,,,,Arb,Arb,Arb,FA,"[0.4, 0.5, 0.2]","[11.0, 24.0, 18.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
40,John Schreiber\schrejo01,27,2,,1.017,,,,,Arb,Arb,Arb,FA,"[0.0, -0.2]","[13.0, 15.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.0
41,Matt Hall\hallma02,27,3,Traded,0.128,,,,,,Arb,Arb,Arb,"[-0.6, -0.4, -0.9]","[5.0, 16.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.04
42,Kyle Hart\hartky01,28,1st,Amateur Draft,0.128,Nello Gamberdino,,,,,Arb,Arb,Arb,[-0.9],[4.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.75
43,Bobby Poyner\poynebo01,28,2,Amateur Draft,0.109,,,,,,Arb,Arb,Arb,"[0.6, -0.1]","[20.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.030303030303030304
44,Zac Grotz\grotzza01,28,2,,0.103,,,,,,Arb,Arb,Arb,"[0.2, -0.6]","[14.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.0
45,Bobby Dalbec\dalbebo01,26,2,Amateur Draft,0.081,,,,,,Arb,Arb,Arb,"[0.6, -1.3]","[23.0, 48.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
46,Tanner Houck\houckta01,25,2,Amateur Draft,0.036,,,,,,Arb,Arb,Arb,"[1.3, 0.0]","[3.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.6666666666666666
47,Stephen Gonsalves\gonsast01,26,1st,,0.042,,,,,,Arb,Arb,Arb,[-0.7],[7.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2018],True,0.5714285714285714
