Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
31,2005,ATL,NL,90,72,.556,162,6186,-11,7,-3,58,61,112,10.3,180,292,27.8,.505,.505,22.1,6.0,235,$86457302
32,2007,COL,NL,90,73,.552,163,6498,-16,7,-2,14,63,65,5.2,190,255,23.3,.503,.503,22.2,1.4,241,$53541000
33,2008,NYM,NL,89,73,.549,162,6388,7,11,3,16,58,95,7.4,184,279,25.0,.504,.504,24.1,1.0,263,$129984376
34,2008,NYY,AL,89,73,.549,162,6257,9,7,0,-39,-6,-29,-1.3,230,201,20.8,.498,.498,24.1,-3.2,240,$211496041
35,2007,PHI,NL,89,73,.549,162,6537,49,12,-2,40,64,163,14.8,188,351,32.7,.507,.507,29.1,3.8,310,$88668213
36,2006,LAA,AL,89,73,.549,162,6221,-50,11,2,0,-7,-44,-3.6,230,186,18.4,.498,.498,18.4,-0.2,186,$103472000
37,2005,HOU,NL,89,73,.549,163,6139,-80,-9,4,48,53,16,0.4,180,197,18.0,.501,.501,13.2,4.5,148,$76779000
38,2008,CHW,AL,89,74,.546,163,6231,5,-5,-10,-32,-4,-45,-2.9,230,184,19.2,.497,.497,21.8,-2.4,216,$120796832
39,2007,SDP,NL,89,74,.546,163,6326,-25,-1,-3,-5,59,25,1.3,185,210,18.9,.501,.501,19.8,-0.6,215,$57726567
40,2009,SFG,NL,88,74,.543,162,6057,-150,7,0,9,57,-77,-9.1,178,101,8.3,.496,.496,7.3,1.1,92,$79483950
41,2007,DET,AL,88,74,.543,162,6364,57,3,0,36,-4,93,9.5,235,327,31.8,.505,.505,28.3,3.5,291,$93085369
42,2007,NYM,NL,88,74,.543,162,6344,6,10,9,32,59,115,10.1,183,299,27.5,.505,.505,24.7,3.0,267,$114947663
43,2007,SEA,AL,88,74,.543,162,6209,39,-7,1,-52,-7,-25,-2.0,230,205,19.9,.499,.499,25.1,-5.3,257,$105080833
44,2006,LAD,NL,88,74,.543,162,6394,-5,-3,2,-27,64,31,1.9,187,219,19.8,.501,.501,22.6,-2.6,245,$98092187
45,2006,SDP,NL,88,74,.543,162,6287,2,7,1,44,62,117,10.1,184,301,27.8,.505,.505,23.7,4.5,257,$69896141
46,2005,OAK,AL,88,74,.543,162,6275,-19,8,2,39,-6,23,2.3,230,253,24.4,.501,.501,20.7,3.7,214,$54025762
