Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
26,2004,LAD,NL,93,69,.574,162,6244,1,-3,3,55,59,116,10.2,182,298,28.0,.505,.505,22.9,5.1,243,$81684334
27,2003,SEA,AL,93,69,.574,162,6281,35,1,1,35,-6,66,7.0,233,299,28.9,.504,.504,25.5,3.4,264,$86659167
28,2002,BOS,AL,93,69,.574,162,6332,49,7,-2,62,-5,111,11.1,234,345,33.1,.506,.506,27.2,6.0,283,$107311060
29,2002,SEA,AL,93,69,.574,162,6362,62,0,7,5,-8,67,6.8,235,302,28.9,.504,.504,28.7,0.1,296,$80282668
30,2001,HOU,NL,93,69,.574,162,6325,-2,-3,-3,-3,61,50,3.2,182,233,20.9,.502,.502,22.0,-1.0,236,$58312667
31,2001,STL,NL,93,69,.574,162,6177,-5,8,-3,61,60,120,10.2,180,300,27.6,.505,.505,22.4,5.3,239,$74013333
32,2004,ANA,AL,92,70,.568,162,6296,21,3,4,-11,-3,13,2.4,234,248,24.2,.501,.501,24.4,0.2,258,$100233167
33,2004,HOU,NL,92,70,.568,162,6269,-3,5,-6,31,59,87,7.2,183,270,25.1,.504,.504,22.4,2.8,239,$75397000
34,2004,MIN,AL,92,70,.568,162,6286,-54,4,2,-1,-4,-53,-3.9,234,181,18.0,.497,.497,17.1,1.1,182,$48140000
35,2002,LAD,NL,92,70,.568,162,6146,-11,-3,-1,44,57,86,7.7,180,266,25.4,.504,.504,21.1,4.4,222,$85228453
36,2001,ARI,NL,92,70,.568,162,6349,-65,-1,8,49,61,52,3.4,186,238,21.4,.502,.502,17.3,4.4,189,$76855499
37,2000,OAK,AL,91,70,.565,161,6432,92,-5,-4,-46,-9,29,3.3,238,268,25.3,.501,.501,29.6,-4.5,313,$33172333
38,2004,OAK,AL,91,71,.562,162,6459,23,-5,-7,-19,-5,-13,0.1,238,226,22.4,.499,.499,23.3,-0.8,245,$59102167
39,2004,SFG,NL,91,71,.562,162,6466,30,-13,-3,-47,63,30,1.1,189,219,19.5,.501,.501,24.8,-5.1,266,$72569166
40,2003,FLA,NL,91,71,.562,162,6186,-24,1,-1,-16,62,22,0.8,178,200,18.1,.501,.501,20.0,-1.5,216,$49150000
41,2001,CLE,AL,91,71,.562,162,6357,84,-1,3,-49,-6,31,3.4,236,267,25.9,.502,.502,30.4,-4.6,316,$92527001
42,2000,SEA,AL,91,71,.562,162,6444,88,0,0,29,-6,111,10.7,239,350,32.9,.506,.506,30.3,2.6,321,$60295000
43,2003,MIN,AL,90,72,.556,162,6324,19,3,7,-4,-6,19,2.5,235,254,24.7,.501,.501,25.0,-0.5,258,$55505000
44,2001,SFG,NL,90,72,.556,162,6408,92,-18,1,6,63,144,12.0,186,330,30.0,.506,.506,30.3,-0.1,324,$61105167
45,2000,CLE,AL,90,72,.556,162,6512,103,3,0,-14,-6,87,8.6,238,325,30.7,.505,.505,32.1,-1.4,339,$76767271
46,2004,CHC,NL,89,73,.549,162,6281,-6,-9,-2,-16,66,34,2.0,183,217,19.8,.501,.501,21.8,-1.8,233,$90560000
47,2004,TEX,AL,89,73,.549,162,6256,-50,8,5,-32,-6,-75,-6.1,230,155,15.4,.496,.496,17.6,-2.2,187,$43183750
48,2003,CHC,NL,88,74,.543,162,6187,-64,-8,-5,-25,61,-41,-5.6,181,140,12.0,.498,.498,14.9,-2.5,165,$79258333
49,2001,ATL,NL,88,74,.543,162,6152,-109,1,-2,61,60,11,-0.6,180,191,16.9,.500,.500,11.5,5.6,130,$91291666
50,2001,CHC,NL,88,74,.543,162,6219,17,3,-6,-12,59,61,4.1,180,241,21.6,.503,.503,23.6,-2.1,253,$64715833
51,2000,NYY,AL,87,74,.540,161,6311,26,-7,0,-22,-4,-6,-0.1,233,227,21.5,.500,.500,23.5,-1.9,248,$92713260
52,2004,SDP,NL,87,75,.537,162,6313,45,1,5,-9,58,99,8.5,183,282,26.4,.504,.504,27.8,-1.4,291,$55384833
53,2003,HOU,NL,87,75,.537,162,6320,-24,2,2,64,57,100,8.7,183,283,26.6,.504,.504,20.3,6.7,220,$70730000
54,2004,PHI,NL,86,76,.531,162,6456,-9,5,4,16,60,77,6.3,187,264,24.5,.503,.503,23.3,1.5,248,$92619167
55,2003,CHW,AL,86,76,.531,162,6148,8,-6,-7,21,-6,9,1.4,229,239,23.0,.501,.501,21.0,2.0,218,$51010000
56,2003,PHI,NL,86,76,.531,162,6333,32,-1,0,20,61,114,10.0,182,296,27.8,.505,.505,26.0,2.2,276,$70460000
57,2003,TOR,AL,86,76,.531,162,6364,59,0,0,-39,-5,14,1.9,235,249,24.1,.501,.501,27.9,-3.9,287,$50959000
58,2001,LAD,NL,86,76,.531,162,6169,-6,-6,1,-33,63,19,0.0,180,198,17.4,.501,.501,21.5,-3.8,231,$101272620
59,2001,PHI,NL,86,76,.531,162,6219,-50,9,1,42,61,62,4.6,180,242,22.0,.503,.503,18.6,3.8,201,$41663833
60,2000,LAD,NL,86,76,.531,162,6312,1,-1,-4,6,63,65,4.2,184,250,21.9,.503,.503,22.1,0.0,244,$87924286
61,2003,LAD,NL,85,77,.525,162,6036,-159,-7,3,60,55,-49,-6.4,177,128,10.9,.498,.498,5.0,5.9,68,$105572620
62,2003,STL,NL,85,77,.525,162,6466,85,2,-1,-9,55,132,11.5,188,320,29.8,.506,.506,31.0,-1.7,329,$82881666
63,2001,MIN,AL,85,77,.525,162,6185,-2,8,5,30,-7,34,4.0,230,265,25.9,.502,.502,22.8,3.1,235,$23895000
64,2000,ARI,NL,85,77,.525,162,6241,-119,2,1,17,66,-32,-5.1,182,149,12.3,.499,.499,11.5,1.1,132,$80812833
65,2000,BOS,AL,85,77,.525,162,6371,-98,-15,4,38,-6,-77,-6.6,237,160,15.4,.496,.496,11.9,3.6,123,$71312833
66,2000,CIN,NL,85,77,.525,163,6373,-56,6,-2,48,61,56,3.4,187,244,21.4,.502,.502,17.5,3.7,196,$46567200
67,2003,ARI,NL,84,78,.519,162,6261,-122,-4,3,-27,57,-93,-11.0,184,91,6.9,.496,.496,9.9,-2.8,118,$80657000
68,2002,HOU,NL,84,78,.519,162,6252,-56,-3,-5,-44,58,-51,-6.6,181,130,11.2,.498,.498,16.1,-4.9,174,$62698417
69,2004,CHW,AL,83,79,.512,162,6197,17,6,-6,16,-6,27,3.8,232,259,25.4,.502,.502,23.0,2.6,243,$65212500
70,2004,FLA,NL,83,79,.512,162,6160,-35,-7,-4,12,60,26,1.1,179,205,18.6,.501,.501,17.9,1.0,193,$41838042
71,2003,KCR,AL,83,79,.512,162,6239,-30,9,0,-50,-5,-76,-7.0,233,157,15.0,.496,.496,19.9,-4.8,207,$40518000
72,2003,MON,NL,83,79,.512,162,6116,-125,-1,-2,-6,57,-78,-9.5,179,102,8.0,.496,.496,8.8,-0.9,107,$47848500
73,2002,MON,NL,83,79,.512,162,6250,-46,0,-1,-13,62,2,-1.2,180,182,16.5,.500,.500,18.2,-1.5,195,$38245500
74,2001,CHW,AL,83,79,.512,162,6151,5,-10,-8,7,-5,-12,-0.6,228,217,21.2,.499,.499,20.3,0.9,210,$63703667
75,2000,TOR,AL,83,79,.512,162,6326,1,-4,0,1,-2,-4,0.2,234,229,21.9,.500,.500,21.8,0.3,229,$46038332
76,2001,BOS,AL,82,79,.509,161,6264,3,-19,-3,-50,-4,-73,-6.6,231,158,15.5,.496,.496,20.2,-4.6,208,$109833333
77,2001,NYM,NL,82,80,.506,162,6156,-91,-15,0,-1,59,-48,-6.6,180,132,10.9,.498,.498,11.8,-0.9,133,$92444428
78,2000,ANA,AL,82,80,.506,162,6373,16,-5,1,71,-6,76,7.7,235,311,29.5,.504,.504,22.9,6.5,240,$52264167
79,2000,COL,NL,82,80,.506,162,6453,-97,16,2,55,67,42,1.9,189,231,20.0,.502,.502,15.6,4.5,176,$60811190
80,2002,CHW,AL,81,81,.500,162,6208,55,-3,-3,13,-4,58,5.9,231,289,27.8,.503,.503,26.8,1.1,277,$57052833
81,2002,PHI,NL,80,81,.497,161,6323,35,0,2,24,56,117,10.8,183,301,28.9,.505,.505,26.7,2.5,276,$55004999
82,2004,CLE,AL,80,82,.494,162,6452,107,-3,-4,-11,-5,84,9.3,239,323,31.6,.505,.505,31.7,0.0,334,$33700800
83,2001,TOR,AL,80,82,.494,162,6284,-44,1,4,-4,-4,-46,-3.9,231,185,18.1,.497,.497,18.3,0.0,189,$73695999
84,2000,FLA,NL,79,82,.491,161,6203,-68,3,6,-11,58,-12,-3.1,182,170,14.3,.499,.499,16.1,-1.7,181,$19194000
85,2002,FLA,NL,79,83,.488,162,6263,-34,4,4,-13,53,14,0.2,183,197,18.2,.501,.501,19.8,-1.5,210,$41777917
86,2001,SDP,NL,79,83,.488,162,6278,6,10,-3,-46,59,25,0.7,184,210,18.6,.501,.501,23.9,-5.3,255,$39182833
87,2000,DET,AL,79,83,.488,162,6343,19,7,-5,4,-7,18,2.5,237,255,24.5,.501,.501,24.1,0.4,250,$59205167
88,2004,BAL,AL,78,84,.481,162,6431,40,4,4,-29,-5,14,2.3,237,250,24.4,.501,.501,26.3,-1.7,279,$43623333
89,2002,CIN,NL,78,84,.481,162,6254,-86,-4,0,1,52,-38,-5.2,184,147,13.0,.498,.498,13.2,-0.2,146,$44269890
90,2002,TOR,AL,78,84,.481,162,6230,-31,12,1,-7,-3,-28,-2.5,230,202,19.2,.498,.498,20.2,-0.7,210,$73064333
91,2003,ANA,AL,77,85,.475,162,6119,-39,3,2,22,-9,-21,-1.6,229,208,20.0,.499,.499,17.9,1.9,186,$78729167
92,2000,KCR,AL,77,85,.475,162,6394,-48,12,4,44,-2,11,1.7,236,247,23.6,.501,.501,19.4,4.4,202,$24700500
93,2004,CIN,NL,76,86,.469,162,6278,-35,-2,-6,7,57,20,0.6,185,205,18.7,.501,.501,18.4,0.5,198,$46315250
94,2001,FLA,NL,76,86,.469,162,6184,-39,0,-5,13,59,29,1.2,180,209,18.7,.501,.501,18.2,0.8,196,$28360500
95,2000,SDP,NL,76,86,.469,162,6291,-78,3,5,-6,58,-19,-3.8,185,166,14.0,.499,.499,15.4,-1.3,172,$47879333
96,2002,NYM,NL,75,86,.466,161,6150,-53,4,-3,-23,52,-23,-3.7,181,158,14.2,.499,.499,16.8,-2.7,180,$91550260
97,2003,PIT,NL,75,87,.463,162,6315,-36,-9,6,-8,57,11,-0.4,182,194,17.3,.500,.500,18.4,-1.0,202,$50709929
98,2001,ANA,AL,75,87,.463,162,6226,-65,9,4,39,-7,-20,-1.6,229,209,20.3,.499,.499,16.3,3.9,170,$33778500
99,2003,COL,NL,74,88,.457,162,6283,-42,10,-2,10,58,34,1.8,184,217,19.7,.501,.501,18.9,0.9,207,$67179667
100,2002,CLE,AL,74,88,.457,162,6099,-19,-5,0,-49,-6,-78,-7.8,227,149,13.7,.495,.495,18.7,-5.1,198,$76903949
101,2000,BAL,AL,74,88,.457,162,6238,0,-3,-9,-21,-6,-38,-2.9,232,194,18.7,.498,.498,20.6,-2.0,215,$82147435
102,2002,COL,NL,73,89,.451,162,6165,-103,8,-3,34,52,-12,-2.7,182,170,15.1,.499,.499,11.8,3.3,136,$55201043
103,2001,COL,NL,73,89,.451,162,6394,-20,16,3,61,61,120,10.0,186,306,28.0,.505,.505,22.7,5.5,245,$70916334
104,2001,TEX,AL,73,89,.451,162,6388,79,11,-3,-47,-4,35,3.8,236,271,26.3,.502,.502,30.7,-4.2,318,$87213500
105,2000,MIL,NL,73,89,.451,163,6355,-122,1,-3,29,62,-33,-5.1,187,155,12.9,.499,.499,11.0,2.4,125,$35633333
106,2004,PIT,NL,72,89,.447,161,6115,-107,-7,7,-22,56,-74,-8.9,179,105,8.5,.497,.497,11.2,-2.8,127,$32227929
107,2002,PIT,NL,72,89,.447,161,6049,-138,-9,7,11,52,-77,-9.3,178,102,8.3,.497,.497,7.3,0.8,91,$38321099
108,2004,DET,AL,72,90,.444,162,6285,62,-2,3,-21,-4,37,4.7,234,271,26.6,.502,.502,27.7,-1.0,292,$46203000
109,2002,TEX,AL,72,90,.444,162,6332,30,10,-7,-22,-8,3,0.4,236,238,22.6,.500,.500,25.1,-2.6,260,$103359455
110,2000,HOU,NL,72,90,.444,162,6444,18,-6,-10,-53,65,14,-0.7,187,201,17.3,.501,.501,23.1,-5.8,254,$51289111
111,2004,NYM,NL,71,91,.438,162,6209,-100,2,-4,-37,52,-87,-10.2,183,96,7.6,.496,.496,11.8,-4.3,133,$78844303
112,2003,BAL,AL,71,91,.438,163,6241,-55,3,1,-1,-5,-58,-5.2,231,173,16.7,.497,.497,16.8,-0.1,174,$53547500
113,2003,TEX,AL,71,91,.438,162,6293,-34,3,3,56,-8,21,2.4,234,255,24.5,.501,.501,19.1,5.3,199,$93125000
114,2000,TEX,AL,71,91,.438,162,6364,5,-9,-3,-62,-5,-75,-6.2,237,163,15.8,.496,.496,21.6,-5.7,225,$67770921
115,2004,TBD,AL,70,91,.435,161,6098,-79,13,10,-2,-6,-64,-5.1,227,163,16.2,.496,.496,15.4,0.8,165,$29554167
116,2000,TBD,AL,69,92,.429,161,6206,-123,-7,2,10,-3,-122,-10.5,230,108,10.9,.493,.493,9.9,1.2,98,$53840129
117,2003,CIN,NL,69,93,.426,162,6211,-81,10,-2,5,54,-15,-3.1,183,168,14.7,.499,.499,14.4,0.5,163,$58965667
118,2000,MIN,AL,69,93,.426,162,6283,-127,3,2,-46,-7,-176,-15.5,234,58,6.2,.491,.491,10.5,-4.4,105,$17529500
119,2000,PIT,NL,69,93,.426,162,6369,-66,-8,0,-59,65,-67,-8.6,186,119,9.3,.497,.497,15.8,-6.1,178,$29328334
120,2004,COL,NL,68,94,.420,162,6333,-43,5,-2,-25,58,-8,-2.4,185,177,15.7,.500,.500,18.7,-3.0,202,$56445167
121,2003,CLE,AL,68,94,.420,162,6188,-52,-8,-1,27,-4,-38,-3.2,230,192,18.5,.498,.498,16.0,2.8,165,$39984834
122,2003,MIL,NL,68,94,.420,162,6270,-32,-13,-11,-75,62,-69,-8.6,182,112,9.1,.497,.497,16.9,-7.6,187,$40322000
123,2001,MIL,NL,68,94,.420,162,6148,-64,-8,1,-7,59,-19,-3.5,181,162,14.0,.499,.499,15.5,-1.2,169,$43670833
124,2001,MON,NL,68,94,.420,162,6026,-145,-6,-7,-46,54,-151,-16.8,178,27,0.4,.493,.493,5.7,-5.3,73,$34934500
125,2004,MIL,NL,67,94,.416,161,6195,-139,2,-3,-19,62,-97,-11.3,180,83,6.3,.496,.496,8.7,-2.1,101,$27528500
126,2004,TOR,AL,67,94,.416,161,6178,-97,-4,-1,46,-6,-63,-4.9,230,168,16.6,.496,.496,11.2,5.4,122,$50017000
127,2004,MON,NL,67,95,.414,162,6138,-186,0,1,44,58,-83,-9.8,180,98,7.7,.496,.496,3.7,3.9,53,$40587500
128,2002,BAL,AL,67,95,.414,162,6096,-70,1,-1,43,-5,-33,-3.0,227,195,18.5,.498,.498,14.5,4.1,152,$47704697
129,2002,CHC,NL,67,95,.414,162,6242,-49,5,-1,-55,59,-41,-5.6,182,141,12.3,.498,.498,18.4,-6.0,197,$75487333
130,2000,MON,NL,67,95,.414,162,6153,-129,-6,5,-37,60,-107,-12.2,181,75,5.2,.496,.496,9.4,-4.2,111,$29794333
131,2003,NYM,NL,66,95,.410,161,6007,-136,1,-4,-42,49,-132,-14.9,177,46,2.4,.494,.494,6.9,-4.7,87,$116876429
132,2002,SDP,NL,66,96,.407,162,6178,-37,-8,2,-71,53,-62,-7.8,182,120,10.1,.497,.497,17.9,-7.9,191,$41190000
133,2001,CIN,NL,66,96,.407,162,6222,-99,1,-4,-39,53,-89,-10.6,184,95,7.2,.496,.496,12.0,-4.6,134,$48776000
134,2001,DET,AL,66,96,.407,162,6145,-3,-6,0,-35,-7,-50,-4.4,229,178,17.5,.497,.497,20.8,-3.3,214,$52831167
135,2001,KCR,AL,65,97,.401,162,6176,-114,6,5,50,-4,-58,-5.1,230,172,16.8,.497,.497,11.6,5.2,122,$31970000
136,2000,CHC,NL,65,97,.401,162,6397,-89,1,3,6,65,-15,-3.6,186,171,14.4,.499,.499,14.6,0.1,166,$60069333
137,2000,PHI,NL,65,97,.401,162,6273,-146,6,2,13,59,-66,-8.3,184,119,9.4,.497,.497,9.0,0.7,105,$44308000
138,2003,SDP,NL,64,98,.395,162,6246,-24,-1,-2,0,52,27,1.2,184,211,19.1,.501,.501,19.4,-0.3,211,$45210000
139,2001,BAL,AL,63,98,.391,162,6151,-87,3,0,-13,-5,-101,-9.3,229,128,12.6,.494,.494,13.7,-1.0,141,$55345500
140,2004,SEA,AL,63,99,.389,162,6362,-69,-3,8,20,-7,-52,-3.9,234,182,17.9,.497,.497,15.0,2.8,162,$81215834
141,2003,TBD,AL,63,99,.389,162,6212,-51,7,9,24,-8,-19,-1.3,232,213,20.6,.499,.499,18.2,2.3,188,$19630000
142,2002,KCR,AL,62,100,.383,162,6206,-133,6,3,-21,-5,-148,-14.7,231,82,7.1,.491,.491,9.4,-2.2,103,$47257000
143,2001,PIT,NL,62,100,.383,162,6027,-157,-14,3,-3,55,-115,-13.4,177,62,3.8,.495,.495,4.7,-1.0,65,$49535833
144,2001,TBD,AL,62,100,.383,162,6104,-80,-2,-3,-28,-4,-116,-10.8,228,112,11.0,.493,.493,13.5,-2.4,140,$41980000
145,2004,KCR,AL,58,104,.358,162,6153,-110,-5,1,-15,-5,-134,-11.9,230,96,9.6,.492,.492,10.1,-0.5,111,$46667500
146,2002,MIL,NL,56,106,.346,162,6083,-97,-17,-2,-14,53,-78,-9.4,179,101,8.2,.496,.496,10.0,-1.7,115,$46532833
147,2002,DET,AL,55,106,.342,161,5920,-109,-6,-4,-41,-4,-164,-16.0,221,58,4.8,.490,.490,9.1,-4.2,98,$54830500
148,2002,TBD,AL,55,106,.342,161,6198,-87,6,4,-8,-2,-87,-8.4,230,143,13.3,.494,.494,14.3,-0.7,151,$33878000
149,2004,ARI,NL,51,111,.315,162,6114,-208,-2,-5,-6,56,-164,-18.1,180,16,-0.5,.493,.493,0.6,-0.9,22,$69450750
150,2003,DET,AL,43,119,.265,162,6071,-130,-7,1,-30,-5,-171,-16.3,227,56,5.1,.490,.490,8.1,-2.8,86,$49168000
