Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
26,2013,DET,AL,93,69,.574,162,6388,94,-19,-1,-45,-4,25,4.3,223,248,25.5,.501,.501,29.3,-3.6,292,$153232000
27,2012,BAL,AL,93,69,.574,162,6160,-33,-2,-8,-12,-4,-59,-6.7,227,168,15.4,.496,.496,18.0,-2.4,180,$77149000
28,2012,TEX,AL,93,69,.574,162,6216,37,-10,-1,-2,-5,20,1.5,228,248,23.8,.501,.501,25.4,-1.5,250,$123638900
29,2013,CLE,AL,92,70,.568,162,6165,60,7,3,-30,-6,34,5.4,218,252,26.2,.502,.502,28.3,-2.2,282,$86846933
30,2013,LAD,NL,92,70,.568,162,6145,25,-8,1,40,54,113,10.1,188,301,28.8,.505,.505,25.4,3.5,261,$252506000
31,2010,SFG,NL,92,70,.568,162,6143,-17,1,-10,30,55,59,4.9,180,239,22.3,.503,.503,19.4,2.9,209,$98186333
32,2013,TBR,AL,92,71,.564,163,6242,35,-5,-3,15,-10,32,5.3,221,253,26.4,.502,.502,23.8,2.4,238,$63173500
33,2011,TBR,AL,91,71,.562,162,6152,45,1,7,65,-4,114,12.1,227,341,33.8,.507,.507,27.7,6.3,276,$41053571
34,2010,ATL,NL,91,71,.562,162,6252,17,-1,-4,11,56,78,6.9,181,260,24.4,.504,.504,23.5,1.1,248,$84021166
35,2010,CIN,NL,91,71,.562,162,6285,53,-2,0,32,58,142,13.6,183,325,31.2,.506,.506,28.1,3.4,293,$71455542
36,2013,TEX,AL,91,72,.558,163,6196,10,14,-2,42,-6,59,8.1,219,278,28.9,.504,.504,23.3,5.6,235,$136636200
37,2014,DET,AL,90,72,.556,162,6202,88,-3,-6,-54,-4,20,4.5,220,240,25.8,.501,.501,30.6,-4.7,294,$164355500
38,2014,STL,NL,90,72,.556,162,6086,-45,-10,1,52,55,54,3.5,185,239,21.6,.503,.503,17.1,4.5,187,$129932500
39,2013,CIN,NL,90,72,.556,162,6293,-14,-2,-2,23,58,64,4.6,187,251,23.1,.503,.503,21.7,1.7,228,$101955535
40,2012,TBR,AL,90,72,.556,162,6105,-7,-1,-8,18,-3,-1,-0.7,228,226,21.5,.500,.500,20.9,0.7,208,$62888000
41,2011,BOS,AL,90,72,.556,162,6414,118,-6,-3,31,-5,133,14.1,233,367,36.3,.508,.508,33.8,2.7,335,$166662475
42,2011,STL,NL,90,72,.556,162,6242,77,-5,-11,-21,52,91,9.4,183,274,27.4,.504,.504,29.1,-1.7,295,$98746072
43,2010,SDP,NL,90,72,.556,162,6148,-51,-9,9,64,52,64,5.6,181,245,23.0,.503,.503,16.5,6.5,181,$37799300
44,2010,TEX,AL,90,72,.556,162,6302,-17,13,5,-8,-5,-13,-0.6,230,217,21.8,.499,.499,22.5,-0.6,225,$55668644
45,2014,KCR,AL,89,73,.549,162,6058,-66,7,1,40,-5,-23,-0.3,216,193,20.7,.499,.499,15.2,5.5,153,$84594075
46,2012,LAA,AL,89,73,.549,162,6121,108,21,-7,48,-5,166,16.8,226,392,38.8,.510,.510,35.1,3.7,344,$140112000
47,2011,ATL,NL,89,73,.549,162,6169,-77,-10,0,3,53,-31,-4.0,179,148,13.7,.499,.499,12.8,1.1,145,$87188132
48,2010,BOS,AL,89,73,.549,162,6356,60,5,-4,27,-5,83,9.6,233,317,32.3,.505,.505,29.3,3.1,289,$161347333
49,2014,OAK,AL,88,74,.543,162,6245,8,5,-2,25,-5,31,5.7,222,253,27.2,.502,.502,23.3,4.0,228,$87653400
50,2014,PIT,NL,88,74,.543,162,6224,42,-1,-1,17,54,111,9.6,190,301,28.2,.505,.505,27.8,0.4,284,$80228000
51,2014,SFG,NL,88,74,.543,162,6087,-7,1,1,-4,54,45,2.3,185,230,20.5,.502,.502,22.4,-1.9,234,$163510167
52,2012,DET,AL,88,74,.543,162,6119,12,-11,-8,-30,-7,-44,-5.4,227,183,16.7,.497,.497,21.3,-4.7,213,$118394000
53,2012,STL,NL,88,74,.543,162,6326,52,-1,-2,-2,58,105,11.3,184,289,29.3,.505,.505,28.2,1.2,291,$111221000
54,2010,CHW,AL,88,74,.543,162,6118,13,-3,-3,-62,-6,-61,-5.3,226,166,16.7,.496,.496,23.0,-6.3,228,$107195000
55,2014,SEA,AL,87,75,.537,162,5977,-36,3,-1,0,-8,-42,-2.7,213,171,18.0,.497,.497,17.0,0.8,171,$95471000
56,2013,KCR,AL,86,76,.531,162,6093,-89,14,-4,93,-5,10,2.9,216,226,23.5,.501,.501,12.5,11.1,133,$85676250
57,2013,WSN,NL,86,76,.531,162,6047,-52,3,2,-1,52,4,-2.0,184,189,16.2,.500,.500,17.5,-1.3,189,$112002250
58,2012,LAD,NL,86,76,.531,162,6091,-72,-6,-3,-7,53,-35,-3.6,178,144,13.8,.498,.498,13.3,0.4,151,$153324600
59,2011,LAA,AL,86,76,.531,162,6088,20,11,-3,26,-5,48,5.3,227,276,27.1,.503,.503,25.0,2.1,250,$135154166
60,2011,SFG,NL,86,76,.531,162,6091,-59,-4,1,7,50,-5,-1.1,179,174,16.5,.500,.500,15.0,1.3,167,$118198333
61,2010,STL,NL,86,76,.531,162,6241,0,3,-1,32,57,90,8.1,182,272,25.7,.504,.504,22.5,3.3,240,$93540751
62,2014,CLE,AL,85,77,.525,162,6222,-23,6,-3,-62,-5,-87,-7.5,220,133,13.8,.494,.494,19.5,-5.7,195,$72949399
63,2013,BAL,AL,85,77,.525,162,6144,2,-1,5,25,-4,28,4.7,217,245,25.3,.502,.502,21.5,3.9,219,$99587000
64,2013,NYY,AL,85,77,.525,162,6045,-84,7,1,10,-5,-72,-6.0,216,144,14.5,.495,.495,12.4,2.3,134,$244952650
65,2012,CHW,AL,85,77,.525,162,6111,-11,3,-2,8,-7,-9,-1.4,227,218,20.7,.499,.499,21.3,-0.7,210,$118208000
66,2010,TOR,AL,85,77,.525,162,6072,23,-9,-3,-1,-3,7,1.6,226,233,23.6,.500,.500,23.6,0.3,234,$60919100
67,2014,NYY,AL,84,78,.519,162,6082,-45,4,-1,1,-2,-43,-2.6,216,174,18.4,.497,.497,17.3,1.5,173,$233673207
68,2014,TOR,AL,83,79,.512,162,6167,59,3,2,-30,-4,30,5.3,217,247,26.4,.502,.502,28.6,-2.0,277,$128427700
69,2012,MIL,NL,83,79,.512,162,6225,6,0,-1,-6,53,52,5.7,182,235,23.5,.502,.502,22.7,0.8,241,$95717000
70,2010,COL,NL,83,79,.512,162,6265,-69,9,1,30,54,25,1.2,183,208,19.0,.501,.501,16.0,3.0,179,$84674000
71,2011,LAD,NL,82,79,.509,161,6094,-44,4,5,-2,52,15,0.8,179,194,18.5,.501,.501,18.2,0.6,196,$103785477
72,2014,MIL,NL,82,80,.506,162,6065,-35,-2,-8,-11,56,0,-2.7,184,184,15.4,.500,.500,18.1,-2.6,195,$108217000
73,2013,ARI,NL,81,81,.500,162,6334,-37,-11,-4,64,54,66,5.1,193,259,24.2,.503,.503,18.1,6.4,195,$78042000
74,2012,ARI,NL,81,81,.500,162,6150,-21,-13,0,9,62,37,4.1,179,216,21.6,.502,.502,19.4,2.5,207,$67069833
75,2012,PHI,NL,81,81,.500,162,6172,-70,3,4,11,56,5,0.6,178,183,18.0,.500,.500,15.6,2.3,172,$171501558
76,2011,TOR,AL,81,81,.500,162,6210,-30,7,1,-9,-4,-35,-3.7,229,194,18.3,.498,.498,19.8,-1.5,203,$62117800
77,2010,DET,AL,81,81,.500,162,6312,18,-1,2,22,-7,34,4.6,234,267,27.3,.502,.502,24.8,2.5,246,$119439928
78,2010,OAK,AL,81,81,.500,162,6117,-43,15,2,57,-8,23,3.4,228,251,25.6,.501,.501,19.5,6.1,194,$52932400
79,2011,WSN,NL,80,81,.497,161,6090,-77,4,3,6,47,-17,-2.5,179,161,15.2,.499,.499,13.9,1.1,156,$66192928
80,2011,CLE,AL,80,82,.494,162,6142,-7,-5,0,-20,-7,-39,-3.9,227,188,17.9,.498,.498,20.7,-2.8,209,$48776566
81,2010,FLA,NL,80,82,.494,162,6194,-64,8,0,-22,54,-23,-3.9,181,158,13.6,.499,.499,16.2,-2.3,180,$57454719
82,2010,LAA,AL,80,82,.494,162,6089,-41,-4,2,-16,-6,-65,-5.8,226,162,16.3,.496,.496,17.8,-1.6,178,$104163866
83,2010,LAD,NL,80,82,.494,162,6140,-50,-2,-4,-61,56,-61,-7.8,180,119,9.7,.497,.497,16.3,-6.5,180,$94953516
84,2014,ATL,NL,79,83,.488,162,6064,-86,1,-1,7,58,-21,-4.9,184,163,13.1,.499,.499,13.7,-0.2,156,$98699000
85,2014,NYM,NL,79,83,.488,162,6145,-41,0,1,20,54,34,1.3,186,220,19.5,.502,.502,18.6,0.8,200,$82056990
86,2012,PIT,NL,79,83,.488,162,6014,-47,-14,3,-13,53,-19,-2.0,177,158,15.2,.499,.499,15.4,-0.2,171,$70077000
87,2011,CHW,AL,79,83,.488,162,6159,-89,-6,-3,-7,-7,-112,-11.6,227,116,10.2,.493,.493,11.6,-1.5,123,$127789000
88,2011,CIN,NL,79,83,.488,162,6329,-8,-5,2,42,50,80,8.2,185,265,26.4,.504,.504,21.1,5.5,223,$76547134
89,2010,NYM,NL,79,83,.488,162,6144,-81,6,3,26,55,8,-0.4,180,188,16.9,.500,.500,14.4,2.7,162,$132753942
90,2013,LAA,AL,78,84,.481,162,6260,80,-1,-1,-58,-4,16,3.3,221,237,24.4,.501,.501,29.6,-5.0,295,$112792500
91,2014,MIA,NL,77,85,.475,162,6185,-50,4,-2,4,52,7,-1.9,187,194,16.4,.500,.500,17.4,-1.0,190,$41836900
92,2014,SDP,NL,77,85,.475,162,5905,-97,-2,-2,34,45,-22,-5.1,181,159,12.7,.499,.499,10.3,2.0,125,$65160700
93,2014,TBR,AL,77,85,.475,162,6205,-23,6,0,-14,-7,-38,-1.9,219,182,19.3,.498,.498,19.8,-0.7,195,$77314100
94,2011,NYM,NL,77,85,.475,162,6335,23,3,1,-62,49,15,0.9,185,200,19.1,.501,.501,25.3,-6.1,261,$100252602
95,2010,MIL,NL,77,85,.475,162,6304,36,-5,3,8,57,99,9.1,182,281,26.6,.505,.505,26.0,1.1,273,$80708278
96,2014,CIN,NL,76,86,.469,162,5978,-94,-4,7,54,53,16,-0.9,183,199,17.1,.501,.501,12.3,4.8,145,$101217500
97,2013,SDP,NL,76,86,.469,162,6122,-16,3,6,-4,45,34,1.5,187,221,19.9,.502,.502,21.6,-2.1,225,$63509200
98,2013,SFG,NL,76,86,.469,162,6168,-3,2,3,6,54,62,4.6,188,251,23.3,.503,.503,23.8,-0.3,245,$139845667
99,2012,SDP,NL,76,86,.469,162,6112,-8,4,6,-19,53,36,3.9,179,216,21.4,.502,.502,22.1,-1.0,235,$55494700
100,2010,HOU,NL,76,86,.469,162,6005,-134,1,-4,-28,52,-114,-13.3,177,63,3.8,.495,.495,6.9,-3.0,90,$92400500
101,2012,SEA,AL,75,87,.463,162,6057,-70,-5,3,21,-3,-55,-6.2,225,170,15.7,.497,.497,14.8,1.1,149,$77752000
102,2010,CHC,NL,75,87,.463,162,6140,-71,-3,0,-41,55,-60,-7.7,180,120,9.6,.497,.497,14.3,-4.5,161,$145784002
103,2013,COL,NL,74,88,.457,162,6152,-72,13,3,-5,51,-11,-3.6,190,180,15.2,.499,.499,16.8,-1.4,184,$73278000
104,2013,MIL,NL,74,88,.457,162,6064,-51,-7,5,37,49,34,1.4,186,219,19.8,.502,.502,16.7,3.1,182,$75472000
105,2013,NYM,NL,74,88,.457,162,6207,-65,10,5,-8,51,-7,-3.3,188,181,15.4,.500,.500,17.4,-2.0,189,$43925860
106,2013,TOR,AL,74,88,.457,162,6152,-4,5,3,3,-4,3,2.1,217,221,22.8,.500,.500,21.4,1.4,217,$123528100
107,2012,NYM,NL,74,88,.457,162,6091,-44,-8,2,-41,54,-36,-3.8,178,142,13.6,.498,.498,16.7,-3.1,183,$91621424
108,2011,OAK,AL,74,88,.457,162,6104,-81,0,-2,-23,-5,-111,-11.4,227,116,10.3,.493,.493,13.4,-2.9,139,$67094000
109,2014,CHC,NL,73,89,.451,162,6102,-82,-11,7,-32,51,-68,-10.4,186,119,7.9,.497,.497,12.9,-4.9,150,$57222500
110,2014,CHW,AL,73,89,.451,162,6077,21,-12,0,-49,-6,-47,-3.1,216,170,17.9,.497,.497,22.3,-4.5,219,$82375500
111,2014,PHI,NL,73,89,.451,162,6198,-100,8,5,-24,55,-56,-9.0,189,133,9.5,.497,.497,13.6,-4.0,156,$176444967
112,2013,PHI,NL,73,89,.451,162,6014,-66,8,-1,-91,48,-101,-13.6,185,84,4.7,.495,.495,16.1,-11.5,175,$150860000
113,2012,TOR,AL,73,89,.451,162,6094,-48,2,2,52,-6,3,-0.2,227,230,22.0,.500,.500,17.9,4.2,178,$74784200
114,2011,COL,NL,73,89,.451,162,6275,-87,-1,1,17,52,-18,-2.7,184,166,15.5,.499,.499,13.0,2.5,149,$88148071
115,2012,KCR,AL,72,90,.444,162,6149,-61,8,1,9,-4,-48,-5.4,228,181,16.9,.497,.497,17.2,-0.2,172,$55245075
116,2011,FLA,NL,72,90,.444,162,6232,-55,-2,1,-71,51,-76,-8.9,183,106,9.2,.496,.496,16.3,-7.0,177,$57694000
117,2011,PIT,NL,72,90,.444,162,6064,-71,-14,-1,-34,49,-71,-8.4,178,107,9.1,.497,.497,12.3,-3.2,141,$44180000
118,2014,BOS,AL,71,91,.438,162,6226,-67,0,-6,42,-5,-37,-1.9,220,183,19.4,.498,.498,13.7,5.8,141,$134628929
119,2013,SEA,AL,71,91,.438,162,6172,-6,-4,2,-97,-5,-110,-9.9,219,110,11.0,.493,.493,20.4,-9.3,206,$70187000
120,2011,CHC,NL,71,91,.438,162,6130,-36,-5,-1,-29,47,-25,-3.3,179,155,14.4,.499,.499,17.0,-2.8,184,$125047329
121,2011,KCR,AL,71,91,.438,162,6267,30,-3,-1,17,-4,38,4.3,229,267,26.2,.503,.503,25.1,1.4,250,$31962000
122,2011,SDP,NL,71,91,.438,162,6074,-102,10,2,25,46,-18,-2.6,179,160,15.1,.499,.499,11.7,3.4,135,$45040240
123,2014,HOU,AL,70,92,.432,162,6055,-39,5,-2,-14,-5,-55,-4.0,214,159,16.8,.496,.496,17.2,-0.4,174,$40984800
124,2014,MIN,AL,70,92,.432,162,6233,1,3,1,-56,-4,-55,-3.9,220,166,17.6,.496,.496,22.7,-5.0,222,$85462500
125,2012,BOS,AL,69,93,.426,162,6166,-40,1,3,51,-5,11,0.6,229,240,22.9,.501,.501,19.0,4.1,189,$89136000
126,2012,MIA,NL,69,93,.426,162,6057,-125,1,4,-56,55,-121,-13.0,176,56,4.2,.494,.494,9.0,-4.7,112,$89198000
127,2011,BAL,AL,69,93,.426,162,6156,-30,8,-14,-3,-4,-44,-4.3,227,183,17.4,.497,.497,18.4,-0.8,187,$84604038
128,2010,CLE,AL,69,93,.426,162,6165,-23,-4,2,-18,-6,-49,-4.1,228,179,18.1,.497,.497,19.7,-1.7,197,$60778966
129,2010,WSN,NL,69,93,.426,162,6100,-68,-8,-1,-3,46,-35,-5.0,180,146,12.4,.498,.498,13.0,-1.0,149,$63900000
130,2012,CLE,AL,68,94,.420,162,6195,4,-5,0,-34,-5,-41,-4.8,229,189,17.6,.497,.497,22.6,-4.9,223,$70672800
131,2014,TEX,AL,67,95,.414,162,6026,-59,2,-2,-23,-5,-88,-7.6,214,127,13.1,.494,.494,14.6,-1.4,150,$126289377
132,2011,SEA,AL,67,95,.414,162,5972,-110,-2,6,14,-4,-96,-9.9,221,125,11.4,.494,.494,10.5,0.9,111,$81196100
133,2010,KCR,AL,67,95,.414,162,6209,-4,-10,-4,-102,-5,-126,-12.0,230,104,10.4,.492,.492,20.8,-10.4,206,$71405210
134,2014,COL,NL,66,96,.407,162,6164,4,-10,-3,19,53,63,4.2,190,252,22.8,.503,.503,22.2,0.8,233,$95403500
135,2013,CHC,NL,66,96,.407,162,6079,-67,-5,-1,24,52,3,-2.0,185,189,16.3,.500,.500,14.8,1.8,164,$56804000
136,2013,MIN,AL,66,96,.407,162,6212,-65,-5,5,2,-3,-67,-5.3,221,154,15.7,.496,.496,14.4,1.7,152,$56357500
137,2012,MIN,AL,66,96,.407,162,6209,-9,4,-3,35,-4,23,2.0,230,253,24.4,.501,.501,22.0,2.6,217,$92566000
138,2010,BAL,AL,66,96,.407,162,6109,-64,-7,-3,-27,-4,-105,-10.1,226,121,12.0,.493,.493,14.6,-2.5,148,$81612500
139,2010,ARI,NL,65,97,.401,162,6183,-51,-14,-4,25,55,9,-0.4,181,191,17.2,.500,.500,14.8,2.6,166,$52868166
140,2014,ARI,NL,64,98,.395,162,6089,-87,6,3,20,53,-5,-3.3,186,181,15.0,.500,.500,14.1,1.1,161,$86861500
141,2012,COL,NL,64,98,.395,162,6183,-55,3,1,-91,53,-89,-9.3,182,92,8.4,.496,.496,16.8,-8.3,184,$75005000
142,2013,CHW,AL,63,99,.389,162,6077,-127,-5,-7,-51,-6,-196,-19.3,216,21,1.4,.488,.488,5.9,-4.4,71,$80908900
143,2011,MIN,AL,63,99,.389,162,6020,-114,4,2,-54,-7,-170,-17.6,224,55,3.9,.489,.489,10.1,-6.4,108,$112737000
144,2013,MIA,NL,62,100,.383,162,6021,-195,-5,-1,5,51,-145,-18.8,184,40,-0.5,.493,.493,0.0,-0.3,34,$24271900
145,2012,CHC,NL,61,101,.377,162,5967,-113,5,-2,0,50,-60,-6.2,176,116,10.9,.497,.497,9.7,1.2,116,$79937700
146,2010,SEA,AL,61,101,.377,162,5989,-143,4,4,11,-5,-129,-12.7,221,92,8.9,.492,.492,7.6,1.4,81,$84593500
147,2010,PIT,NL,57,105,.352,162,5974,-113,-11,0,-80,50,-155,-17.8,176,22,-0.8,.493,.493,7.9,-8.6,101,$35033000
148,2011,HOU,NL,56,106,.346,162,6150,-80,2,2,17,48,-11,-1.8,180,169,15.9,.499,.499,13.4,2.5,152,$69524500
149,2012,HOU,NL,55,107,.340,162,6014,-124,-5,0,-57,49,-137,-14.5,177,41,2.8,.494,.494,7.6,-4.9,98,$37160500
150,2013,HOU,AL,51,111,.315,162,6020,-100,-8,-1,-47,-7,-163,-15.7,213,51,4.6,.490,.490,8.7,-4.2,97,$13425200
