,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,games,contracts,years,pitcher,start_ratio
28,Dee Strange-Gordon\gordode01,33,10,,8.154,Rep 1 Baseball,,FA,,,,,,"[0.6, -1.2, -0.1, 3.5, 4.3, 0.3, 3.8, 1.2, 1.1, -1.35]","[56.0, 87.0, 38.0, 148.0, 145.0, 79.0, 158.0, 141.0, 117.0, 33.0]","[{'type': 'salary', 'value': 100000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",False,
29,Joe Wieland\wielajo01,31,4,,3.035,Sosnick/Cobbe,,Arb,,Arb,FA,,,"[-0.1, -0.3, -0.3, -0.2]","[5.0, 4.0, 2.0, 1.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2012, 2014, 2015, 2016]",True,0.8333333333333334
30,Brad Wieck\wieckbr01,29,4,Traded,1.125,,,,,Arb,Arb,Arb,FA,"[0.2, -0.39999999999999997, -0.26999999999999996]","[5.0, 44.0, 1.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
31,Alec Mills\millsal02,29,5,Traded,1.097,,,,,Arb,Arb,Arb,FA,"[-0.2, 0.2, 0.9, 0.26999999999999996]","[3.0, 7.0, 9.0, 11.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2018, 2019, 2020, 2021]",True,0.07692307692307693
32,Trayce Thompson\thomptr01,30,4,,2.038,Wasserman,,,,Arb,Arb,FA,,"[1.6, 0.7, -0.3, -1.1]","[44.0, 80.0, 27.0, 51.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018]",False,
33,Adrian Sampson\sampsad01,29,3,,1.134,Sosnick Cobbe & K...,,,,Arb,Arb,Arb,FA,"[0.0, 0.1, 1.2000000000000002]","[1.0, 5.0, 35.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2018, 2019]",True,0.4878048780487805
34,Robert Stock\stockro01,31,3,,1.123,,,,,Arb,Arb,Arb,FA,"[0.6, -0.8, 0.0]","[32.0, 10.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.0
35,Rowan Wick\wickro01,28,3,Traded,1.114,,,,,Arb,Arb,Arb,FA,"[-0.2, 0.6, 0.5399999999999999]","[10.0, 31.0, 19.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.0
36,Kohl Stewart\stewako01,26,3,Free Agency,1.094,,,,,Arb,Arb,Arb,FA,"[0.6, -0.3]","[8.0, 9.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2021]",True,1.0
37,Tyler Ladendorf\ladenty01,33,2,,1.093,,,,,Arb,Arb,Arb,FA,"[0.2, -0.6]","[9.0, 44.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016]",False,
