,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,career,games,contracts,years,pitcher,start_ratio
10,Ian Kennedy\kenneia01,36,15,Free Agency,11.124,Scott Boras,1 yr/$100k (21),$100k,FA,,,"[0.6, -0.9, 0.1, 3.5, 4.8, 2.1, -1.2, 1.8, -0.4, 4.3, 0.7999999999999999, 0.7999999999999999, 1.5, -2.43]","[3.0, 10.0, 1.0, 32.0, 33.0, 33.0, 31.0, 33.0, 30.0, 33.0, 30.0, 22.0, 63.0, 15.0, 21.0]","[{'type': 'salary', 'value': 100000.0}]","[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
11,Brock Holt\holtbr01,33,10,Free Agency,7.052,LSW Baseball,1 yr/$100k (21),$100k,FA,,,"[-0.1, -0.3, 2.1, 2.7, 1.6, -0.2, 1.2, 1.6, -1.0799999999999998]","[24.0, 26.0, 106.0, 129.0, 94.0, 64.0, 109.0, 87.0, 36.0, 32.0]","[{'type': 'salary', 'value': 100000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
12,Nick Vincent\vinceni01,34,9,,7.033,PSI Sports Manage...,1 yr/$100k (21),$100k,FA,,,"[0.9, 1.2, 0.2, 0.3, 0.6, 1.4, 0.4, 0.3, 1.0799999999999998]","[27.0, 45.0, 63.0, 26.0, 60.0, 69.0, 62.0, 32.0, 21.0]","[{'type': 'salary', 'value': 100000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",True,0.0049382716049382715
13,Delino DeShields\deshide02,28,6,Rule 5 Draft,5.109,Wasserman,1 yr/$100k (21),$100k,FA,,,"[1.0, -0.1, 1.6, 1.2, 1.3, 0.0]","[121.0, 74.0, 120.0, 106.0, 118.0, 37.0]","[{'type': 'salary', 'value': 100000.0}]","[2015, 2016, 2017, 2018, 2019, 2020]",False,
14,Hunter Wood\woodhu01,27,4,Free Agency,1.078,MVP Sports Group,1 yr/$100k (21),$100k,Pre-Arb,Arb,Arb,"[0.0, 0.2, 0.4]","[1.0, 29.0, 36.0, 5.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2021]",True,0.0
15,Spencer Patton\pattosp01,33,3,Traded,1.009,Nello P. Gamberdi...,1 yr/$100k (21),$100k,Pre-Arb,Arb,Arb,"[0.4, -1.0, -0.5]","[9.0, 27.0, 16.0, 2.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2021]",True,0.0
16,Charlie Culberson\culbech01,32,9,Free Agency,5.051,Ballengee Group,,Arb,,,,"[-0.2, -0.3, -1.6, 0.4, 0.0, 0.7, -0.2, -0.26999999999999996]","[6.0, 47.0, 95.0, 34.0, 15.0, 113.0, 108.0, 9.0, 46.0]","[{'type': 'arb', 'value': None}]","[2012, 2013, 2014, 2016, 2017, 2018, 2019, 2020, 2021]",False,
17,Mike Foltynewicz\foltymi01,29,8,Free Agency,4.156,Excel Sports Mana...,,Arb,,FA,,"[-0.1, -1.4, 1.4, 0.9999999999999999, 3.5, 0.7000000000000001, -0.81]","[16.0, 18.0, 22.0, 29.0, 31.0, 21.0, 1.0, 13.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
18,John Hicks\hicksjo02,31,5,,3.001,,,Arb,,Arb,FA,"[-0.5, 0.0, 0.4, 0.0, -0.4]","[17.0, 1.0, 60.0, 81.0, 95.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019]",False,
19,Joe Palumbo\palumjo01,26,2,Amateur Draft,1.13,,,,,Arb,Arb,"[-0.2, -0.5399999999999999]","[7.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.4444444444444444
