,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,career,games,contracts,years,pitcher,start_ratio
32,Kevin Kramer\krameke01,27,2,Amateur Draft,1.06,Sosnick Cobbe & K...,,,,Arb,"[-0.6, -0.4]","[21.0, 22.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",False,
33,Mitch Keller\kellemi03,25,3,Amateur Draft,1.059,,,,,Arb,"[-1.0, 1.62]","[11.0, 5.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,1.0
34,Duane Underwood Jr.\underdu01,26,4,Traded,1.044,,,,,Arb,"[0.2, 0.0, -0.5399999999999999]","[1.0, 12.0, 17.0, 23.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
35,Dustin Fowler\fowledu01,26,3,Purchased,1.039,,,,,Arb,"[0.0, -1.0]","[1.0, 69.0, 18.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2021]",False,
36,JT Brubaker\brubajt01,27,2,Amateur Draft,1.0,,,,,Arb,[-0.26999999999999996],"[11.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
37,Joe Hudson\hudsojo03,30,3,,0.131,,,,,,"[-0.1, 0.0, -0.5399999999999999]","[8.0, 1.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",False,
38,Kyle Keller\kelleky01,28,3,Purchased,0.06,Nello P. Gamberdi...,,,,,"[0.2, 0.0]","[10.0, 2.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
39,Chase De Jong\dejonch01,27,5,Free Agency,0.11,,,,,,"[-0.4, 0.1, -0.1, -1.62]","[7.0, 4.0, 1.0, 3.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,1.0
40,Cody Ponce\ponceco01,27,2,Traded,0.05,,,,,,[0.81],"[5.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
41,Miguel Yajure\yajurmi01,23,2,Traded,0.044,,,,,,[0.5399999999999999],"[3.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
42,David Bednar\bednada01,26,3,Traded,0.076,,,,,,"[-0.2, -0.26999999999999996]","[13.0, 4.0, 26.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
43,Ke'Bryan Hayes\hayeske01,24,2,Amateur Draft,0.075,,,,,,[5.13],"[24.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
44,Nick Mears\mearsni01,24,1st,Amateur Free Agent,0.028,,,,,,[0.0],[4.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
45,Wil Crowe\crowewi01,26,2,Traded,0.025,,,,,,[-1.35],"[3.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.875
46,Jared Oliva\olivaja01,25,1st,Amateur Draft,0.019,,,,,,[-0.5399999999999999],[6.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],False,
47,Blake Cederlind\cederbl01,25,1st,Amateur Draft,0.036,,,,,,[0.0],[5.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
48,James Marvel\marveja01,27,1st,Amateur Draft,0.022,Sosnick Cobbe & K...,,,,,[-0.5],[4.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],True,1.0
49,Will Craig\craigwi01,26,2,Amateur Draft,0.014,,,,,,[-0.26999999999999996],"[2.0, 18.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
