,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,career,games,contracts,years,pitcher,start_ratio
21,Pablo Sandoval\sandopa01,34,14,Free Agency,12.012,Beverly Hills Spo...,1 yr/$1M (21),$1M,FA,,,,,,,"[1.0, 4.3, 1.5, 6.0, 2.2, 2.1, 3.2, -0.5, -0.2, -1.4, 0.2, 1.3, -1.35]","[41.0, 153.0, 152.0, 117.0, 108.0, 141.0, 157.0, 126.0, 3.0, 79.0, 92.0, 108.0, 34.0, 44.0]","[{'type': 'salary', 'value': 1000000.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
22,Guillermo Heredia\heredgu01,30,6,Waivers,3.112,,1 yr/$1M (21),$1M,Arb,Arb,FA,,,,,"[0.6, 1.3, 0.4, 0.3, 0.5399999999999999]","[45.0, 123.0, 125.0, 89.0, 15.0, 35.0]","[{'type': 'salary', 'value': 1000000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
23,Grant Dayton\daytogr01,33,5,Waivers,4.007,KVA Sports LLC,1 yr/$900k (21),$900k,Arb,FA,,,,,,"[0.7, -0.1, 0.2, 2.1599999999999997]","[25.0, 29.0, 14.0, 18.0, 13.0]","[{'type': 'salary', 'value': 900000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2019, 2020, 2021]",True,0.0
24,Jeff Mathis\mathije01,38,17,Free Agency,14.012,Jet Sports Manage...,1 yr/$100k (21),$100k,FA,,,,,,,"[0.0, -0.5, 0.1, 0.6, 0.9, 0.0, 0.0, 0.7, -0.3, 0.0, -0.5, 0.4, -0.4, 0.6, -1.5, 1.0799999999999998]","[5.0, 23.0, 59.0, 94.0, 84.0, 68.0, 93.0, 70.0, 73.0, 64.0, 32.0, 41.0, 60.0, 69.0, 86.0, 24.0, 3.0]","[{'type': 'salary', 'value': 100000.0}]","[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
25,Jason Kipnis\kipnija01,34,10,,9.069,Beverly Hills Spo...,1 yr/$100k (21),$100k,FA,,,,,,,"[1.0, 3.9, 5.0, 0.7, 4.0, 3.8, 0.4, 1.2, 0.5, 2.43]","[36.0, 152.0, 149.0, 129.0, 141.0, 156.0, 90.0, 147.0, 121.0, 44.0]","[{'type': 'salary', 'value': 100000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",False,
26,Travis Snider\snidetr01,33,8,,5.086,CAA Sports (Joe U...,1 yr/$100k (21),$100k,FA,,,,,,,"[0.6, 0.5, 0.8, 0.0, 0.4, -0.7, 1.9, 0.9]","[24.0, 77.0, 82.0, 49.0, 60.0, 111.0, 140.0, 87.0]","[{'type': 'salary', 'value': 100000.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]",False,
27,Terrance Gore\gorete01,30,7,,2.013,L. Warner Compani...,1 yr/$100k (21),$100k,Arb,Arb,Arb,FA,,,,"[0.0, -0.1, 0.2, -0.3, 0.3, 0.1, 0.0]","[11.0, 9.0, 17.0, 12.0, 14.0, 37.0, 2.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020]",False,
28,Travis Demeritte\demertr01,26,2,,0.152,,1 yr/$100k (21),$100k,Pre-Arb,Arb,Arb,Arb,Arb,FA,,"[-1.2, 0.0]","[48.0, 18.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",False,
29,Shane Greene\greensh02,32,7,Traded,6.075,Turner-Gary Sport...,,FA,,,,,,,,"[0.7, -1.8, -0.4, 2.4, -0.5, 2.1, 2.97]","[15.0, 18.0, 50.0, 71.0, 66.0, 65.0, 28.0, 2.0]",[],"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
30,Jesse Chavez\chaveje01,37,13,Traded,10.108,Sosnick Cobbe & K...,,FA,,,,,,,,"[-0.3, 0.1, -0.9, -0.3, -1.1, 0.3, 1.3, 1.3, -0.2, -0.30000000000000004, 3.1, 0.7999999999999999, -1.0799999999999998]","[15.0, 73.0, 51.0, 4.0, 13.0, 35.0, 32.0, 30.0, 62.0, 38.0, 62.0, 48.0, 18.0]","[{'type': 'salary', 'value': 100000.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",True,0.16424116424116425
31,Jonathan Lucroy\lucrojo01,35,12,,9.164,Excel Sports Mana...,,FA,,,,,,,,"[0.5, 1.0, 3.3, 2.9, 6.4, 1.0, 3.7, 0.5, -0.6, -1.1, 0.0]","[75.0, 136.0, 96.0, 147.0, 153.0, 103.0, 142.0, 123.0, 126.0, 101.0, 1.0, 5.0]","[{'type': 'salary', 'value': 100000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
