,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,career,games,contracts,years,pitcher,start_ratio
10,Adam Eaton\eatonad02,32,10,Free Agency,8.03,Diamond Sports Ma...,1 yr/$8M (21) & 22 team option,$7M,$1M [FA-*],FA,,,,,"[0.7, -0.3, 5.2, 4.1, 6.6, 0.3, 1.3, 1.8, -1.89]","[22.0, 66.0, 123.0, 153.0, 157.0, 23.0, 95.0, 151.0, 41.0, 52.0]","[{'type': 'salary', 'value': 7000000.0}, {'type': 'team option', 'value': 8500000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
11,Leury Garcia\garcile02,30,9,Traded,6.025,Rep 1 Baseball,2 yrs/$6.75M (20-21),$3.5M,FA,,,,,,"[-0.09999999999999998, -0.5, -0.1, -0.2, 1.0, 0.9, 1.2, 1.89]","[45.0, 73.0, 17.0, 18.0, 87.0, 82.0, 140.0, 16.0, 52.0]","[{'type': 'salary', 'value': 3500000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
12,Reynaldo Lopez\lopezre01,27,5,Traded,3.091,,1 yr/$2.1M (21),$2.1M,Arb,Arb,FA,,,,"[-0.30000000000000004, 0.1, 3.5, 0.6, -1.62]","[11.0, 8.0, 32.0, 33.0, 8.0]","[{'type': 'salary', 'value': 2100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020]",True,0.9456521739130435
13,Lucas Giolito\giolilu01,26,6,Traded,3.08,CAA Sports,1 yr/$4.15M (21),$4.15M,Arb,Arb,FA,,,,"[-0.4, 1.5, -1.1, 5.8, 2.1599999999999997]","[6.0, 7.0, 32.0, 29.0, 12.0, 13.0]","[{'type': 'salary', 'value': 4150000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
14,Carlos Rodon\rodonca01,28,7,Free Agency,5.168,Scott Boras,1 yr/$3M (21),$3M,FA,,,,,,"[1.6, 1.7, 1.3, 2.2, 0.1, -0.81]","[26.0, 28.0, 12.0, 20.0, 7.0, 4.0, 10.0]","[{'type': 'salary', 'value': 3000000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
15,Adam Engel\engelad01,29,4,Amateur Draft,3.058,,1 yr/$1.35M (21),$1.35M,Arb,Arb,FA,,,,"[-0.7, 1.2, 0.8, 1.62]","[97.0, 143.0, 89.0, 36.0, 5.0]","[{'type': 'salary', 'value': 1350000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
16,Evan Marshall\marshev01,31,8,Free Agency,4.09,ISE Baseball,1 yr/$2M (21),$2M,Arb,FA,,,,,"[0.9, -0.3, -0.7, -0.3, -0.2, 1.9, 1.62]","[57.0, 13.0, 15.0, 6.0, 10.0, 55.0, 23.0, 23.0]","[{'type': 'salary', 'value': 2000000.0}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
17,Jace Fry\fryja01,27,4,Amateur Draft,3.005,NWSMG/Nik Lubisic...,1 yr/$863k (21),$863k,Arb,Arb,FA,,,,"[-0.3, 0.3, 0.2, 0.26999999999999996]","[11.0, 59.0, 68.0, 18.0]","[{'type': 'salary', 'value': 863000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020]",True,0.00641025641025641
18,Jake Lamb\lambja01,30,8,Free Agency,6.053,CAA Sports,1 yr/$1M (21),$1M,FA,,,,,,"[0.4, 2.3, 2.8, 2.0, 0.5, 0.1, -1.35]","[37.0, 107.0, 151.0, 149.0, 56.0, 78.0, 31.0, 25.0]","[{'type': 'salary', 'value': 1000000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
19,Billy Hamilton\hamilbi02,30,9,Free Agency,7.009,Wasserman,1 yr/$100k (21),$100k,FA,,,,,,"[0.7, 2.5, 1.1, 3.1, 1.3, 0.7, 0.39999999999999997, 0.26999999999999996]","[13.0, 152.0, 114.0, 119.0, 139.0, 153.0, 119.0, 31.0, 36.0]","[{'type': 'salary', 'value': 100000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
20,Tim Beckham\beckhti01,31,6,,5.101,Wasserman Media G...,1 yr/$100k (21),$100k,FA,,,,,,"[0.1, -0.2, 0.6, 2.5, 0.4, 0.4]","[5.0, 82.0, 64.0, 137.0, 96.0, 88.0]","[{'type': 'salary', 'value': 100000.0}]","[2013, 2015, 2016, 2017, 2018, 2019]",False,
21,Brian Goodwin\goodwbr01,30,5,,4.019,Scott Boras,1 yr/$100k (21),$100k,Arb,FA,,,,,"[-0.1, 0.3, -0.1, 2.1, -1.0799999999999998]","[22.0, 74.0, 75.0, 136.0, 50.0, 1.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
22,Marco Hernandez\hernama02,28,3,,3.058,,,Arb,,Arb,FA,,,,"[-0.2, 0.2, -0.1]","[40.0, 21.0, 61.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2019]",False,
23,Mike Wright\wrighmi01,31,5,,3.008,ACES,,Arb,,Arb,FA,,,,"[-0.30000000000000004, -0.5, -0.1, 0.1, -0.5]","[12.0, 18.0, 13.0, 48.0, 19.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019]",True,0.20909090909090908
24,Mikie Mahtook\mahtomi01,31,5,,2.127,CAA Sports,,,,Arb,Arb,FA,,,"[1.3, -1.1, 0.1, 0.4, -0.4]","[41.0, 65.0, 109.0, 67.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019]",False,
25,Nick Williams\willini01,27,4,Free Agency,2.036,,,,,Arb,Arb,FA,,,"[0.2, -0.5, -1.1]","[83.0, 140.0, 67.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2021]",False,
26,Tayron Guerrero\guerrta01,30,3,,2.004,TLA Worldwide,,,,Arb,Arb,FA,,,"[0.0, -1.0, -0.7]","[1.0, 60.0, 52.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2018, 2019]",True,0.0
27,Jimmy Lambert\lambeji01,26,2,Amateur Draft,1.0,,,,,Arb,Arb,Arb,FA,,[0.26999999999999996],"[2.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
28,Nik Turley\turleni01,31,2,,1.143,,,,,Arb,Arb,Arb,FA,,"[-0.8, -0.81]","[10.0, 25.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2020]",True,0.08571428571428572
29,Jimmy Cordero\cordeji01,29,3,Waivers,1.136,,,,,Arb,Arb,Arb,FA,,"[-0.1, 1.1, -2.1599999999999997]","[22.0, 31.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.0
