,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,career,games,contracts,years,pitcher,start_ratio
34,Brett Kennedy\kennebr02,26,1st,Amateur Draft,1.055,,,,,Arb,Arb,Arb,FA,,,,,,,,,[-0.6],[6.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2018],True,1.0
35,Javy Guerra\guerrja02,25,3,Traded,1.052,,,,,Arb,Arb,Arb,FA,,,,,,,,,"[-0.1, 0.0]","[13.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",False,
36,Jacob Nix\nixja02,25,1st,Amateur Draft,1.052,,,,,Arb,Arb,Arb,FA,,,,,,,,,[-1.2],[9.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2018],True,1.0
37,Patrick Kivlehan\kivlepa01,31,4,Free Agency,1.036,,,,,Arb,Arb,Arb,FA,,,,,,,,,"[0.0, 0.0, 0.2]","[8.0, 115.0, 9.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2021]",False,
38,Adrián Morejón\morejad01,22,3,Amateur Free Agent,1.013,,,,,Arb,Arb,Arb,FA,,,,,,,,,"[-0.3, 0.0]","[5.0, 9.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,1.0
39,Jake Cronenworth\croneja01,27,2,Traded,1.0,,,,,Arb,Arb,Arb,FA,,,,,,,,,[4.59],"[54.0, 65.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
40,Jorge Mateo\mateojo01,26,2,Traded,1.0,,,,,Arb,Arb,Arb,FA,,,,,,,,,[-1.0799999999999998],"[22.0, 42.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
41,Luis Campusano\campulu01,22,2,Amateur Draft,0.067,,,,,,Arb,Arb,Arb,FA,,,,,,,,[0.26999999999999996],"[1.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
42,Michel Báez\baezmi01,25,2,Amateur Free Agent,0.104,,,,,,Arb,Arb,Arb,FA,,,,,,,,"[0.6, -0.26999999999999996]","[24.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.07407407407407407
43,Kyle McGrath\mcgraky01,28,2,Amateur Draft,0.078,,,,,,Arb,Arb,Arb,FA,,,,,,,,"[0.4, 0.0]","[17.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018]",True,0.0
44,Parker Markel\markepa01,30,1st,,0.066,KVA Sports LLC,,,,,Arb,Arb,Arb,FA,,,,,,,,[-0.4],[20.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],True,0.0
45,John Andreoli\andrejo03,31,2,Free Agency,0.052,,,,,,Arb,Arb,Arb,FA,,,,,,,,[-0.09999999999999998],"[26.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2021]",False,
46,Nabil Crismatt\crismna01,26,2,Free Agency,0.05,,,,,,Arb,Arb,Arb,FA,,,,,,,,[0.0],"[6.0, 14.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
47,Jorge Oña\onajo01,24,1st,Amateur Free Agent,0.033,,,,,,Arb,Arb,Arb,FA,,,,,,,,[0.5399999999999999],[5.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],False,
48,Pedro Avila\avilape01,24,1st,Free Agency,0.002,Munger English Sp...,,,,,Arb,Arb,Arb,FA,,,,,,,,[0.3],[1.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],True,1.0
49,Ryan Weathers\weathry01,21,1st,Amateur Draft,0.0,,,,,,Arb,Arb,Arb,FA,,,,,,,,[],[13.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2021],True,0.6153846153846154
