Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Video,playerId
"Brendan Rodgers","COL","SS","MLB",14,1,,"60",2019,,"20","6' 0""","180","R","R","1st rd 2015","Lake Mary HS (FL)","8R3NqST3CPs","17907"
"Eloy Jimenez","CHC","OF","MLB",15,1,,"60",2019,,"20","6' 4""","225","R","R","J2 2013","Dominican Republic","qzcfGawJz30","17484"
"Lewis Brinson","MIL","CF","MLB",16,1,,"60",2017,,"22","6' 3""","195","R","R","1st rd 2012","Coral Springs HS (FL)","RR-tHu3R4Ak","14352"
"Willy Adames","TBR","SS","MLB",17,1,,"60",2018,,"21","6' 1""","180","R","R","J2 2012","Dominican Republic","","15986"
"Francis Martes","HOU","RHP","MLB",18,1,,"60",2018,,"21","6' 1""","225","R","R","J2 2012","Dominican Republic","v9Ntv_-UiUU","17303"
"Lucas Giolito","CHW","RHP","MLB",19,2,,"60",2017,,"22","6' 6""","255","R","R","1st rd 2012","Harvard Westlake (CA)","b7-G7YlHybk","15474"
"Corey Ray","MIL","OF",,20,2,,"60",2018,,"22","5' 11""","185","L","L","1st rd 2015","Louisville","","sa738510"
"Michael Kopech","CHW","RHP",,21,3,,"55",2019,,"20","6' 3""","195","R","R","1st rd 2014","Mt Pleasant HS (TX)","JXUYoulUEo8","17282"
"Rafael Devers","BOS","3B","MLB",22,2,,"55",2019,,"20","6' 0""","200","L","R","J2 2013","Dominican Republic","wh7OdMthttw","17350"
"Manuel Margot","SDP","CF","MLB",23,2,,"55",2017,,"22","5' 11""","180","R","R","J2 2011","Dominican Republic","","14712"
"Vladimir Guerrero Jr.","TOR","3B","MLB",24,1,,"55",2019,,"17","6' 1""","215","R","R","J2 2015","Dominican Republic","0pq1nJRuxC4","19611"
"Cal Quantrill","SDP","RHP","MLB",25,3,,"55",2018,,"21","6' 3""","195","L","R","1st rd 2016","Stanford","xNKf2IgKKqY","19312"
"Tyler Glasnow","PIT","RHP","MLB",26,2,,"55",2017,,"23","6' 8""","220","L","R","5th rd 2011","Hart HS (CA)","gTTxEqrnf_4","14374"
"Mickey Moniak","PHI","OF","AA",27,2,,"55",2019,,"18","6' 2""","185","L","R","1st rd 2016","La Costa Canyon HS (CA)","Q8Q3oaLa-Ds","sa917920"
"Reynaldo Lopez","CHW","RHP","MLB",28,4,,"55",2017,,"22","6' 0""","185","R","R","J2 2012","Dominican Republic","dJCkB1rnie0","16400"
"Jay Groome","BOS","LHP","A",29,3,,"55",2020,,"18","6' 5""","215","L","L","1st rd 2016","Barnegat HS (NJ)","2KZQaauTk3Y","sa917925"
"Nick Senzel","CIN","3B","MLB",30,1,,"55",2018,,"21","6' 1""","205","R","R","1st rd 2016","Tennessee","1Jkza_J-9MU","19293"
"Riley Pint","COL","RHP","A",31,2,,"55",2020,,"19","6' 4""","195","R","R","1st rd 2016","St. Thomas Aquinas HS (KS)","SHwmwNMieek","sa917922"
"Jorge Alfaro","PHI","C","MLB",32,3,,"55",2017,,"23","6' 2""","225","R","R","J2 2009","Colombia","NK7LZ7MnzFg","12180"
"Delvin Perez","StL","SS",,33,2,,"55",2021,,"18","6' 3""","170","R","R","1st rd 2016","Int'l Baseball (PR)","zoyhWdJpeQU","sa917935"
"Clint Frazier","NYY","OF","MLB",34,2,,"55",2017,,"22","5' 11""","185","R","R","1st rd 2013","Loganville HS (GA)","3qJ4OqNiJ38","15983"
"Ronald Acuna Jr.","ATL","CF","MLB",35,3,,"55",2020,,"19","6' 0""","180","R","R","J2 2014","Venezuela","jM2RtuJ_TJM","18401"
"Brent Honeywell Jr.","TBR","RHP",,36,2,,"55",2018,,"21","6' 2""","180","R","R","2nd rd 2014","Walters St CC","JC3Vetq_eAA","sa828706"
"Francisco Mejia","CLE","C","MLB",37,1,,"55",2019,,"21","5' 10""","175","S","R","J2 2012","Dominican Republic","","16403"
"Kyle Lewis","SEA","OF","MLB",38,1,,"55",2019,,"21","6' 4""","205","R","R","1st rd 2016","Mercer","nwMhSV87AD0","19508"
"Robert Gsellman","NYM","RHP","MLB",39,2,,"55",2017,,"23","6' 4""","205","R","R","13th rd 2011","Westchester HS (CA)","","13696"
"Blake Rutherford","NYY","OF",,40,3,,"55",2019,,"19","6' 3""","195","L","R","1st rd 2016","Chaminade Prep (CA)","","sa917932"
"Kolby Allard","ATL","LHP",,41,4,,"55",2019,,"19","6' 1""","175","L","L","1st rd 2015","San Clemente HS (CA)","6j3g65GKpzk","18694"
"Alex Verdugo","LAD","CF","MLB",42,3,,"55",2017,,"20","6' 0""","200","L","L","2nd rd 2014","Sahuaro HS (AZ)","mRH_od9cYyw","17027"
"James Kaprielian","NYY","RHP",,43,4,,"55",2018,,"23","6' 4""","200","R","R","1st rd 2015","UCLA","","sa658943"
"Jose De Leon","LAD","RHP",,44,4,,"55",2016,,"24","6' 2""","190","R","R","24th rd 2013","Southern","a7XOAwjfRJQ","15463"
"Jose De Leon","TBR","RHP",,44,3,,"55",2016,,"24","6' 2""","190","R","R","24th rd 2013","Southern","a7XOAwjfRJQ","15463"
"Bradley Zimmer","CLE","CF",,45,2,,"55",2018,,"23","6' 4""","185","L","R","1st rd 2014","San Francisco","7fFrWjfCuS8","16221"
"Mitch Keller","PIT","RHP","MLB",46,3,,"55",2019,,"20","6' 3""","195","R","R","2nd rd 2014","Xavier HS (IA)","","17594"
"Jeff Hoffman","COL","RHP","MLB",47,3,,"55",2016,,"23","6' 5""","225","R","R","1st rd 2014","East Carolina","Opu-pI8cwFQ","17432"
"Kevin Maitan","ATL","3B","A",48,5,,"55",2021,,"17","6' 2""","190","S","R","J2 2016","Venezuela","0cx8ztyNO2A","sa969045"
"Leody Taveras","TEX","CF",,49,1,,"55",2020,,"18","6' 1""","170","S","R","J2 2015","Dominican Republic","RpzjuTfUZqg","sa912520"
"Josh Bell","PIT","1B","MLB",50,4,,"55",2017,,"24","6' 2""","235","S","R","2nd rd 2011","Jesuit HS (TX)","CXqN-5SlvDs","13145"
"Ian Happ","CHC","2B","MLB",51,2,,"55",2018,,"22","6' 0""","205","S","R","1st rd 2015","Cincinnati","kVIv-IbxgCs","17919"
"German Marquez","COL","RHP","MLB",52,4,,"55",2016,,"21","6' 1""","184","R","R","J2 2011","Venezuela","PptJ_Yf1sxI","15038"
"Sandy Alcantara","StL","RHP","MLB",53,3,,"55",2018,,"21","6' 4""","170","R","R","J2 2013","Dominican Republlic","","18684"
"Ian Anderson","ATL","RHP","AAA",54,6,,"55",2021,,"18","6' 3""","170","R","R","1st rd 2016","Shenendowa HS (NY)","","sa917921"
"Triston McKenzie","CLE","RHP",,55,3,,"55",2020,,"19","6' 5""","160","R","R","1st rd 2015","Royal Palm Beach HS (FL)","SaiUEE5AOzQ","sa874760"
"Matt Manning","DET","RHP","AA",56,1,,"55",2020,,"18","6' 6""","185","R","R","1st rd 2016","Sheldon HS (CA)","0FhH_Sv17Dg","sa917924"
"Luis Ortiz","MIL","RHP","MLB",57,3,,"55",2018,,"21","6' 3""","240","R","R","1st rd 2014","Sanger HS (TX)","Bc-6cJ0VFrQ","16942"
"Isan Diaz","MIL","2B","MLB",58,4,,"55",2019,,"20","5' 10""","185","L","R","2nd rd 2014","Springfield HS (MA)","","17922"
"Josh Hader","MIL","LHP","MLB",59,5,,"55",2017,,"22","6' 3""","185","L","L","19th rd 2012","Old Mill HS (MD)","RaRLOum862g","14212"
"Braxton Garrett","MIA","LHP","AA",60,1,,"55",2019,,"19","6' 3""","190","L","L","1st rd 2016","Florence HS (AL)","","sa917923"
"Aaron Judge","NYY","RF","MLB",61,5,,"55",2017,,"24","6' 7""","255","R","R","1st rd 2013","Fresno St","XMnxmHgdRbg","15640"
"Max Fried","ATL","LHP","MLB",62,7,,"55",2018,,"23","6' 4""","170","L","L","1st rd 2012","Harvard Westlake (CA)","","13743"
"Kyle Tucker","HOU","OF","MLB",63,2,,"55",2019,,"20","6' 4""","200","L","R","1st rd 2015","Plant HS (FL)","Cyu2pAXZsP4","18345"
"Yohander Mendez","TEX","LHP","MLB",64,2,,"55",2017,,"22","6' 5""","200","L","L","J2 2011","Venezuela","ftXWbnqqZ5o","14391"
"Amir Garrett","CIN","LHP","MLB",65,2,,"55",2017,,"24","6' 5""","210","L","L","22nd rd 2011","Henderson Int'l (NV)","wyBMKTxZf7s","14375"
"Nick Gordon","MIN","SS",,66,1,,"55",2019,,"21","6' 2""","175","L","R","1st rd 2014","Olympia HS (FL)","bXiuMCdQJP4","sa828662"
"Franklin Barreto","OAK","SS","MLB",67,1,,"55",2017,,"21","5' 9""","190","R","R","J2 2012","Venezuela","KuHQqKfcO_I","15519"
"A.J. Puk","OAK","LHP","MLB",68,2,,"55",2019,,"21","6' 7""","230","L","L","1st rd 2016","Florida","dF78XZniyhY","19343"
"Christian Arroyo","SFG","3B","MLB",69,1,,"55",2017,,"21","","","","","1st rd 2013","Hernando HS (FL)","ZUyMfsabjAY","16434"
"Luiz Gohara","ATL","LHP","-1",70,8,,"55",2019,,"20","6' 3""","240","L","L","J2 2012","Brazil","aIq9ta-DzXQ","15166"
"Jharel Cotton","OAK","RHP","MLB",71,3,,"55",2017,,"25","5' 11""","195","R","R","20th rd 2012","East Carolina","xdHjkKQi7vA","13654"
"Matt Strahm","KCR","LHP","MLB",72,1,,"55",2017,,"25","6' 4""","180","R","L","21st rd 2012","Neosho CCC (KS)","","13799"
"Dominic Smith","NYM","1B","MLB",73,3,,"50",2017,,"21","6' 0""","250","L","L","1st rd 2013","J Serra (CA)","WyKuh_VibcI","15653"
"Walker Buehler","LAD","RHP","MLB",74,5,,"50",2017,,"22","6' 2""","175","R","R","1st rd 2015","Vanderbilt","VnQHWGCjfxM","19374"
"Hunter Renfroe","SDP","OF","MLB",75,4,,"50",2016,,"24","6' 1""","220","R","R","1st rd 2013","Miss St.","7IxvDv6Z4A","15464"
"Adrian Morejon","SDP","LHP",,76,5,,"50",2020,,"18","5' 11""","165","R","R","J2 2016","Cuba","8Ckw8UO5yCg","20039"
"Justin Dunn","NYM","RHP","MLB",77,4,,"50",2019,,"21","6' 2""","210","R","R","1st rd 2016","Boston College","","19268"
"Fernando Tatis Jr.","SDP","3B","MLB",78,6,,"50",2021,,"17","6' 3""","185","R","R","J2 2015","Dominican Republic","f-7iDniIWf0","19709"
"Anthony Alford","TOR","OF","MLB",79,2,,"50",2018,,"22","6' 1""","215","R","R","3rd rd 2012","Petal HS (MS)","lU6bw7GGXcs","14329"
"Brandon Woodruff","MIL","RHP","MLB",80,6,,"50",2017,,"23","6' 2""","225","R","R","11th rd 2014","Mississippi St.","","16162"
"Carson Kelly","StL","C","MLB",81,4,,"50",2017,,"22","6' 2""","200","R","R","2nd rd 2012","Westview HS (OR)","_drUP_dWklE","13620"
"Andres Gimenez","NYM","SS",,82,5,,"50",2020,,"18","5' 11""","165","L","R","J2 2015","Venezuela","","sa917114"
"Kevin Newman","PIT","SS","MLB",83,5,,"50",2018,,"23","6' 1""","180","R","R","1st rd 2015","Arizona","3UO8or3lTT8","17696"
"Lucas Erceg","MIL","3B","AAA",84,7,,"50",2019,,"21","6' 3""","200","L","R","2nd rd 2016","Menlo","","sa872722"
"Chance Sisco","BAL","C","MLB",85,1,,"50",2018,,"22","6' 2""","195","L","R","2nd rd 2013","Santiago HS (CA)","wqnkU1fRew8","15694"
"Tyler Beede","SFG","RHP","MLB",86,2,,"50",2018,,"23","","","","","1st rd 2015","Vanderbilt","CtyKcq9YD_U","16981"
"Dustin Fowler","NYY","CF",,87,7,,"50",2018,,"22","6' 0""","195","L","L","18th rd 2013","West Laurens HS (GA)","FLb3S3KNFvk","17098"
"Anthony Banda","ARI","LHP",,88,1,,"50",2017,,"23","","","","","10th rd 2012","San Jacinto","","14706"
"Willie Calhoun","LAD","2B","MLB",89,6,,"50",2018,,"22","5' 9""","210","S","R","4th rd 2015","Yavapai JC (AZ)","6DTMj51-TH0","17838"
"Raimel Tapia","COL","CF","MLB",90,5,,"50",2016,,"22","6' 2""","160","L","L","J2 2010","Dominican Republic","BzN0crqNPxA","14350"
"Jorge Mateo","NYY","SS","AAA",91,6,,"50",2018,,"21","6' 0""","188","R","R","J2 2011","Dominican Republic","E87r8QWTQ8c","sa657910"
"Jahmai Jones","LAA","CF",,92,1,,"50",2020,,"19","5' 11""","210","R","R","2nd rd 2015","Wesleyan School (GA)","p2KH9PAlrjM","sa874807"
"Mike Soroka","ATL","RHP","MLB",93,9,,"50",2020,,"19","6' 4""","210","R","R","1st rd 2015","Bishop Carroll HS (Calgary, AB)","LozVLyAQ3qs","18383"
"Zack Collins","CHW","C",,94,5,,"50",2018,,"21","6' 3""","220","L","R","1st rd 2016","Miami","fK2DsmC5BT0","19181"
"Juan Soto","WSN","OF","MLB",95,2,,"50",2020,,"18","6' 1""","190","L","L","July 2 2015","Dominican Republic","Uu0OZm4SJ9Q","20123"
"Sean Reid-Foley","TOR","RHP",,96,3,,"50",2019,,"21","6' 3""","220","R","R","2nd rd 2014","Sandalwood HS (FL)","iVpbxreVa9Q","17034"
"Justus Sheffield","NYY","LHP","MLB",97,8,,"50",2018,,"20","5' 10""","195","L","L","1st rd 2014","Tullahoma HS (TN)","tW5B2GiJG4k","17285"
"Carson Fulmer","CHW","RHP","MLB",98,6,,"50",2017,,"22","6' 0""","195","R","R","1st rd 2015","Vanderbilt","j1XFJHFKrFY","18311"
"Ke'Bryan Hayes","PIT","3B",,99,6,,"50",2020,,"19","6' 1""","210","R","R","1st rd 2015","Concordia Lutheran (TX)","VAR1hcC2Clk","sa874730"
"Jesse Winker","CIN","OF","MLB",100,3,,"50",2017,,"23","6' 3""","200","L","L","1st rd 2012","Olympia HS (FL)","ayid-_YnePM","13590"
"Zack Burdi","CHW","RHP",,0,7,,"50",2017,,"21","6' 3""","210","R","R","1st rd 2016","Louisville","qjlYWTBkyNQ","sa856551"
"Cristian Pache","ATL","CF",,0,10,,"50",2020,,"18","6' 2""","185","R","R","J2 2015","Dominican Republic","TTrN1fNVTzI","sa916722"
"Sean Newcomb","ATL","LHP","MLB",0,11,,"50",2018,,"23","6' 5""","225","L","L","1st rd 2014","Hartford","Oi9LBEYklnQ","16943"
"Joey Wentz","ATL","LHP","AA",0,12,,"50",2021,,"19","6' 5""","209","L","L","1st rd 2016","Shawnee Mission East (MO)","","sa917946"
"Greg Allen","CLE","OF","MLB",0,4,,"50",2018,,"23","6' 0""","175","S","R","6th rd 2014","San Diego State","LxBcGF2Ep_Q","16623"
"Luke Weaver","StL","RHP","MLB",0,5,,"50",2017,,"23","6' 2""","170","R","R","1st rd 2014","Florida St.","DWKPAmideTE","16918"
"Oscar De La Cruz","CHC","RHP","-1",0,3,,"50",2019,,"21","6' 6""","240","R","R","J2 2012","Dominican Republic","iD-M3xy2cAE","sa737037"
"Jack Flaherty","StL","RHP","MLB",0,6,,"50",2018,,"21","6' 4""","205","R","R","1st rd 2014","Harvard Westlake (CA)","vSy5LD5ZWXk","17479"
"Jeimer Candelario","CHC","1B","MLB",0,4,,"50",2017,,"23","6' 1""","220","S","R","J2 2010","Dominican Republic","Q8M0VQ4-DIo","13621"
"Dakota Hudson","StL","RHP","MLB",0,7,,"50",2019,,"22","6' 5""","215","R","R","1st rd 2016","Mississippi St.","LUO8ShS6j1Y","19206"
"Christin Stewart","DET","OF","MLB",0,2,,"50",2018,,"23","6' 0""","205","L","R","1st rd 2015","Tennessee","vl86vfpaV3Y","17714"
"Hunter Dozier","KCR","3B","MLB",0,2,,"50",2017,,"25","6' 4""","220","R","R","1st rd 2013","Stephen F. Austin","aGEQUE9CvXE","15117"
"Aristides Aquino","CIN","OF","MLB",0,4,,"50",2019,,"22","6' 4""","200","R","R","J2 2010","Dominican Republlic","alUGGntk5KI","15482"
"Shed Long Jr.","CIN","2B","MLB",0,5,,"50",2019,,"21","5' 8""","180","L","R","12th rd 2013","Jacksonville HS (AL)","","16542"
"Jacob Nix","SDP","RHP","AAA",0,7,,"50",2019,,"20","6' 4""","220","R","R","3rd rd 2015","IMG","LM9yJp5lRaI","17775"
"Alex Kirilloff","MIN","OF","AA",0,2,,"50",2021,,"19","6' 2""","195","L","L","1st rd 2016","Plum HS (PA)","","sa917929"
"Stephen Gonsalves","MIN","LHP",,0,3,,"50",2017,,"22","6' 5""","190","L","L","4th rd 2013","Cathedral Catholic (CA)","ToTToij37mo","15492"
"Tyler Jay","MIN","LHP","-1",0,4,,"50",2018,,"22","6' 1""","180","L","L","1st rd 2015","Illinois","o1A8ua9iS98","sa857588"
"Bryan Reynolds","SFG","OF","MLB",0,3,,"50",2019,,"21","","","","","2nd rd 2016","Vanderbilt","8Nr61qxya9M","19326"
"Kyle Freeland","COL","LHP","MLB",0,6,,"50",2017,,"23","6' 3""","170","L","L","1st rd 2014","Evansville","3figLbwhKaE","16256"
"Franklin Perez","HOU","RHP",,0,3,,"50",2020,,"19","6' 3""","215","R","R","J2 2014","Venezuela","","sa873722"
"Forrest Whitley","HOU","RHP","AA",0,4,,"50",2019,,"19","6' 7""","240","R","R","1st rd 2016","Alamo HS (TX)","V9t2y244Ecw","sa917930"
"Ramon Laureano","HOU","OF","MLB",0,5,,"50",2017,,"22","5' 11""","185","R","R","16th rd 2014","NE Oklahoma A&M","pJ3zRDWntaM","17128"
"David Paulino","HOU","RHP","-1",0,6,,"50",2017,,"23","6' 7""","215","R","R","J2 2010","Dominican Republic","--cg751DvOI","17418"
"Matt Chapman","OAK","3B","MLB",0,4,,"50",2017,,"23","6' 2""","205","R","R","1st rd 2014","Cal State Fullerton","v50uN5CRKms","16505"
"Frankie Montas","OAK","RHP","MLB",0,5,,"50",2017,,"24","6' 2""","255","R","R","J2 2009","Dominican Republic","C6EkGG40-fw","14309"
"Tyler O'Neill","SEA","OF","MLB",0,2,,"50",2017,,"21","5' 11""","210","R","R","3rd rd 2013","Maple Ridge HS (B.C., Canada)","65VN9HWZNW0","15711"
"Marcos Diplan","MIL","RHP","AA",0,8,,"50",2018,,"20","6' 0""","160","R","R","J2 2013","Dominican Republic","fnm13fU_fkY","sa828590"
"Jesus Sanchez","TBR","OF","AAA",0,4,,"50",2020,,"19","6' 2""","185","L","R","J2 2014","Dominican Republic","","sa872787"
"Erick Fedde","WSN","RHP",,0,3,,"50",2018,,"24","6' 4""","180","R","R","1sts rd 2014","UNLV","GYCZJzLWfyA","17425"
"Ariel Jurado","TEX","RHP",,0,3,,"50",2018,,"21","6' 1""","230","R","R","J2 2012","Panama","4WvSQSVWVv4","17030"
"Cole Ragans","TEX","LHP","A",0,4,,"50",2020,,"19","6' 3""","190","L","L","1st rd 2016","North Florida Christian HS","","sa917938"
"Adonis Medina","PHI","RHP",,0,6,,"45",2020,,"20","6' 1""","185","R","R","J2 2013","Dominican Republic","","sa832877"
"Elniery Garcia","PHI","LHP","-1",0,7,,"45",2017,,"22","6' 0""","155","L","L","J2 2011","Dominican Republic","QQYsBoMpAy8","sa684104"
"Franklyn Kilome","PHI","RHP",,0,8,,"45",2020,,"21","6' 6""","215","R","R","J2 2012","Dominican Republic","BMD8EhJwlVg","sa830592"
"Rhys Hoskins","PHI","1B","MLB",0,9,,"45",2018,,"24","6' 4""","225","R","R","5th rd 2014","Sacramento St","","16472"
"Dylan Cozens","PHI","OF","MLB",0,10,,"45",2018,,"22","6' 6""","235","L","L","2nd rd 2012","Chaparral HS (AZ)","5CGtPSHk7sY","15115"
"Kevin Gowdy","PHI","RHP","A",0,11,,"45",2020,,"19","6' 4""","170","R","R","2nd rd 2016","Santa Barbara HS (CA)","Vr9lun60EAw","sa917928"
"Scott Kingery","PHI","2B","MLB",0,12,,"45",2018,,"22","5' 10""","180","R","R","2nd rd 2015","Arizona","","17975"
"Socrates Brito","ARI","OF",,0,2,,"45",2016,,"24","","","","","J2 2010","Dominican Republic","","12944"
"Nick Williams","PHI","OF",,0,13,,"45",2017,,"23","6' 3""","195","L","L","2nd rd 2012","Ball HS (TX)","StalFPRzgsQ","14330"
"Mitch Haniger","ARI","OF","MLB",0,3,,"45",2016,,"25","","","","","1st rd 2012","Cal Poly SLO","","14274"
"Jazz Chisholm","ARI","SS","AA",0,4,,"45",2020,,"18","","","","","J2 2015","Bahamas","ir2kVOIT4mE","sa919327"
"Alec Hansen","CHW","RHP","AA",0,8,,"45",2020,,"22","6' 7""","240","R","R","2nd rd 2016","Oklahoma","VQzZu_90hZk","sa738344"
"Spencer Adams","CHW","RHP","AAA",0,9,,"45",2019,,"20","6' 3""","170","R","R","2nd rd 2014","White County HS (GA)","SNXhcruPtfQ","sa828687"
"Dane Dunning","CHW","RHP",,0,10,,"45",2018,,"22","6' 4""","200","R","R","1st rd 2016","Florida","","sa738926"
"Touki Toussaint","ATL","RHP",,0,13,,"45",2019,,"20","6' 3""","185","R","R","1st rd 2014","Coral Springs Christian HS (FL)","qaR9D8rYrhY","16929"
"Patrick Weigel","ATL","RHP",,0,14,,"45",2018,,"22","6' 6""","230","R","R","7th rd 2015","Houston","","sa829466"
"Travis Demeritte","ATL","2B","MLB",0,15,,"45",2019,,"22","6' 0""","178","R","R","1st rd 2013","Winder-Barrow HS (GA)","YQjbmtOH1mU","15958"
"Cole Tucker","PIT","SS",,0,7,,"45",2020,,"20","6' 3""","185","S","R","1st rd 2014","Mountain Pointe HS (AZ)","Tx4MkFf8AcU","17326"
"Kyle Muller","ATL","LHP","AA",0,16,,"45",2020,,"19","6' 6""","215","R","L","2nd rd 2016","Jesuit Prep (TX)","","sa917931"
"Steven Brault","PIT","LHP","MLB",0,8,,"45",2017,,"24","6' 0""","190","L","L","11th rd 2013","Regis U","","15291"
"Ray-Patrick Didder","ATL","OF","-1",0,17,,"45",2019,,"22","6' 0""","170","R","R","J2 2012","Aruba","lq6AU1DX_Lk","sa736824"
"Will Craig","PIT","DH",,0,9,,"45",2019,,"22","6' 3""","235","R","R","1st rd 2016","Wake Forest","","sa738696"
"Dustin Peterson","ATL","LF","-1",0,18,,"45",2018,,"22","6' 2""","185","R","R","2nd rd 2013","Gilbert HS (AZ)","3Adp3VBEEA8","15189"
"Alen Hanson","PIT","2B","-1",0,10,,"45",2017,,"24","5' 11""","175","S","R","J2 2009","Dominican Republic","V5aIAKHM9VM","12926"
"Nick Kingham","PIT","RHP","-1",0,11,,"45",2017,,"25","6' 6""","225","R","R","4th rd 2010","Sierra Vista HS (NV)","UbbfbBPoQI4","11694"
"Bobby Bradley","CLE","1B",,0,5,,"45",2019,,"20","6' 1""","225","L","R","3rd rd 2014","Harrion Central HS (MS)","ob_8OJxp3HY","17278"
"Will Benson","CLE","OF","A+",0,6,,"45",2021,,"18","6' 5""","215","L","L","1st rd 2016","Westminster Schools (GA)","_oDb1oLoVXU","sa917927"
"Nolan Jones","CLE","3B","AA",0,7,,"45",2020,,"18","6' 3""","195","L","R","2nd rd 2016","Holy Ghost Prep (PA)","M8MOVqKoFgA","sa917941"
"Erik Gonzalez","CLE","UTIL","MLB",0,8,,"45",2017,,"25","6' 1""","195","R","R","J2 2008","Dominican Republic","","13369"
"Yu Chang","CLE","INF",,0,9,,"45",2019,,"21","6' 1""","175","R","R","J2 2012","Taiwan","VDPqWbix08","14773"
"Brady Aiken","CLE","LHP",,0,10,,"45",2020,,"20","6' 4""","220","L","L","1st rd 2015","IMG Academy","et19uIvSvjM","sa828659"
"Juan Hillman","CLE","LHP","A+",0,11,,"45",2020,,"19","6' 2""","185","L","L","2nd rd 2015","Olympia HS (FL)","0WEmpNHhxck","sa874796"
"Yandy Diaz","CLE","3B","MLB",0,12,,"45",2017,,"25","6' 2""","185","R","R","J2 2013","Cuba","rrctwRmmEh4","16578"
"Jose Albertos","CHC","RHP","A+",0,5,,"45",2020,,"18","6' 1""","185","R","R","J2 2015","Mexico","","sa919907"
"Eliezer Alvarez","StL","2B","-1",0,8,,"45",2019,,"22","5' 11""","175","L","R","J2 2011","Dominican Republlic","","sa657261"
"Beau Burrows","DET","RHP",,0,3,,"45",2020,,"20","6' 2""","200","R","R","1st rd 2015","Weatherford HS (TX)","wrcFf1O63-8","sa874682"
"Albert Almora Jr.","CHC","CF","MLB",0,6,,"45",2017,,"22","6' 2""","200","R","R","1st rd 2012","Mater Academy (FL)","S5_MKe0WN-A","14109"
"Magneuris Sierra","StL","OF","MLB",0,9,,"45",2020,,"20","5' 11""","160","L","L","J2 2012","Dominican Republlic","","17023"
"Tyler Alexander","DET","LHP","MLB",0,4,,"45",2018,,"22","6' 3""","180","R","L","2nd rd 2015","TCU","","17735"
"Dylan Cease","CHC","RHP","MLB",0,7,,"45",2019,,"21","6' 1""","175","R","R","6th rd 2014","Milton HS (GA)","PCI9rzaQqAY","18525"
"Edmundo Sosa","StL","SS",,0,10,,"45",2019,,"20","5' 11""","170","R","R","J2 2012","Panama","","17022"
"Mike Gerber","DET","OF",,0,5,,"45",2018,,"24","6' 2""","175","L","R","15th rd 2014","Creighton","HLLQ7vUfBCo","16115"
"Trevor Clifton","CHC","RHP","-1",0,8,,"45",2018,,"21","6' 4""","210","R","R","12th rd 2013","Heritage HS (TN)","","sa737901"
"Harrison Bader","StL","OF","MLB",0,11,,"45",2017,,"22","6' 0""","195","R","R","3rd rd 2015","Florida","GHVr7zAVQ_8","18030"
"Joe Jimenez","DET","RHP","MLB",0,6,,"45",2017,,"21","6' 3""","220","R","R","J2 2012","Puerto Rico","","15761"
"Mark Zagunis","CHC","OF","MLB",0,9,,"45",2017,,"23","6' 0""","212","R","R","3rd rd 2014","Virginia Tech","","16565"
"Junior Fernandez","StL","RHP",,0,12,,"45",2018,,"19","6' 1""","180","R","R","J2 2014","Dominican Republlic","","18496"
