Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Video,playerId
"Daniel Brito","PHI","2B","A+",0,13,,"40",2020,"","20","6' 1""","155","L","R","J2 2014","Venezuela","","sa872732"
"Aaron Bracho","CLE","SS",,0,13,,"40",2023,"","16","5' 11""","175","S","R","J2 2017","Venezuela","",""
"Michael Perez","ARI","C","MLB",0,23,,"40",2019,"","25","5' 11""","180","R","R","5th rd 2011","Colegio Vocacional Para Adultos (PR)","","12977"
"Arquimedes Gamboa","PHI","SS",,0,14,,"40",2021,"","20","6' 0""","175","S","R","J2 2014","Venezuela","XMoiQQu_Els","sa877497"
"Aaron Civale","CLE","RHP",,0,14,,"40",2020,"","22","6' 2""","215","R","R","3rd rd 2016","Northeastern","","19479"
"Luis Garcia","PHI","INF",,0,15,,"40",2023,"","17","5' 11""","170","S","R","J2 2017","Dominican Republic","",""
"George Valera","CLE","LF",,0,15,,"40",2023,"","17","6' 0""","190","L","L","J2 2017","Dominican Republic","",""
"Roman Quinn","PHI","CF","MLB",0,16,,"40",2018,"","24","5' 10""","170","S","R","2nd rd 2011","Port St. Joe HS (FL)","LXasZ4rclQQ","13546"
"Tyler Freeman","CLE","SS","A+",0,16,,"40",2022,"","18","6' 0""","170","R","R","2nd rd 2017","Etiwanda HS (CA)","","sa3004755"
"Kevin Gowdy","PHI","RHP","A",0,17,,"40",2020,"","20","6' 4""","170","R","R","2nd rd 2016","Santa Barbara HS (CA)","Vr9lun60EAw","sa917928"
"Luis Oviedo","CLE","RHP",,0,17,,"40",2022,"","18","6' 4""","200","R","R","J2 2015","Venezuela","","sa917344"
"Spencer Howard","PHI","RHP","AA",0,18,,"40",2020,"","21","6' 3""","205","R","R","2nd rd 2017","Cal Poly","","sa3004923"
"Sam Hentges","CLE","LHP",,0,18,,"40",2021,"","21","6' 6""","245","L","L","4th rd 2014","Mounds View HS (MN)","","sa828881"
"Francisco Morales","PHI","RHP","A+",0,19,,"40",2022,"","18","6' 4""","185","R","R","J2 2016","Venezuela","","sa3004581"
"Quentin Holmes","CLE","CF","A",0,19,,"40",2023,"","18","6' 3""","175","R","R","2nd rd 2016","McClancy HS (NY)","uMA6Z9tYqqI","sa3004776"
"Jose Taveras","PHI","RHP","-1",0,20,,"40",2018,"","24","6' 4""","210","R","R","J2 2013","Dominican Republic","","sa828246"
"Logan Ice","CLE","C","-2",0,20,,"40",2021,"","22","5' 10""","195","S","R","2nd rd 2016","Oregon State","YB29dANPeAY","sa913305"
"Tom Eshelman","PHI","RHP","MLB",0,21,,"40",2018,"","23","6' 3""","210","R","R","2nd rd 2015","Cal State Fullerton","D291QeiCx6U","18361"
"Jesse Berardi","CLE","SS","A",0,21,,"40",2021,"","22","5' 10""","185","L","R","10th rd 2017","St. John's","dmzuUoLnOYI","sa829838"
"Ranger Suarez","PHI","LHP","MLB",0,22,,"40",2020,"","22","6' 1""","180","L","L","J2 2011","Venezuela","","17277"
"Sam Haggerty","CLE","UTIL","MLB",0,22,,"40",2020,"","23","5' 11""","175","S","R","24th rd 2015","New Mexico","","18054"
"Dylan Cozens","PHI","OF","MLB",0,23,,"40",2018,"","23","6' 6""","235","L","L","2nd rd 2012","Chaparral HS (AZ)","5CGtPSHk7sY","15115"
"Cole Irvin","PHI","LHP",,0,24,,"40",2019,"","24","6' 4""","180","L","L","5th rd 2016","Oregon","Fgw5VhHvMyY","19244"
"Jake Holmes","PHI","SS","A-",0,25,,"40",2022,"","19","6' 3""","185","R","R","11th rd 2017","Pinnacle HS (AZ)","IRTWnecqxDo","sa3004815"
"Jose Gomez","PHI","UTIL","AA",0,26,,"40",2020,"","21","5' 11""","175","R","R","J2 2013","Venezuela","ruujCc6loYI","sa828331"
